,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
3634,Rhinolophus rufus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,NT,Insectivore
3635,Rhinolophus ruwenzorii,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,VU,Insectivore
3636,Rhinolophus sakejiensis,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3637,Rhinolophus sedulus,8.74,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,NT,Insectivore
3638,Rhinolophus shameli,9.61,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3639,Rhinolophus shortridgei,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3640,Rhinolophus siamensis,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3641,Rhinolophus silvestris,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3642,Rhinolophus simulator,8.13,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3643,Rhinolophus sinicus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3644,Rhinolophus stheno,7.92,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3645,Rhinolophus subbadius,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3646,Rhinolophus subrufus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3647,Rhinolophus swinnyi,7.07,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3648,Rhinolophus thomasi,8.26,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3649,Rhinolophus trifoliatus,15.16,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3650,Rhinolophus virgo,6.06,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3651,Rhinolophus yunanensis,19.33,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3652,Rhinolophus ziama,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,EN,Insectivore
3653,Rhinonicteris aurantia,8.99,CHIROPTERA,HIPPOSIDERIDAE,Rhinonicteris,LC,Insectivore
3654,Rhinophylla alethina,9.59,CHIROPTERA,PHYLLOSTOMIDAE,Rhinophylla,NT,Herbivore
3655,Rhinophylla fischerae,9.6,CHIROPTERA,PHYLLOSTOMIDAE,Rhinophylla,LC,Herbivore
3656,Rhinophylla pumilio,9.58,CHIROPTERA,PHYLLOSTOMIDAE,Rhinophylla,LC,Omnivore
3657,Rhinopithecus avunculus,9086.19,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,CR,Herbivore
3658,Rhinopithecus bieti,11000.54,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,EN,Herbivore
3659,Rhinopithecus roxellana,13456.8,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,EN,Omnivore
3660,Rhinopoma hardwickii,13.1,CHIROPTERA,RHINOPOMATIDAE,Rhinopoma,LC,Insectivore
3661,Rhinopoma microphyllum,28.02,CHIROPTERA,RHINOPOMATIDAE,Rhinopoma,LC,Insectivore
3662,Rhinopoma muscatellum,9.13,CHIROPTERA,RHINOPOMATIDAE,Rhinopoma,LC,Insectivore
3663,Rhinosciurus laticaudatus,230.3,RODENTIA,SCIURIDAE,Rhinosciurus,NT,Omnivore
3664,Rhipidomys austrinus,89,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3665,Rhipidomys cariri,76.24098976,RODENTIA,CRICETIDAE,Rhipidomys,DD,Omnivore
3666,Rhipidomys caucensis,89,RODENTIA,CRICETIDAE,Rhipidomys,DD,Omnivore
3667,Rhipidomys couesi,89,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3668,Rhipidomys emiliae,46.25861204,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3669,Rhipidomys fulviventer,89,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3670,Rhipidomys gardneri,76.24098976,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3671,Rhipidomys latimanus,57.5,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3672,Rhipidomys leucodactylus,80,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3673,Rhipidomys macconnelli,41.59,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3674,Rhipidomys macrurus,46.25861204,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3675,Rhipidomys mastacalis,100,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3676,Rhipidomys modicus,46.25861204,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3677,Rhipidomys nitela,89,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3678,Rhipidomys ochrogaster,89,RODENTIA,CRICETIDAE,Rhipidomys,DD,Omnivore
3679,Rhipidomys venezuelae,89.99,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3680,Rhipidomys venustus,89,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3681,Rhipidomys wetzeli,89,RODENTIA,CRICETIDAE,Rhipidomys,LC,Omnivore
3682,Rhizomys pruinosus,2450,RODENTIA,SPALACIDAE,Rhizomys,LC,Herbivore
3683,Rhizomys sinensis,82.495,RODENTIA,SPALACIDAE,Rhizomys,LC,Herbivore
3684,Rhizomys sumatrensis,2500,RODENTIA,SPALACIDAE,Rhizomys,LC,Herbivore
3685,Rhogeessa aeneus,4.233333333,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,LC,Insectivore
3686,Rhogeessa genowaysi,4.233333333,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,EN,Insectivore
3687,Rhogeessa hussoni,4.233333333,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,DD,Insectivore
3688,Rhogeessa io,4.233333333,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,LC,Insectivore
3689,Rhogeessa minutilla,3.75,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,VU,Insectivore
3690,Rhogeessa mira,4.233333333,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,VU,Insectivore
3691,Rhogeessa parvula,4.37,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,LC,Insectivore
3692,Rhogeessa tumida,4.58,CHIROPTERA,VESPERTILIONIDAE,Rhogeessa,LC,Insectivore
3693,Rhombomys opimus,285,RODENTIA,MURIDAE,Rhombomys,LC,Herbivore
3694,Rhynchocyon cirnei,424.92,MACROSCELIDEA,MACROSCELIDIDAE,Rhynchocyon,LC,Insectivore
3695,Rhynchocyon petersi,423.99,MACROSCELIDEA,MACROSCELIDIDAE,Rhynchocyon,LC,Carnivore
3696,Rhynchogale melleri,2240.33,CARNIVORA,HERPESTIDAE,Rhynchogale,LC,Omnivore
3697,Rhyncholestes raphanurus,21.94,PAUCITUBERCULATA,CAENOLESTIDAE,Rhyncholestes,NT,Omnivore
3698,Rhynchomeles prattorum,602.2906,PERAMELEMORPHIA,PERAMELIDAE,Rhynchomeles,EN,Omnivore
3699,Rhynchomys banahao,154.645,RODENTIA,MURIDAE,Rhynchomys,LC,Insectivore
