,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
2338,Monophyllus plethodon,15.33,CHIROPTERA,PHYLLOSTOMIDAE,Monophyllus,LC,Omnivore
2339,Monophyllus redmani,8.79,CHIROPTERA,PHYLLOSTOMIDAE,Monophyllus,LC,Omnivore
2340,Monticolomys koopmani,25,RODENTIA,NESOMYIDAE,Monticolomys,LC,Omnivore
2341,Mormoops blainvillei,8.69,CHIROPTERA,MORMOOPIDAE,Mormoops,LC,Insectivore
2342,Mormoops megalophylla,16.09,CHIROPTERA,MORMOOPIDAE,Mormoops,LC,Insectivore
2343,Mormopterus acetabulosus,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,EN,Insectivore
2344,Mormopterus beccarii,14.3,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2345,Mormopterus doriae,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,DD,Insectivore
2346,Mormopterus jugularis,11.56,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2347,Mormopterus kalinowskii,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2348,Mormopterus minutus,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,VU,Insectivore
2349,Mormopterus norfolkensis,8,CHIROPTERA,MOLOSSIDAE,Mormopterus,VU,Insectivore
2350,Mormopterus phrudus,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,VU,Insectivore
2351,Mormopterus planiceps,9.24,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2352,Moschiola indica,3000,CETARTIODACTYLA,TRAGULIDAE,Moschiola,LC,Herbivore
2353,Moschiola kathygre,3065.475,CETARTIODACTYLA,TRAGULIDAE,Moschiola,LC,Herbivore
2354,Moschiola meminna,3130.95,CETARTIODACTYLA,TRAGULIDAE,Moschiola,LC,Herbivore
2355,Moschus anhuiensis,7500,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2356,Moschus berezovskii,12477.41,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2357,Moschus chrysogaster,13697.9,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2358,Moschus cupreus,14500,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2359,Moschus fuscus,13697.9,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2360,Moschus leucogaster,14500,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2361,Moschus moschiferus,13315.57,CETARTIODACTYLA,MOSCHIDAE,Moschus,VU,Herbivore
2362,Mosia nigrescens,3.33,CHIROPTERA,EMBALLONURIDAE,Mosia,LC,Insectivore
2363,Mungos gambianus,1644.98,CARNIVORA,HERPESTIDAE,Mungos,LC,Insectivore
2364,Mungos mungo,1260,CARNIVORA,HERPESTIDAE,Mungos,LC,Insectivore
2365,Mungotictis decemlineata,657.03,CARNIVORA,EUPLERIDAE,Mungotictis,EN,Insectivore
2366,Muntiacus atherodes,18939.1,CETARTIODACTYLA,CERVIDAE,Muntiacus,NT,Herbivore
2367,Muntiacus feae,21999.99,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2368,Muntiacus gongshanensis,18590.01,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2369,Muntiacus montanus,18368.41,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2370,Muntiacus muntjak,17611.59,CETARTIODACTYLA,CERVIDAE,Muntiacus,LC,Herbivore
2371,Muntiacus puhoatensis,18368.41,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2372,Muntiacus putaoensis,12000,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2373,Muntiacus reevesi,13499.94,CETARTIODACTYLA,CERVIDAE,Muntiacus,LC,Herbivore
2374,Muntiacus rooseveltorum,10762.64,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2375,Muntiacus truongsonensis,15000,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2376,Muntiacus vaginalis,18368.41,CETARTIODACTYLA,CERVIDAE,Muntiacus,LC,Herbivore
2377,Muntiacus vuquangensis,36690.82,CETARTIODACTYLA,CERVIDAE,Muntiacus,CR,Herbivore
2378,Murexia habbema,48,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2379,Murexia longicaudata,126.79,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2380,Murexia melanurus,48.5,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2381,Murexia naso,43,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2382,Murexia rothschildi,27,DASYUROMORPHIA,DASYURIDAE,Murexia,NT,Insectivore
2383,Muriculus imberbis,18.5,RODENTIA,MURIDAE,Muriculus,LC,Herbivore
2384,Murina aenea,7.5,CHIROPTERA,VESPERTILIONIDAE,Murina,VU,Insectivore
2385,Murina aurata,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2386,Murina cyclotis,9.35,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2387,Murina florium,4.41,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2388,Murina fusca,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,DD,Insectivore
2389,Murina harrisoni,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2390,Murina hilgendorfi,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2391,Murina huttoni,7.56,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2392,Murina puta,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,NT,Insectivore
2393,Murina rozendaali,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,VU,Insectivore
2394,Murina ryukyuana,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,EN,Insectivore
2395,Murina suilla,4,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2396,Murina tubinaris,5.45,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2397,Murina ussuriensis,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2398,Mus baoulei,6.42,RODENTIA,MURIDAE,Mus,LC,Omnivore
2399,Mus booduga,13.78,RODENTIA,MURIDAE,Mus,LC,Omnivore
2400,Mus bufo,8.88,RODENTIA,MURIDAE,Mus,LC,Herbivore
2401,Mus callewaerti,63.85388804,RODENTIA,MURIDAE,Mus,LC,Omnivore
2402,Mus caroli,14.26,RODENTIA,MURIDAE,Mus,LC,Omnivore
2403,Mus cervicolor,17.7,RODENTIA,MURIDAE,Mus,LC,Omnivore
2404,Mus cookii,20.467,RODENTIA,MURIDAE,Mus,LC,Omnivore
2405,Mus crociduroides,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2406,Mus cypriacus,21.29531976,RODENTIA,MURIDAE,Mus,LC,Omnivore
2407,Mus famulus,22.88,RODENTIA,MURIDAE,Mus,EN,Omnivore
2408,Mus fernandoni,63.85388804,RODENTIA,MURIDAE,Mus,EN,Omnivore
2409,Mus fragilicauda,21.29531976,RODENTIA,MURIDAE,Mus,LC,Omnivore
2410,Mus goundae,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2411,Mus haussa,8.45,RODENTIA,MURIDAE,Mus,LC,Omnivore
2412,Mus indutus,6.15,RODENTIA,MURIDAE,Mus,LC,Omnivore
2413,Mus macedonicus,15,RODENTIA,MURIDAE,Mus,LC,Omnivore
2414,Mus mahomet,10,RODENTIA,MURIDAE,Mus,LC,Omnivore
2415,Mus mattheyi,63.85388804,RODENTIA,MURIDAE,Mus,LC,Omnivore
2416,Mus mayori,39.75,RODENTIA,MURIDAE,Mus,VU,Omnivore
2417,Mus minutoides,6.43,RODENTIA,MURIDAE,Mus,LC,Omnivore
2418,Mus musculoides,8.23,RODENTIA,MURIDAE,Mus,LC,Omnivore
2419,Mus musculus,19.3,RODENTIA,MURIDAE,Mus,LC,Omnivore
2420,Mus neavei,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2421,Mus oubanguii,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2422,Mus pahari,25.733,RODENTIA,MURIDAE,Mus,LC,Omnivore
2423,Mus phillipsi,12.3,RODENTIA,MURIDAE,Mus,LC,Omnivore
2424,Mus platythrix,29.08,RODENTIA,MURIDAE,Mus,LC,Omnivore
2425,Mus saxicola,21.4,RODENTIA,MURIDAE,Mus,LC,Omnivore
2426,Mus setulosus,11.18,RODENTIA,MURIDAE,Mus,LC,Omnivore
2427,Mus setzeri,6.65,RODENTIA,MURIDAE,Mus,LC,Insectivore
2428,Mus shortridgei,34.6,RODENTIA,MURIDAE,Mus,LC,Omnivore
2429,Mus sorella,63.85388804,RODENTIA,MURIDAE,Mus,LC,Omnivore
2430,Mus spicilegus,14,RODENTIA,MURIDAE,Mus,LC,Herbivore
2431,Mus spretus,16.67,RODENTIA,MURIDAE,Mus,LC,Omnivore
2432,Mus tenellus,10.2,RODENTIA,MURIDAE,Mus,LC,Omnivore
2433,Mus terricolor,9,RODENTIA,MURIDAE,Mus,LC,Omnivore
2434,Mus triton,12.62,RODENTIA,MURIDAE,Mus,LC,Omnivore
2435,Mus vulcani,20.2,RODENTIA,MURIDAE,Mus,LC,Omnivore
2436,Muscardinus avellanarius,29.19,RODENTIA,GLIRIDAE,Muscardinus,LC,Omnivore
2437,Musonycteris harrisoni,22.96761263,CHIROPTERA,PHYLLOSTOMIDAE,Musonycteris,VU,Omnivore
2438,Mustela africana,536.98,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2439,Mustela altaica,180.24,CARNIVORA,MUSTELIDAE,Mustela,NT,Carnivore
2440,Mustela erminea,284.5,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2441,Mustela eversmanii,1684.21,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2442,Mustela frenata,190.03,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2443,Mustela itatsi,300,CARNIVORA,MUSTELIDAE,Mustela,NT,Carnivore
2444,Mustela kathiah,263.74,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2445,Mustela lutreola,566.44,CARNIVORA,MUSTELIDAE,Mustela,CR,Carnivore
2446,Mustela lutreolina,466.25,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2447,Mustela nivalis,78.45,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2448,Mustela nudipes,569.42,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2449,Mustela putorius,975.55,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2450,Mustela sibirica,530.85,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2451,Mustela strigidorsa,1500,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2452,Mustela subpalmata,77.25,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2453,Mydaus javanensis,2500,CARNIVORA,MEPHITIDAE,Mydaus,LC,Insectivore
2454,Mydaus marchei,2500,CARNIVORA,MEPHITIDAE,Mydaus,LC,Insectivore
2455,Mylomys dybowskii,110.96,RODENTIA,MURIDAE,Mylomys,LC,Herbivore
2456,Mylomys rex,110.96,RODENTIA,MURIDAE,Mylomys,DD,Herbivore
2457,Myocastor coypus,6361.55,RODENTIA,MYOCASTORIDAE,Myocastor,LC,Herbivore
2458,Myodes andersoni,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2459,Myodes californicus,18.3,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2460,Myodes centralis,31.80166851,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2461,Myodes gapperi,19.83,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2462,Myodes glareolus,20.73,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2463,Myodes regulus,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2464,Myodes rex,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2465,Myodes rufocanus,36.43,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2466,Myodes rutilus,19.94,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2467,Myodes shanseius,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2468,Myodes smithii,34.94,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2469,Myoictis leucura,210.885,DASYUROMORPHIA,DASYURIDAE,Myoictis,DD,Carnivore
2470,Myoictis melas,221.77,DASYUROMORPHIA,DASYURIDAE,Myoictis,LC,Carnivore
2471,Myoictis wallacei,200,DASYUROMORPHIA,DASYURIDAE,Myoictis,LC,Carnivore
2472,Myoictis wavicus,210.885,DASYUROMORPHIA,DASYURIDAE,Myoictis,DD,Carnivore
2473,Myomimus personatus,44,RODENTIA,GLIRIDAE,Myomimus,DD,Insectivore
2474,Myomimus roachi,44,RODENTIA,GLIRIDAE,Myomimus,VU,Herbivore
2475,Myomimus setzeri,44,RODENTIA,GLIRIDAE,Myomimus,DD,Omnivore
2476,Myomyscus angolensis,63.85388804,RODENTIA,MURIDAE,Myomyscus,LC,Omnivore
2477,Myomyscus brockmani,28,RODENTIA,MURIDAE,Myomyscus,LC,Omnivore
2478,Myomyscus verreauxii,41,RODENTIA,MURIDAE,Myomyscus,LC,Insectivore
2479,Myomyscus yemeni,25,RODENTIA,MURIDAE,Myomyscus,LC,Herbivore
2480,Myonycteris brachycephala,49.12,CHIROPTERA,PTEROPODIDAE,Myonycteris,EN,Herbivore
2481,Myonycteris relicta,53.32,CHIROPTERA,PTEROPODIDAE,Myonycteris,LC,Herbivore
2482,Myonycteris torquata,44.92,CHIROPTERA,PTEROPODIDAE,Myonycteris,LC,Herbivore
2483,Myoprocta acouchy,954.87,RODENTIA,DASYPROCTIDAE,Myoprocta,LC,Herbivore
2484,Myoprocta pratti,966.73,RODENTIA,DASYPROCTIDAE,Myoprocta,LC,Herbivore
2485,Myopterus daubentonii,11.55,CHIROPTERA,MOLOSSIDAE,Myopterus,DD,Insectivore
2486,Myopterus whitleyi,11.55,CHIROPTERA,MOLOSSIDAE,Myopterus,LC,Insectivore
2487,Myopus schisticolor,29.99,RODENTIA,CRICETIDAE,Myopus,LC,Herbivore
2488,Myosciurus pumilio,16.44,RODENTIA,SCIURIDAE,Myosciurus,LC,Herbivore
2489,Myosorex babaulti,9.130309224,EULIPOTYPHLA,SORICIDAE,Myosorex,NT,Carnivore
2490,Myosorex blarina,16,EULIPOTYPHLA,SORICIDAE,Myosorex,EN,Carnivore
2491,Myosorex cafer,12.3,EULIPOTYPHLA,SORICIDAE,Myosorex,LC,Carnivore
2492,Myosorex eisentrauti,8.157340556,EULIPOTYPHLA,SORICIDAE,Myosorex,CR,Carnivore
2493,Myosorex geata,9.34,EULIPOTYPHLA,SORICIDAE,Myosorex,EN,Carnivore
2494,Myosorex kihaulei,11.18979112,EULIPOTYPHLA,SORICIDAE,Myosorex,EN,Carnivore
2495,Myosorex longicaudatus,12.98,EULIPOTYPHLA,SORICIDAE,Myosorex,VU,Carnivore
2496,Myosorex okuensis,8.157340556,EULIPOTYPHLA,SORICIDAE,Myosorex,VU,Carnivore
2497,Myosorex rumpii,15.99558029,EULIPOTYPHLA,SORICIDAE,Myosorex,EN,Carnivore
2498,Myosorex schalleri,11.18979112,EULIPOTYPHLA,SORICIDAE,Myosorex,DD,Carnivore
2499,Myosorex sclateri,8.157340556,EULIPOTYPHLA,SORICIDAE,Myosorex,NT,Carnivore
2500,Myosorex tenuis,11.18979112,EULIPOTYPHLA,SORICIDAE,Myosorex,DD,Carnivore
2501,Myosorex varius,11.68,EULIPOTYPHLA,SORICIDAE,Myosorex,LC,Carnivore
2502,Myosorex zinki,11.18979112,EULIPOTYPHLA,SORICIDAE,Myosorex,LC,Carnivore
2503,Myospalax aspalax,345.5,RODENTIA,SPALACIDAE,Myospalax,LC,Herbivore
2504,Myospalax myospalax,225,RODENTIA,SPALACIDAE,Myospalax,LC,Herbivore
2505,Myospalax psilurus,259.21,RODENTIA,SPALACIDAE,Myospalax,LC,Herbivore
2506,Myotis adversus,10.41,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2507,Myotis albescens,5.69,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2508,Myotis alcathoe,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2509,Myotis altarium,11,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2510,Myotis anjouanensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2511,Myotis annamiticus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2512,Myotis annectans,9.75,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2513,Myotis atacamensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,EN,Insectivore
2514,Myotis ater,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2515,Myotis aurascens,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2516,Myotis auriculus,38.04,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2517,Myotis austroriparius,7.35,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2518,Myotis bechsteinii,9.47,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2519,Myotis blythii,23.82,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2520,Myotis bocagii,7.93,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2521,Myotis bombinus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2522,Myotis brandtii,5.3,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2523,Myotis californicus,4.39,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2524,Myotis capaccinii,8.15,CHIROPTERA,VESPERTILIONIDAE,Myotis,VU,Insectivore
2525,Myotis chiloensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2526,Myotis chinensis,41.99,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2527,Myotis ciliolabrum,4.89,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2528,Myotis cobanensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2529,Myotis csorbai,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2530,Myotis dasycneme,15.16,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2531,Myotis daubentonii,7.63,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2532,Myotis davidii,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2533,Myotis dieteri,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2534,Myotis dinellii,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2535,Myotis dominicensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,VU,Insectivore
2536,Myotis elegans,4.21,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2537,Myotis emarginatus,7.56,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2538,Myotis evotis,6.91,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2539,Myotis fimbriatus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2540,Myotis formosus,7.07,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2541,Myotis fortidens,4.37,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2542,Myotis frater,7.54,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2543,Myotis gomantongensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2544,Myotis goudoti,5.56,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2545,Myotis hajastanicus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,CR,Insectivore
2546,Myotis hasseltii,8.7,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2547,Myotis hermani,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2548,Myotis horsfieldii,6.05,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2549,Myotis ikonnikovi,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2550,Myotis keaysi,5.45,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2551,Myotis keenii,6.51,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2552,Myotis laniger,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2553,Myotis leibii,5.22,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2554,Myotis levis,5.49,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2555,Myotis longipes,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2556,Myotis lucifugus,7.8,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2557,Myotis macrodactylus,7.48,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2558,Myotis macropus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2559,Myotis macrotarsus,12.64,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2560,Myotis martiniquensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2561,Myotis melanorhinus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2562,Myotis moluccarum,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2563,Myotis montivagus,8.3,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2564,Myotis morrisi,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2565,Myotis muricola,4.8,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2566,Myotis myotis,25.59,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2567,Myotis mystacinus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2568,Myotis nattereri,7.25,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2569,Myotis nesopolus,3.56,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2570,Myotis nigricans,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2571,Myotis nipalensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2572,Myotis occultus,8.79,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2573,Myotis oreias,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2574,Myotis oxyotus,5.65,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2575,Myotis peninsularis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,EN,Insectivore
2576,Myotis pequinius,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2577,Myotis pilosus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2578,Myotis pruinosus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,EN,Insectivore
2579,Myotis punicus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2580,Myotis ridleyi,4.06,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2581,Myotis riparius,4.57,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2582,Myotis rosseti,3.29,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2583,Myotis ruber,4.99,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2584,Myotis rufopictus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2585,Myotis schaubi,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2586,Myotis scotti,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,VU,Insectivore
2587,Myotis septentrionalis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2588,Myotis sicarius,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,VU,Insectivore
2589,Myotis siligorensis,2.93,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2590,Myotis simus,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2591,Myotis sodalis,7.15,CHIROPTERA,VESPERTILIONIDAE,Myotis,NT,Insectivore
2592,Myotis stalkeri,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,DD,Insectivore
2593,Myotis thysanodes,8.49,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2594,Myotis tricolor,13.67,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2595,Myotis velifer,9.82,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2596,Myotis vivesi,25.63,CHIROPTERA,VESPERTILIONIDAE,Myotis,VU,Insectivore
2597,Myotis volans,8.71,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2598,Myotis welwitschii,15.88,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2599,Myotis yanbarensis,9.597169811,CHIROPTERA,VESPERTILIONIDAE,Myotis,CR,Insectivore
2600,Myotis yumanensis,5.15,CHIROPTERA,VESPERTILIONIDAE,Myotis,LC,Insectivore
2601,Myrmecophaga tridactyla,29531.83,PILOSA,MYRMECOPHAGIDAE,Myrmecophaga,VU,Insectivore
2602,Mysateles melanurus,1426.0712,RODENTIA,CAPROMYIDAE,Mysateles,VU,Omnivore
2603,Mysateles prehensilis,1650,RODENTIA,CAPROMYIDAE,Mysateles,NT,Herbivore
2604,Mystacina tuberculata,13.14,CHIROPTERA,MYSTACINIDAE,Mystacina,VU,Omnivore
2605,Mystromys albicaudatus,86.85,RODENTIA,NESOMYIDAE,Mystromys,EN,Omnivore
2606,Naemorhedus baileyi,28863.45,CETARTIODACTYLA,BOVIDAE,Naemorhedus,VU,Herbivore
2607,Naemorhedus caudatus,26999.99,CETARTIODACTYLA,BOVIDAE,Naemorhedus,VU,Herbivore
2608,Naemorhedus goral,28796.51,CETARTIODACTYLA,BOVIDAE,Naemorhedus,NT,Herbivore
2609,Nandinia binotata,2167.2,CARNIVORA,NANDINIIDAE,Nandinia,LC,Omnivore
2610,Nanger granti,55464.46,CETARTIODACTYLA,BOVIDAE,Nanger,LC,Herbivore
2611,Nannosciurus melanotis,50,RODENTIA,SCIURIDAE,Nannosciurus,LC,Herbivore
2612,Nanonycteris veldkampii,21.89,CHIROPTERA,PTEROPODIDAE,Nanonycteris,LC,Herbivore
