,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
114,Allenopithecus nigroviridis,4749.96,PRIMATES,CERCOPITHECIDAE,Allenopithecus,LC,Herbivore,156565.9095169
115,Allocebus trichotis,78.09,PRIMATES,CHEIROGALEIDAE,Allocebus,VU,Omnivore,6888.9000187436
116,Allocricetulus curtatus,47.833,RODENTIA,CRICETIDAE,Allocricetulus,LC,Herbivore,469.6977285507
117,Allocricetulus eversmanni,115.558,RODENTIA,CRICETIDAE,Allocricetulus,LC,Omnivore,483945.226316738
118,Alouatta arctoidea,6361.288889,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore,15656.59095169
119,Alouatta belzebul,6157.91,PRIMATES,ATELIDAE,Alouatta,VU,Herbivore,299980.28263438
120,Alouatta caraya,5576.96,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore,2312008.78583606
121,Alouatta discolor,6361.288889,PRIMATES,ATELIDAE,Alouatta,VU,Herbivore,312348.989486215
122,Alouatta guariba,5188.33,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore,293561.080344187
123,Alouatta macconnelli,7250.0,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore,1590396.50887267
124,Alouatta nigerrima,6320.0,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore,221540.761966413
125,Alouatta palliata,6576.99,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore,277434.791663947
126,Alouatta pigra,7172.06,PRIMATES,ATELIDAE,Alouatta,EN,Herbivore,159697.227707238
127,Alouatta sara,6611.04,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore,144040.636755548
128,Alouatta ululata,6361.288889,PRIMATES,ATELIDAE,Alouatta,EN,Herbivore,31469.7478128969
129,Alticola albicaudus,42.21130602,RODENTIA,CRICETIDAE,Alticola,DD,Herbivore,51979.8819596108
130,Alticola argentatus,37.69,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,373566.260107323
131,Alticola barakshin,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,7671.7295663281
132,Alticola lemminus,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,313.1318190338
133,Alticola macrotis,36.0,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,9863.6522995647
