,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
1923,Macaca fascicularis,4569.32,PRIMATES,CERCOPITHECIDAE,Macaca,LC,Carnivore,2282887.52666592
1924,Macaca fuscata,10114.76,PRIMATES,CERCOPITHECIDAE,Macaca,LC,Omnivore,155783.079969315
1925,Macaca hecki,11200.0,PRIMATES,CERCOPITHECIDAE,Macaca,VU,Herbivore,3444.4500093718
1926,Macaca leonina,7783.0,PRIMATES,CERCOPITHECIDAE,Macaca,VU,Herbivore,979946.027666277
1927,Macaca mulatta,6455.19,PRIMATES,CERCOPITHECIDAE,Macaca,LC,Omnivore,6310858.6808072
1928,Macaca munzala,7537.053333,PRIMATES,CERCOPITHECIDAE,Macaca,EN,Omnivore,1252.5272761352
1929,Macaca nemestrina,7820.78,PRIMATES,CERCOPITHECIDAE,Macaca,VU,Herbivore,1274133.37164853
1930,Macaca nigra,7359.39,PRIMATES,CERCOPITHECIDAE,Macaca,CR,Omnivore,1722.2250046859
1931,Macaca nigrescens,9500.0,PRIMATES,CERCOPITHECIDAE,Macaca,VU,Omnivore,7984.8613853619
1932,Macaca ochreata,2745.5,PRIMATES,CERCOPITHECIDAE,Macaca,VU,Omnivore,3914.1477379225
1933,Macaca radiata,4999.99,PRIMATES,CERCOPITHECIDAE,Macaca,LC,Omnivore,611859.574392045
1934,Macaca silenus,5995.25,PRIMATES,CERCOPITHECIDAE,Macaca,EN,Omnivore,22388.9250609167
1935,Macaca sinica,4655.99,PRIMATES,CERCOPITHECIDAE,Macaca,EN,Omnivore,19727.3045991294
1936,Macaca thibetana,10593.06,PRIMATES,CERCOPITHECIDAE,Macaca,NT,Omnivore,151086.102683808
1937,Macaca tonkeana,10035.53,PRIMATES,CERCOPITHECIDAE,Macaca,VU,Omnivore,57459.6887927023
1938,Macroglossus minimus,16.3,CHIROPTERA,PTEROPODIDAE,Macroglossus,LC,Herbivore,2571595.06381508
1939,Macroglossus sobrinus,21.8,CHIROPTERA,PTEROPODIDAE,Macroglossus,LC,Herbivore,1195224.15325201
1940,Macrophyllum macrophyllum,8.02,CHIROPTERA,PHYLLOSTOMIDAE,Macrophyllum,LC,Carnivore,4210840.13645703
1941,Macropus agilis,11815.75,DIPROTODONTIA,MACROPODIDAE,Macropus,LC,Herbivore,791597.238517446
1942,Macropus antilopinus,27250.1,DIPROTODONTIA,MACROPODIDAE,Macropus,LC,Herbivore,638006.081281367
1943,Macropus bernardus,17000.0,DIPROTODONTIA,MACROPODIDAE,Macropus,NT,Herbivore,20040.4364181632
1944,Macropus dorsalis,11249.96,DIPROTODONTIA,MACROPODIDAE,Macropus,LC,Herbivore,379828.896487999
1945,Macropus parma,4156.62,DIPROTODONTIA,MACROPODIDAE,Macropus,NT,Herbivore,34444.500093718
1946,Macropus parryi,12629.83,DIPROTODONTIA,MACROPODIDAE,Macropus,LC,Herbivore,139030.527651007
1947,Macropus rufogriseus,16850.0,DIPROTODONTIA,MACROPODIDAE,Macropus,LC,Herbivore,414586.528400751
1948,Macroscelides proboscideus,38.64,MACROSCELIDEA,MACROSCELIDIDAE,Macroscelides,LC,Omnivore,202596.286914869
1949,Macrotarsomys bastardi,28.45,RODENTIA,NESOMYIDAE,Macrotarsomys,LC,Omnivore,23015.1886989843
1950,Macrotarsomys ingens,54.99,RODENTIA,NESOMYIDAE,Macrotarsomys,EN,Omnivore,1409.0931856521
1951,Macrotarsomys petteri,105.0,RODENTIA,NESOMYIDAE,Macrotarsomys,DD,Omnivore,17.9852767568359
1952,Macrotus californicus,11.83,CHIROPTERA,PHYLLOSTOMIDAE,Macrotus,LC,Carnivore,357753.103246116
1953,Macrotus waterhousii,16.27,CHIROPTERA,PHYLLOSTOMIDAE,Macrotus,LC,Omnivore,222949.855152066
1954,Macruromys elegans,357.25,RODENTIA,MURIDAE,Macruromys,DD,Herbivore,313.1318190338
1955,Macruromys major,357.25,RODENTIA,MURIDAE,Macruromys,LC,Herbivore,144197.202665065
1956,Madromys blanfordi,246.0675929,RODENTIA,MURIDAE,Madromys,LC,Omnivore,190227.580063033
1957,Makalata didelphoides,398.66,RODENTIA,ECHIMYIDAE,Makalata,LC,Herbivore,1504598.39045741
1958,Makalata macrura,439.0,RODENTIA,ECHIMYIDAE,Makalata,LC,Herbivore,1692007.78414914
1959,Malacomys cansdalei,63.85388804,RODENTIA,MURIDAE,Malacomys,LC,Omnivore,62313.2319877262
1960,Malacomys edwardsi,63.78,RODENTIA,MURIDAE,Malacomys,LC,Omnivore,153121.459507528
1961,Malacomys longipes,95.64,RODENTIA,MURIDAE,Malacomys,LC,Omnivore,482379.567221569
1962,Malacothrix typica,17.02,RODENTIA,NESOMYIDAE,Malacothrix,LC,Omnivore,931567.161625555
1963,Mallomys aroaensis,1663.99,RODENTIA,MURIDAE,Mallomys,LC,Herbivore,118050.695775743
1964,Mallomys gunung,2041.47,RODENTIA,MURIDAE,Mallomys,EN,Herbivore,156.5659095169
1965,Mallomys istapantap,1990.43,RODENTIA,MURIDAE,Mallomys,LC,Herbivore,69671.8297350205
1966,Mallomys rothschildi,1157.5,RODENTIA,MURIDAE,Mallomys,LC,Herbivore,159697.227707238
1967,Mammelomys lanosus,117.1,RODENTIA,MURIDAE,Mammelomys,LC,Herbivore,71863.7524682571
1968,Mammelomys rattoides,209.49,RODENTIA,MURIDAE,Mammelomys,LC,Herbivore,26459.6387083561
1969,Mandrillus leucophaeus,14253.3,PRIMATES,CERCOPITHECIDAE,Mandrillus,EN,Omnivore,15656.59095169
1970,Mandrillus sphinx,16685.06,PRIMATES,CERCOPITHECIDAE,Mandrillus,VU,Omnivore,81101.1411297542
1971,Manis crassicaudata,8017.56,PHOLIDOTA,MANIDAE,Manis,EN,Carnivore,495217.971801955
1972,Manis culionensis,2100.0,PHOLIDOTA,MANIDAE,Manis,EN,Carnivore,5166.6750140577
1973,Manis javanica,4861.71,PHOLIDOTA,MANIDAE,Manis,CR,Carnivore,2227150.0628779
1974,Manis pentadactyla,4675.0,PHOLIDOTA,MANIDAE,Manis,CR,Carnivore,1389679.012872
1975,Margaretamys beccarii,70.35,RODENTIA,MURIDAE,Margaretamys,VU,Omnivore,5792.9386521253
1976,Margaretamys elegans,121.0,RODENTIA,MURIDAE,Margaretamys,NT,Omnivore,782.8295475845
1977,Margaretamys parvus,95.675,RODENTIA,MURIDAE,Margaretamys,DD,Omnivore,9863.6522995647
1978,Marmosa andersoni,47.4,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,DD,Omnivore,9707.0863900478
1979,Marmosa lepida,14.0,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,LC,Omnivore,2646433.56856416
1980,Marmosa mexicana,49.06,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,LC,Omnivore,465470.448993744
1981,Marmosa murina,36.28,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,LC,Omnivore,3996031.70859984
1982,Marmosa quichua,66.61034,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,LC,Omnivore,20197.0023276801
1983,Marmosa robinsoni,60.57,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,LC,Omnivore,176449.780025546
1984,Marmosa rubra,62.99,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,DD,Omnivore,253793.339326895
1985,Marmosa tyleriana,32.4,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,DD,Omnivore,7984.8613853619
1986,Marmosa xerophila,46.2,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,VU,Omnivore,7515.1636568112
1987,Marmosops bishopi,18.7,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,1667113.80453595
1988,Marmosops cracens,26.26,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,DD,Omnivore,156.5659095169
1989,Marmosops creightoni,35.47950661,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,DD,Omnivore,939.3954571014
1990,Marmosops fuscatus,45.15,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,DD,Omnivore,16282.8545897576
1991,Marmosops handleyi,30.7,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,CR,Omnivore,68.3877540273437
1992,Marmosops impavidus,41.71,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,224045.816518684
1993,Marmosops incanus,59.88,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,148424.482222021
1994,Marmosops invictus,29.19,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,12525.272761352
1995,Marmosops juninensis,52.43837938,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,VU,Omnivore,5166.6750140577
1996,Marmosops neblina,38.5,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,92843.5843435217
1997,Marmosops noctivagus,39.77,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,1640810.73173711
1998,Marmosops ocellatus,35.47950661,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,138873.96174149
1999,Marmosops parvidens,15.0,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,910743.895659807
2000,Marmosops paulensis,38.89,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,4227.2795569563
2001,Marmosops pinheiroi,25.04520655,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,LC,Omnivore,433531.003452296
2002,Marmota baibacina,5375.0,RODENTIA,SCIURIDAE,Marmota,LC,Herbivore,124313.332156419
2003,Marmota bobak,7300.0,RODENTIA,SCIURIDAE,Marmota,LC,Herbivore,25520.2432512547
2004,Marmota broweri,3250.0,RODENTIA,SCIURIDAE,Marmota,LC,Herbivore,144823.466303132
2005,Marmota caligata,2253.71,RODENTIA,SCIURIDAE,Marmota,LC,Herbivore,333015.689542446
2006,Marmota camtschatica,4750.0,RODENTIA,SCIURIDAE,Marmota,LC,Omnivore,156.5659095169
2007,Marmota flaviventris,3709.73,RODENTIA,SCIURIDAE,Marmota,LC,Herbivore,449500.72622302
2008,Marmota himalayana,6600.0,RODENTIA,SCIURIDAE,Marmota,LC,Herbivore,1042259.259654
2009,Marmota marmota,4059.15,RODENTIA,SCIURIDAE,Marmota,LC,Herbivore,63722.3251733783
2010,Marmota monax,3880.93,RODENTIA,SCIURIDAE,Marmota,LC,Omnivore,3770733.36480502
2011,Marmota sibirica,7000.0,RODENTIA,SCIURIDAE,Marmota,EN,Herbivore,161419.452711924
2012,Martes americana,873.69,CARNIVORA,MUSTELIDAE,Martes,LC,Omnivore,1524325.69505654
2013,Martes flavigula,2504.64,CARNIVORA,MUSTELIDAE,Martes,LC,Omnivore,3331409.4227006
2014,Martes foina,1675.0,CARNIVORA,MUSTELIDAE,Martes,LC,Omnivore,4017011.5404751
2015,Martes martes,1299.99,CARNIVORA,MUSTELIDAE,Martes,LC,Omnivore,3223065.8133149
2016,Martes melampus,1000.0,CARNIVORA,MUSTELIDAE,Martes,LC,Omnivore,118676.95941381
2017,Martes pennanti,3750.0,CARNIVORA,MUSTELIDAE,Martes,LC,Carnivore,1553446.95422668
2018,Martes zibellina,1173.91,CARNIVORA,MUSTELIDAE,Martes,LC,Omnivore,2252357.17431012
2019,Massoutiera mzabi,194.0,RODENTIA,CTENODACTYLIDAE,Massoutiera,LC,Herbivore,25833.3750702885
2020,Mastomys awashensis,113.69,RODENTIA,MURIDAE,Mastomys,LC,Omnivore,27399.0341654575
2021,Mastomys coucha,53.81,RODENTIA,MURIDAE,Mastomys,LC,Omnivore,805688.170373967
2022,Mastomys erythroleucus,64.07,RODENTIA,MURIDAE,Mastomys,LC,Omnivore,5347508.63954972
2023,Mastomys huberti,385.0,RODENTIA,MURIDAE,Mastomys,LC,Omnivore,369808.678278918
2024,Mastomys kollmannspergeri,90.91,RODENTIA,MURIDAE,Mastomys,LC,Omnivore,696248.599621654
2025,Mastomys natalensis,41.85,RODENTIA,MURIDAE,Mastomys,LC,Omnivore,10150167.9139806
2026,Mastomys pernanus,113.69,RODENTIA,MURIDAE,Mastomys,DD,Omnivore,626.2636380676
2027,Mastomys shortridgei,46.5,RODENTIA,MURIDAE,Mastomys,LC,Omnivore,31469.7478128969
2028,Maxomys alticola,158.96,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,3131.318190338
2029,Maxomys baeodon,158.96,RODENTIA,MURIDAE,Maxomys,DD,Omnivore,53232.409235746
2030,Maxomys bartelsii,88.46,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,4853.5431950239
2031,Maxomys dollmani,139.9266667,RODENTIA,MURIDAE,Maxomys,DD,Omnivore,626.2636380676
2032,Maxomys hellwaldii,203.0,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,17065.6841373421
2033,Maxomys hylomyoides,139.9266667,RODENTIA,MURIDAE,Maxomys,DD,Omnivore,156.5659095169
2034,Maxomys inas,89.99,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,11585.8773042506
2035,Maxomys inflatus,152.0,RODENTIA,MURIDAE,Maxomys,VU,Omnivore,62000.1001686924
2036,Maxomys moi,147.0,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,7828.295475845
2037,Maxomys musschenbroekii,84.8,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,113666.850309269
2038,Maxomys ochraceiventer,158.96,RODENTIA,MURIDAE,Maxomys,DD,Omnivore,108187.043476178
2039,Maxomys pagensis,196.0,RODENTIA,MURIDAE,Maxomys,VU,Omnivore,4227.2795569563
2040,Maxomys panglima,158.96,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,5166.6750140577
2041,Maxomys rajah,150.0,RODENTIA,MURIDAE,Maxomys,VU,Omnivore,320020.719052544
2042,Maxomys surifer,150.48,RODENTIA,MURIDAE,Maxomys,LC,Omnivore,1365567.8628064
2043,Maxomys wattsi,147.0,RODENTIA,MURIDAE,Maxomys,EN,Omnivore,626.2636380676
2044,Maxomys whiteheadi,54.33,RODENTIA,MURIDAE,Maxomys,VU,Omnivore,1063395.65743878
2045,Mazama americana,20546.86,CETARTIODACTYLA,CERVIDAE,Mazama,DD,Herbivore,6454116.48801517
2046,Mazama bricenii,16499.85,CETARTIODACTYLA,CERVIDAE,Mazama,VU,Herbivore,25676.8091607716
2047,Mazama chunyi,16071.74,CETARTIODACTYLA,CERVIDAE,Mazama,VU,Herbivore,96131.4684433766
2048,Mazama gouazoubira,16633.17,CETARTIODACTYLA,CERVIDAE,Mazama,LC,Herbivore,4435199.08479474
2049,Mazama nana,16499.85,CETARTIODACTYLA,CERVIDAE,Mazama,VU,Herbivore,55424.3319689826
2050,Mazama nemorivaga,18335.81714,CETARTIODACTYLA,CERVIDAE,Mazama,LC,Herbivore,4701204.56506396
2051,Mazama pandora,21000.0,CETARTIODACTYLA,CERVIDAE,Mazama,VU,Herbivore,114136.54803782
2052,Mazama rufina,21099.25,CETARTIODACTYLA,CERVIDAE,Mazama,VU,Herbivore,48222.3001312052
2053,Mazama temama,18335.81714,CETARTIODACTYLA,CERVIDAE,Mazama,DD,Herbivore,334581.348637615
2054,Megadendromus nikolausi,52.0,RODENTIA,NESOMYIDAE,Megadendromus,DD,Omnivore,2505.0545522704
2055,Megaderma spasma,24.71,CHIROPTERA,MEGADERMATIDAE,Megaderma,LC,Carnivore,1737725.02972807
2056,Megadontomys cryophilus,57.0,RODENTIA,CRICETIDAE,Megadontomys,EN,Herbivore,313.1318190338
2057,Megadontomys nelsoni,57.0,RODENTIA,CRICETIDAE,Megadontomys,EN,Herbivore,6419.2022901929
2058,Megadontomys thomasi,110.52,RODENTIA,CRICETIDAE,Megadontomys,EN,Herbivore,3444.4500093718
2059,Megaerops ecaudatus,26.29,CHIROPTERA,PTEROPODIDAE,Megaerops,LC,Herbivore,316732.834952689
2060,Megaerops kusnotoi,25.86,CHIROPTERA,PTEROPODIDAE,Megaerops,VU,Herbivore,6106.0704711591
2061,Megaerops niphanae,32.59,CHIROPTERA,PTEROPODIDAE,Megaerops,LC,Herbivore,257394.355245784
2062,Megaerops wetmorei,18.7,CHIROPTERA,PTEROPODIDAE,Megaerops,VU,Herbivore,109909.268480864
2063,Megaloglossus woermanni,16.71,CHIROPTERA,PTEROPODIDAE,Megaloglossus,LC,Herbivore,853753.904595656
2064,Megasorex gigas,11.71,EULIPOTYPHLA,SORICIDAE,Megasorex,LC,Omnivore,80944.5752202373
2065,Melanomys caliginosus,41.0,RODENTIA,CRICETIDAE,Melanomys,LC,Omnivore,120242.618508979
2066,Melanomys robustulus,53.5,RODENTIA,CRICETIDAE,Melanomys,LC,Omnivore,3601.0159188887
2067,Melanomys zunigae,53.5,RODENTIA,CRICETIDAE,Melanomys,CR,Omnivore,313.1318190338
2068,Melasmothrix naso,49.0,RODENTIA,MURIDAE,Melasmothrix,DD,Carnivore,1409.0931856521
2069,Meles anakuma,5100.0,CARNIVORA,MUSTELIDAE,Meles,LC,Omnivore,196333.650534193
2070,Meles leucurus,6250.0,CARNIVORA,MUSTELIDAE,Meles,LC,Omnivore,9677651.99905862
2071,Meles meles,11884.03,CARNIVORA,MUSTELIDAE,Meles,LC,Omnivore,3825531.43313593
2072,Mellivora capensis,8999.99,CARNIVORA,MUSTELIDAE,Mellivora,LC,Omnivore,20677033.4062589
2073,Melogale everetti,2000.0,CARNIVORA,MUSTELIDAE,Melogale,EN,Omnivore,156.5659095169
2074,Melogale moschata,938.5,CARNIVORA,MUSTELIDAE,Melogale,LC,Carnivore,2122877.16713965
2075,Melogale orientalis,2000.0,CARNIVORA,MUSTELIDAE,Melogale,LC,Omnivore,31626.3137224138
2076,Melogale personata,1845.26,CARNIVORA,MUSTELIDAE,Melogale,LC,Carnivore,1641280.42946566
2077,Melomys aerosus,97.3,RODENTIA,MURIDAE,Melomys,EN,Herbivore,1252.5272761352
2078,Melomys bannisteri,84.83375,RODENTIA,MURIDAE,Melomys,EN,Herbivore,469.6977285507
2079,Melomys burtoni,71.29,RODENTIA,MURIDAE,Melomys,LC,Herbivore,326283.35543322
2080,Melomys capensis,70.0,RODENTIA,MURIDAE,Melomys,LC,Herbivore,313.1318190338
2081,Melomys caurinus,108.5,RODENTIA,MURIDAE,Melomys,EN,Herbivore,469.6977285507
2082,Melomys cervinipes,71.2,RODENTIA,MURIDAE,Melomys,LC,Herbivore,153747.723145596
2083,Melomys cooperae,84.83375,RODENTIA,MURIDAE,Melomys,DD,Herbivore,2035.3568237197
2084,Melomys dollmani,81.0,RODENTIA,MURIDAE,Melomys,LC,Herbivore,36636.4228269546
2085,Melomys fraterculus,47.8,RODENTIA,MURIDAE,Melomys,CR,Herbivore,155.743161162598
2086,Melomys frigicola,68.0,RODENTIA,MURIDAE,Melomys,LC,Herbivore,2661.6204617873
2087,Melomys fulgens,84.83375,RODENTIA,MURIDAE,Melomys,DD,Herbivore,156.5659095169
2088,Melomys howi,84.83375,RODENTIA,MURIDAE,Melomys,DD,Herbivore,313.1318190338
2089,Melomys leucogaster,104.17,RODENTIA,MURIDAE,Melomys,LC,Herbivore,152025.49814091
2090,Melomys lutillus,68.0,RODENTIA,MURIDAE,Melomys,LC,Herbivore,4540.4113759901
2091,Melomys matambuai,144.99,RODENTIA,MURIDAE,Melomys,EN,Herbivore,1565.659095169
2092,Melomys obiensis,71.0,RODENTIA,MURIDAE,Melomys,LC,Herbivore,782.8295475845
2093,Melomys paveli,84.83375,RODENTIA,MURIDAE,Melomys,DD,Herbivore,156.5659095169
2094,Melomys rufescens,60.1,RODENTIA,MURIDAE,Melomys,LC,Herbivore,554556.45150886
2095,Melomys talaudium,108.0,RODENTIA,MURIDAE,Melomys,EN,Herbivore,469.6977285507
2096,Melonycteris fardoulisi,41.895,CHIROPTERA,PTEROPODIDAE,Melonycteris,LC,Herbivore,12525.272761352
2097,Melonycteris melanops,47.59,CHIROPTERA,PTEROPODIDAE,Melonycteris,LC,Herbivore,17848.5136849266
2098,Melonycteris woodfordi,36.2,CHIROPTERA,PTEROPODIDAE,Melonycteris,LC,Herbivore,14090.931856521
2099,Melursus ursinus,99999.99,CARNIVORA,URSIDAE,Melursus,VU,Omnivore,347732.885037035
2100,Menetes berdmorei,195.0,RODENTIA,SCIURIDAE,Menetes,LC,Herbivore,558783.731065816
2101,Mephitis macroura,1097.76,CARNIVORA,MEPHITIDAE,Mephitis,LC,Omnivore,1018617.80731695
2102,Mephitis mephitis,2399.99,CARNIVORA,MEPHITIDAE,Mephitis,LC,Omnivore,7218940.95600522
2103,Meriones arimalius,91.33333333,RODENTIA,MURIDAE,Meriones,LC,Omnivore,256298.393879165
2104,Meriones chengi,63.85388804,RODENTIA,MURIDAE,Meriones,LC,Omnivore,43212.1910266644
2105,Meriones crassus,69.94,RODENTIA,MURIDAE,Meriones,LC,Omnivore,6588606.60429018
2106,Meriones dahli,63.85388804,RODENTIA,MURIDAE,Meriones,EN,Omnivore,939.3954571014
2107,Meriones grandis,90.6,RODENTIA,MURIDAE,Meriones,LC,Omnivore,100202.182090816
2108,Meriones hurrianae,71.02,RODENTIA,MURIDAE,Meriones,LC,Omnivore,201656.891457767
2109,Meriones libycus,91.33,RODENTIA,MURIDAE,Meriones,LC,Omnivore,4379305.05509721
2110,Meriones meridianus,62.1,RODENTIA,MURIDAE,Meriones,LC,Herbivore,1936720.30072405
2111,Meriones persicus,107.52,RODENTIA,MURIDAE,Meriones,LC,Omnivore,574753.45383654
2112,Meriones rex,125.25,RODENTIA,MURIDAE,Meriones,LC,Omnivore,136682.039008254
2113,Meriones sacramenti,200.0,RODENTIA,MURIDAE,Meriones,VU,Omnivore,6888.9000187436
2114,Meriones shawi,90.6,RODENTIA,MURIDAE,Meriones,LC,Omnivore,211677.109666849
2115,Meriones tamariscinus,120.0,RODENTIA,MURIDAE,Meriones,LC,Herbivore,852501.37731952
2116,Meriones tristrami,111.62,RODENTIA,MURIDAE,Meriones,LC,Herbivore,372783.430559739
2117,Meriones unguiculatus,57.75,RODENTIA,MURIDAE,Meriones,LC,Herbivore,276338.830297328
2118,Meriones vinogradovi,117.0,RODENTIA,MURIDAE,Meriones,LC,Herbivore,6262.636380676
2119,Meriones zarudnyi,95.86069434,RODENTIA,MURIDAE,Meriones,DD,Omnivore,2035.3568237197
2120,Mesechinus dauuricus,342.0,EULIPOTYPHLA,ERINACEIDAE,Mesechinus,LC,Carnivore,1876442.42556005
2121,Mesechinus hughi,229.57,EULIPOTYPHLA,ERINACEIDAE,Mesechinus,LC,Omnivore,243303.423389263
2122,Mesembriomys macrurus,294.28,RODENTIA,MURIDAE,Mesembriomys,LC,Omnivore,9550.5204805309
2123,Mesocapromys angelcabrerai,1533.200179,RODENTIA,CAPROMYIDAE,Mesocapromys,EN,Omnivore,3.59655974414062
2124,Mesocricetus auratus,98.6,RODENTIA,CRICETIDAE,Mesocricetus,VU,Omnivore,4540.4113759901
2125,Mesocricetus brandti,198.0,RODENTIA,CRICETIDAE,Mesocricetus,NT,Omnivore,483318.96267867
2126,Mesocricetus newtoni,97.5,RODENTIA,CRICETIDAE,Mesocricetus,NT,Omnivore,30686.9182653124
2127,Mesocricetus raddei,47.33071483,RODENTIA,CRICETIDAE,Mesocricetus,LC,Herbivore,103020.36846212
2128,Mesomys hispidus,175.0,RODENTIA,ECHIMYIDAE,Mesomys,LC,Herbivore,3066969.60152655
2129,Mesomys leniceps,108.0,RODENTIA,ECHIMYIDAE,Mesomys,DD,Herbivore,782.8295475845
2130,Mesomys occultus,130.3333333,RODENTIA,ECHIMYIDAE,Mesomys,LC,Herbivore,53075.8433262291
2131,Mesomys stimulax,108.0,RODENTIA,ECHIMYIDAE,Mesomys,LC,Herbivore,43995.0205742489
2132,Mesophylla macconnelli,6.86,CHIROPTERA,PHYLLOSTOMIDAE,Mesophylla,LC,Herbivore,4962669.63395718
2133,Metachirus nudicaudatus,363.77,DIDELPHIMORPHIA,DIDELPHIDAE,Metachirus,LC,Omnivore,4145082.45445993
2134,Mico acariensis,343.125,PRIMATES,CALLITRICHIDAE,Mico,DD,Omnivore,19570.7386896125
2135,Mico argentatus,350.0,PRIMATES,CALLITRICHIDAE,Mico,LC,Herbivore,101767.841185985
2136,Mico emiliae,386.2,PRIMATES,CALLITRICHIDAE,Mico,DD,Omnivore,119616.354870912
2137,Mico humeralifer,472.0,PRIMATES,CALLITRICHIDAE,Mico,DD,Herbivore,56676.8592451178
2138,Mico intermedius,295.0,PRIMATES,CALLITRICHIDAE,Mico,LC,Omnivore,23954.5841560857
2139,Mico leucippe,386.2,PRIMATES,CALLITRICHIDAE,Mico,VU,Omnivore,58242.5183402868
2140,Mico marcai,343.125,PRIMATES,CALLITRICHIDAE,Mico,DD,Omnivore,7202.0318377774
2141,Mico mauesi,398.0,PRIMATES,CALLITRICHIDAE,Mico,LC,Omnivore,27868.7318940082
2142,Mico melanurus,397.5,PRIMATES,CALLITRICHIDAE,Mico,LC,Omnivore,59025.3478878713
2143,Mico nigriceps,343.125,PRIMATES,CALLITRICHIDAE,Mico,DD,Omnivore,23641.4523370519
2144,Mico rondoni,330.0,PRIMATES,CALLITRICHIDAE,Mico,VU,Omnivore,42116.2296600461
2145,Mico saterei,343.125,PRIMATES,CALLITRICHIDAE,Mico,LC,Omnivore,18631.3432325111
2146,Microakodontomys transitorius,60.64641072,RODENTIA,CRICETIDAE,Microakodontomys,EN,Herbivore,17848.5136849266
2147,Microcavia australis,261.49,RODENTIA,CAVIIDAE,Microcavia,LC,Herbivore,255672.130241098
2148,Microcavia niata,254.67,RODENTIA,CAVIIDAE,Microcavia,LC,Herbivore,51510.1842310601
2149,Microcavia shiptoni,185.0,RODENTIA,CAVIIDAE,Microcavia,NT,Herbivore,38515.2137411574
2150,Microcebus bongolavensis,54.22,PRIMATES,CHEIROGALEIDAE,Microcebus,EN,Omnivore,626.2636380676
2151,Microcebus griseorufus,70.24,PRIMATES,CHEIROGALEIDAE,Microcebus,LC,Omnivore,2818.1863713042
2152,Microcebus jollyae,54.22,PRIMATES,CHEIROGALEIDAE,Microcebus,EN,Omnivore,156.831141998047
2153,Microcebus lehilahytsara,54.22,PRIMATES,CHEIROGALEIDAE,Microcebus,VU,Omnivore,1565.659095169
2154,Microcebus mamiratra,60.0,PRIMATES,CHEIROGALEIDAE,Microcebus,CR,Omnivore,156.5659095169
2155,Microcebus mittermeieri,54.22,PRIMATES,CHEIROGALEIDAE,Microcebus,EN,Omnivore,313.1318190338
2156,Microcebus murinus,69.0,PRIMATES,CHEIROGALEIDAE,Microcebus,LC,Omnivore,22232.3591513998
2157,Microcebus myoxinus,31.23,PRIMATES,CHEIROGALEIDAE,Microcebus,VU,Omnivore,9707.0863900478
2158,Microcebus ravelobensis,58.6,PRIMATES,CHEIROGALEIDAE,Microcebus,EN,Omnivore,1409.0931856521
2159,Microcebus rufus,48.39,PRIMATES,CHEIROGALEIDAE,Microcebus,VU,Omnivore,2505.0545522704
2160,Microcebus sambiranensis,49.06,PRIMATES,CHEIROGALEIDAE,Microcebus,EN,Omnivore,313.1318190338
2161,Microcebus simmonsi,54.22,PRIMATES,CHEIROGALEIDAE,Microcebus,EN,Omnivore,313.1318190338
2162,Microcebus tavaratra,68.01,PRIMATES,CHEIROGALEIDAE,Microcebus,VU,Omnivore,1095.9613666183
2163,Microdillus peeli,10.18,RODENTIA,MURIDAE,Microdillus,LC,Omnivore,19257.6068705787
2164,Microdipodops megacephalus,12.3,RODENTIA,HETEROMYIDAE,Microdipodops,LC,Herbivore,24267.7159751195
2165,Microdipodops pallidus,13.36,RODENTIA,HETEROMYIDAE,Microdipodops,LC,Omnivore,6575.7681997098
