binomial,gen_length_d
Pseudantechinus bilarni,678.278925
Pseudantechinus mimulus,678.278925
Pseudochirulus cinereus,1217.0925
Pseudois nayaur,2949.321667
Pseudomys australis,884.68295
Pseudomys calabyi,884.68295
Pseudomys fieldi,884.68295
Pseudomys fumeus,884.68295
Pseudomys novaehollandiae,884.68295
Pseudomys oralis,884.68295
Pseudomys shortridgei,884.68295
Pseudoryx nghetinhensis,2287.540787
Pteralopex taki,2349.856741
Pteropus aldabrensis,2945.918407
Pteropus dasymallus,1825
Pteropus livingstonii,2945.918407
Pteropus mariannus,2945.918407
Pteropus niger,2945.918407
Pteropus pselaphon,2945.918407
Pteropus rodricensis,3833.0013
Pteropus rufus,2190
Pteropus seychellensis,2945.918407
Pygathrix cinerea,4015
Rangifer tarandus,1825
Raphicerus melanotis,1856.78
Raphicerus sharpei,1742.47
Redunca arundinum,2293.051667
Reithrodontomys spectabilis,202.795
Rhinoceros sondaicus,5400.53
Rhinoceros unicornis,6851.989367
Rhinopithecus brelichi,3650
Rhinopithecus strykeri,2190
Rhinopoma hadramauticum,2190
Rhynchocyon chrysopygus,850.77085
Rhynchocyon udzungwensis,850.77085
Romerolagus diazi,969.8600667
Rucervus duvaucelii,2920
Rucervus eldii,1825
Rungwecebus kipunji,4061.723281
Rupicapra pyrenaica,2437.9015
Rupicapra rupicapra,3650
Rusa alfredi,2555.9125
Rusa timorensis,1825
Saguinus oedipus,2190
Saiga tatarica,1700.19755
Saimiri oerstedii,3354.65875
Santamartamys rufodorsalis,739.0095889
Sapajus flavius,739.0095889
Sarcophilus harrisii,1704.2151
Semnopithecus ajax,3728.2195
Setonix brachyurus,1460
Simias concolor,4024.409658
Sminthopsis leucopus,542.6033
Sminthopsis psammophila,546.0264667
Spalax giganteus,1032.923574
Speothos venaticus,1559.119689
Sylvicapra grimmia,1986.497967
Syncerus caffer,4169.76
Tapirus bairdii,4015
Tapirus indicus,4015
Tapirus pinchaque,4015
Tarsius sangirensis,2190
Tarsius tumpara,2190
Tetracerus quadricornis,1637.317
Theropithecus gelada,4456.1902
Trachypithecus delacouri,3915.454545
Trachypithecus francoisi,4015
Trachypithecus geei,3650
Trachypithecus poliocephalus,4015
Tragelaphus angasii,2275.812133
Tragelaphus buxtoni,2190
Tragelaphus derbianus,2592.853829
Tragelaphus eurycerus,2555
Tragelaphus imberbis,2555
Tragelaphus oryx,3405.9027
Tragelaphus scriptus,1914.548167
Tragelaphus spekii,2746.500967
Tragelaphus strepsiceros,3100.066667
Tremarctos ornatus,3650
Urocyon littoralis,1171.6557
Uromys hadrourus,639.6318318
Ursus americanus,4734.076867
Ursus arctos,5976.266667
Ursus maritimus,5475
Vicugna vicugna,3674.846867
Vulpes pallida,1529.35
Wyulda squamicaudata,2000.363913
Xeromys myoides,624.3996409
Zyzomys maini,624.3996409
Zyzomys palatalis,639.6318318
Zyzomys pedunculatus,639.6318318
Loxodonta cyclotis,9125
