,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2
71,Cephalophus rufilatus,12114.57,LC,170000.0,Omnivore,CETARTIODACTYLA,2206639.92873119
72,Cephalophus silvicultor,62006.6,NT,160000.0,Omnivore,CETARTIODACTYLA,3320762.94085345
73,Cephalophus spadix,56857.02,EN,2250.0,Herbivore,CETARTIODACTYLA,2974.7522808211
74,Cephalophus weynsi,17000.0,LC,188000.0,Omnivore,CETARTIODACTYLA,849996.32276725
75,Cephalophus zebra,15654.75,VU,15000.0,Omnivore,CETARTIODACTYLA,45404.113759901
76,Ceratotherium simum,2285939.0,NT,20170.0,Herbivore,PERISSODACTYLA,2396554.37697519
77,Cercopithecus dryas,2784.06,CR,200.0,Herbivore,PRIMATES,3287.8840998549
78,Cervus albirostris,109666.7,VU,7000.0,Herbivore,CETARTIODACTYLA,122434.541242216
79,Cervus canadensis,240867.1,LC,1300000.0,Herbivore,CETARTIODACTYLA,2643771.94810237
80,Cervus elaphus,240867.1,LC,2435500.0,Herbivore,CETARTIODACTYLA,1592275.29978687
81,Cervus hanglu,240867.1,LC,2700.0,Herbivore,CETARTIODACTYLA,46500.0751265193
82,Chalinolobus neocaledonicus,10.17,EN,1500.0,Carnivore,CHIROPTERA,156.5659095169
83,Chinchilla lanigera,480.28,EN,8025.0,Herbivore,RODENTIA,4853.5431950239
84,Choeropsis liberiensis,227500.0,EN,3353.0,Herbivore,CETARTIODACTYLA,62782.9297162769
85,Chrysocyon brachyurus,23325.0,NT,25500.0,Omnivore,CARNIVORA,3920880.07203173
86,Coleura seychellensis,10.64,CR,106.0,Carnivore,CHIROPTERA,313.1318190338
87,Conilurus penicillatus,175.02,VU,75000.0,Omnivore,RODENTIA,13934.3659470041
88,Connochaetes gnou,156547.5,LC,12094.5,Herbivore,CETARTIODACTYLA,32409.1432699983
89,Connochaetes taurinus,198619.7,LC,1550000.0,Herbivore,CETARTIODACTYLA,1576931.84065422
90,Crocuta crocuta,63369.98,LC,35623.0,Carnivore,CARNIVORA,7726214.50283998
91,Cryptoprocta ferox,9500.0,VU,7151.0,Carnivore,CARNIVORA,92530.4525244879
92,Cuon alpinus,15800.0,EN,6874.0,Carnivore,CARNIVORA,1568164.14972127
93,Cynogale bennettii,4246.57,EN,3735.0,Omnivore,CARNIVORA,410672.380662829
94,Cynomys ludovicianus,797.05,LC,11052000.0,Herbivore,RODENTIA,287924.707601579
95,Cynomys parvidens,899.98,EN,12000.0,Omnivore,RODENTIA,1095.9613666183
96,Damaliscus lunatus,136000.3,LC,300000.0,Herbivore,CETARTIODACTYLA,1144966.49629709
97,Damaliscus pygargus,77784.55,LC,240987.0,Herbivore,CETARTIODACTYLA,36010.159188887
98,Dasycercus cristicauda,99.54,NT,27000.0,Carnivore,DASYUROMORPHIA,114919.377585405
99,Dasyuroides byrnei,109.47,VU,7500.0,Carnivore,DASYUROMORPHIA,10333.3500281154
100,Dasyurus geoffroii,1106.62,NT,20125.0,Carnivore,DASYUROMORPHIA,80474.8774916866
101,Dasyurus maculatus,3284.15,NT,21000.0,Omnivore,DASYUROMORPHIA,142005.279931828
102,Dasyurus viverrinus,1101.49,EN,16432.0,Omnivore,DASYUROMORPHIA,52762.7115071953
103,Dendrolagus lumholtzi,6649.97,NT,25981.0,Herbivore,DIPROTODONTIA,6732.3341092267
104,Dendrolagus matschiei,8293.4,EN,3750.0,Herbivore,DIPROTODONTIA,11429.3113947337
105,Dicerorhinus sumatrensis,1046156.0,CR,235.0,Herbivore,PERISSODACTYLA,497566.460444708
106,Diceros bicornis,995940.5,CR,4880.0,Herbivore,PERISSODACTYLA,3106737.34254385
107,Diplogale hosei,1450.0,VU,14000.0,Carnivore,CARNIVORA,96914.2979909611
108,Dipodomys gravipes,83.96,CR,10.5,Omnivore,RODENTIA,313.1318190338
109,Dorcatragus megalotis,10918.12,VU,10500.0,Herbivore,CETARTIODACTYLA,25520.2432512547
110,Elaphodus cephalophus,23087.87,NT,387298.0,Herbivore,CETARTIODACTYLA,247843.834765253
111,Elephas maximus,3269794.0,EN,46557.56,Herbivore,PROBOSCIDEA,379985.462397516
112,Enhydra lutris,27410.93,EN,125831.0,Carnivore,CARNIVORA,2030346.71461516
113,Equus africanus,250000.0,CR,205.0,Herbivore,PERISSODACTYLA,63096.0615353107
114,Equus grevyi,408000.3,EN,2680.0,Herbivore,PERISSODACTYLA,31939.4455414476
115,Equus hemionus,235248.1,NT,55000.0,Herbivore,PERISSODACTYLA,297944.925810661
116,Equus kiang,281138.6,LC,97211.0,Herbivore,PERISSODACTYLA,82197.1024963725
117,Equus quagga,400000.0,NT,500000.0,Herbivore,PERISSODACTYLA,1583507.60885393
118,Eudorcas albonotata,25000.0,LC,278000.0,Herbivore,CETARTIODACTYLA,122121.409423182
119,Eudorcas rufifrons,26999.77,VU,12000.0,Herbivore,CETARTIODACTYLA,1716118.93421474
120,Eudorcas thomsonii,22907.43,NT,550000.0,Herbivore,CETARTIODACTYLA,84232.4593200922
121,Eudorcas tilonura,22907.43,EN,2958.0,Herbivore,CETARTIODACTYLA,23641.4523370519
122,Eulemur cinereiceps,2250.0,CR,7265.0,Herbivore,PRIMATES,1565.659095169
123,Eumops floridanus,38.47,VU,5809.0,Carnivore,CHIROPTERA,626.2636380676
124,Eupetaurus cinereus,2500.0,EN,1732.0,Herbivore,RODENTIA,13934.3659470041
125,Felis margarita,2823.36,LC,40896.0,Carnivore,CARNIVORA,1726295.71833334
126,Felis nigripes,1362.77,VU,13867.0,Carnivore,CARNIVORA,1131345.26216912
127,Galidictis grandidieri,1400.0,EN,237.0,Carnivore,CARNIVORA,1095.9613666183
128,Gazella arabica,24124.67,VU,8874.0,Herbivore,CETARTIODACTYLA,17378.8159563759
129,Gazella bennettii,18916.67,LC,88741.0,Herbivore,CETARTIODACTYLA,2278033.98347089
130,Gazella gazella,21306.83,EN,3000.0,Herbivore,CETARTIODACTYLA,4383.8454664732
131,Gazella leptoceros,24645.75,EN,636.0,Herbivore,CETARTIODACTYLA,590253.478878713
132,Gazella marica,26981.37,VU,2910.0,Herbivore,CETARTIODACTYLA,2367119.98598601
