,Unnamed: 0,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2,gen_length_d
82,82,Chalinolobus neocaledonicus,10.17,EN,1500,Carnivore,CHIROPTERA,156.5659095169,2051.666208
83,83,Chinchilla lanigera,480.28,EN,8025,Herbivore,RODENTIA,4853.5431950239,1825
84,84,Choeropsis liberiensis,227500,EN,3353,Herbivore,CETARTIODACTYLA,62782.9297162769,5062.938695
85,85,Chrysocyon brachyurus,23325,NT,25500,Omnivore,CARNIVORA,3920880.07203173,2032.3307
86,86,Coleura seychellensis,10.64,CR,106,Carnivore,CHIROPTERA,313.1318190338,788.4
87,87,Conilurus penicillatus,175.02,VU,75000,Omnivore,RODENTIA,13934.3659470041,639.6318318
88,88,Connochaetes gnou,156547.5,LC,12094.5,Herbivore,CETARTIODACTYLA,32409.1432699983,2860.14
89,89,Connochaetes taurinus,198619.7,LC,1550000,Herbivore,CETARTIODACTYLA,1576931.84065422,2942.265
90,90,Crocuta crocuta,63369.98,LC,35623,Carnivore,CARNIVORA,7726214.50283998,5054.41125
91,91,Cryptoprocta ferox,9500,VU,7151,Carnivore,CARNIVORA,92530.4525244879,2555
92,92,Cuon alpinus,15800,EN,6874,Carnivore,CARNIVORA,1568164.14972127,2041.808633
93,93,Cynogale bennettii,4246.57,EN,3735,Omnivore,CARNIVORA,410672.380662829,1825
94,94,Cynomys ludovicianus,797.05,LC,11052000,Herbivore,RODENTIA,287924.707601579,1567.7682
95,95,Cynomys parvidens,899.98,EN,12000,Omnivore,RODENTIA,1095.9613666183,1567.7682
96,96,Damaliscus lunatus,136000.3,LC,300000,Herbivore,CETARTIODACTYLA,1144966.49629709,2190
97,97,Damaliscus pygargus,77784.55,LC,240987,Herbivore,CETARTIODACTYLA,36010.159188887,3053.358833
98,98,Dasycercus cristicauda,99.54,NT,27000,Carnivore,DASYUROMORPHIA,114919.377585405,1070.30375
99,99,Dasyuroides byrnei,109.47,VU,7500,Carnivore,DASYUROMORPHIA,10333.3500281154,1049.08055
100,100,Dasyurus geoffroii,1106.62,NT,20125,Carnivore,DASYUROMORPHIA,80474.8774916866,910.7963
101,101,Dasyurus maculatus,3284.15,NT,21000,Omnivore,DASYUROMORPHIA,142005.279931828,917.4219
102,102,Dasyurus viverrinus,1101.49,EN,16432,Omnivore,DASYUROMORPHIA,52762.7115071953,1010.0935
103,103,Dendrolagus lumholtzi,6649.97,NT,25981,Herbivore,DIPROTODONTIA,6732.3341092267,3618.937877
104,104,Dendrolagus matschiei,8293.4,EN,3750,Herbivore,DIPROTODONTIA,11429.3113947337,3401.503017
105,105,Dicerorhinus sumatrensis,1046156,CR,235,Herbivore,PERISSODACTYLA,497566.460444708,7300
106,106,Diceros bicornis,995940.5,CR,4880,Herbivore,PERISSODACTYLA,3106737.34254385,6205
107,107,Diplogale hosei,1450,VU,14000,Carnivore,CARNIVORA,96914.2979909611,1825
108,108,Dipodomys gravipes,83.96,CR,10.5,Omnivore,RODENTIA,313.1318190338,824.7267
109,109,Dorcatragus megalotis,10918.12,VU,10500,Herbivore,CETARTIODACTYLA,25520.2432512547,1825
110,110,Elaphodus cephalophus,23087.87,NT,387298,Herbivore,CETARTIODACTYLA,247843.834765253,2555
111,111,Elephas maximus,3269794,EN,46557.56,Herbivore,PROBOSCIDEA,379985.462397516,8030
112,112,Enhydra lutris,27410.93,EN,125831,Carnivore,CARNIVORA,2030346.71461516,5475
113,113,Equus africanus,250000,CR,205,Herbivore,PERISSODACTYLA,63096.0615353107,3041.701561
114,114,Equus grevyi,408000.3,EN,2680,Herbivore,PERISSODACTYLA,31939.4455414476,2190
115,115,Equus hemionus,235248.1,NT,55000,Herbivore,PERISSODACTYLA,297944.925810661,1825
116,116,Equus kiang,281138.6,LC,97211,Herbivore,PERISSODACTYLA,82197.1024963725,3704.385
117,117,Equus quagga,400000,NT,500000,Herbivore,PERISSODACTYLA,1583507.60885393,3659.125
118,118,Eudorcas albonotata,25000,LC,278000,Herbivore,CETARTIODACTYLA,122121.409423182,1816.76125
119,119,Eudorcas rufifrons,26999.77,VU,12000,Herbivore,CETARTIODACTYLA,1716118.93421474,1825
120,120,Eudorcas thomsonii,22907.43,NT,550000,Herbivore,CETARTIODACTYLA,84232.4593200922,2190
121,121,Eudorcas tilonura,22907.43,EN,2958,Herbivore,CETARTIODACTYLA,23641.4523370519,2190
122,122,Eulemur cinereiceps,2250,CR,7265,Herbivore,PRIMATES,1565.659095169,3206.295944
123,123,Eumops floridanus,38.47,VU,5809,Carnivore,CHIROPTERA,626.2636380676,1427.913317
124,124,Eupetaurus cinereus,2500,EN,1732,Herbivore,RODENTIA,13934.3659470041,2015.755102
125,125,Felis margarita,2823.36,LC,40896,Carnivore,CARNIVORA,1726295.71833334,1730.465
126,126,Felis nigripes,1362.77,VU,13867,Carnivore,CARNIVORA,1131345.26216912,1685.3793
