,binomial,common_name
936,Pseudohydromys carlae,Huon Small-toothed Moss-mouse
937,Eliurus carletoni,Ankarana Special Reserve Tufted-tailed Rat
938,Mesoplodon carlhubbsi,"Hubbs' Beaked Whale, Arch-beaked Whale, Hubbs's Beaked Whale"
939,Phalanger carmelitae,Mountain Cuscus
940,Mus caroli,"Ryukyu Mouse, Ricefield Mouse"
941,Pseudochirulus caroli,Weyland Ringtail
942,Syconycteris carolinae,"Halmaheran Blossom Bat, Halmahera Blossom Bat, North Moluccan Blossum-bat"
943,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel, Grey Squirrel"
944,Blarina carolinensis,Southern Short-tailed Shrew
945,Lophostoma carrikeri,Carriker's Round-eared Bat
946,Pattonomys carrikeri,Carriker's Speckled Tree-rat
947,Funisciurus carruthersi,Carruther's Mountain Squirrel
948,Otopteropus cartilagonodus,"Luzon Fruit Bat, Luzon Pygmy Fruit Bat"
949,Pusa caspica,Caspian Seal
950,Crocidura caspica,Caspian Shrew
951,Carollia castanea,Chestnut Short-tailed Bat
952,Lasiurus castaneus,"Tacarcuna Bat, Tacarcunan Bat"
953,Cratogeomys castanops,Yellow-faced Pocket Gopher
954,Lepus castroviejoi,Broom Hare
955,Oecomys catherinae,NA
956,Lemur catta,Ring-tailed Lemur
957,Marmosops caucae,NA
958,Capra caucasica,"Western Tur, Tur, West Caucasian Tur"
959,Sicista caucasica,Caucasian Birch Mouse
960,Talpa caucasica,Caucasian Mole
961,Rhipidomys caucensis,Cauca Climbing Mouse
962,Marmota caudata,Long-tailed Marmot
963,Sicista caudata,Long-tailed Birch Mouse
964,Naemorhedus caudatus,"Long-tailed Goral, Chinese Goral"
965,Cercartetus caudatus,"Long-tailed Pygmy Possum, Long-tailed Dormouse-phalanger, Long-tailed Pygmy-possum"
966,Episoriculus caudatus,Hodgson's Brown-toothed Shrew
967,Anoura caudifer,Tailed Tailless Bat
968,Uromys caudimaculatus,"White-tailed Giant Rat, Giant White-tailed Rat, Mottled-tailed Giant Rat"
969,Thomasomys caudivarius,NA
970,Notoryctes caurinus,"Kakarratul, Northern Marsupial Mole, Northwestern Marsupial Mole"
971,Steatomys caurinus,Northwestern Fat Mouse
972,Melomys caurinus,Short-tailed Talaud Melomys
973,Vespadelus caurinus,Northern Cave Bat
974,Orthogeomys cavator,Chiriqui Pocket Gopher
975,Brachyphylla cavernarum,Antillean Fruit-eating Bat
976,Ziphius cavirostris,"Cuvier's Beaked Whale, Goose-beaked Whale, Goosebeak Whale"
977,Sapajus cay,"Azaras's Capuchin, Hooded Capuchin"
978,Sus cebifrons,Visayan Warty Pig
979,Sus celebensis,"Sulawesi Warty Pig, Celebes Pig, Celebes Warty Pig, Celebes Wild Boar"
980,Acerodon celebensis,"Sulawesi Fruit Bat, Sulawesi Acerodon, Sulawesi Flying-fox, Sulawesi Flying Fox"
981,Crunomys celebensis,"Sulawesi Shrew Mouse, Celebes Shrew Rat"
982,Taeromys celebensis,"Long-tailed Taeromys, Celebes Rat"
983,Harpyionycteris celebensis,Sulawesi Harpy Fruit Bat
984,Scotophilus celebensis,"Sulawesi Yellow House Bat, Sulawesi Yellow Bat"
985,Strigocuscus celebensis,"Small Sulawesi Cuscus, Little Celebes Cuscus, Small Cuscus"
986,Rousettus celebensis,Sulawesi Rousette
987,Rhinolophus celebensis,Sulawesi Horseshoe Bat
988,Babyrousa celebensis,"Sulawesi Babirusa, North Sulawesi Babirusa"
989,Myodes centralis,Tien Shan Red-backed Vole
990,Centronycteris centralis,Thomas's Shaggy Bat
991,Cabassous centralis,Northern Naked-tailed Armadillo
992,Promops centralis,Big Crested Mastiff Bat
993,Echiothrix centrosa,Central Sulawesi Echiothrix
994,Ametrida centurio,Little White-shouldered Bat
995,Paraxerus cepapi,Smith's Bush Squirrel
996,Elaphodus cephalophus,Tufted Deer
997,Nyctimene cephalotes,"Pallas's Tube-nosed Bat, Pallas's Tube-nosed Fruit Bat"
998,Cercopithecus cephus,"Moustached Monkey, Moustached Guenon, Mustached Monkey"
999,Nesoromys ceramicus,"Seram Island Mountain Rat, Ceram Rat"
1000,Thalpomys cerradensis,Cerrado Mouse
1001,Wiedomys cerradensis,NA
1002,Nyctimene certans,"Mountain Tube-nosed Bat, Mountain Tube-nosed Fruit Bat"
1003,Antilope cervicapra,Blackbuck
1004,Mus cervicolor,Fawn-colored Mouse
1005,Melomys cervinipes,"Fawn-footed Melomys, Fawn-footed Mosaic-tailed Rat"
1006,Notomys cervinus,Fawn Hopping-mouse
1007,Hipposideros cervinus,"Fawn-colored Leaf-nosed Bat, Fawn Horseshoe-bat, Fawn Leaf-nosed Bat, Fawn Roundleaf Bat, Gould's Leaf-nosed Bat"
1008,Cebus cesarae,Ro Cesar White-fronted Capuchin
1009,Pipistrellus ceylonicus,Kelaart's Pipistrelle
1010,Holochilus chacarius,Chaco Marsh Rat
1011,Cryptonanus chacoensis,Chacoan Mouse Opossum
1012,Cabassous chacoensis,Chacoan Naked-tailed Armadillo
1013,Bibimys chacoensis,"Chaco Crimson-nosed Rat, Chacoan Akodont"
1014,Oligoryzomys chacoensis,Chacoan Pygmy Rice Rat
1015,Vulpes chama,"Cape Fox, Silver Fox, Silver Jackal"
1016,Ateles chamek,"Black-faced Black Spider Monkey, Black spider monkey, Chamek Spider Monkey, Peruvian Black Spider Monkey, Peruvian Spider Monkey"
1017,Pogonomys championi,Champion's Tree Mouse
1018,Chaerephon chapini,"Long-crested Free-tailed Bat, Chapin's Free-tailed Bat, Chapin's Wrinkle-lipped Bat, Crested Free-tail Bat, Crested Wrinkle-lipped Bat, Long-crested Gland-tailed Bat, Long-crested Wrinkle-lipped Bat, Pale Free-tailed Bat"
1019,Dobsonia chapmani,"Negros Naked-backed Fruit Bat, Philippine Bare-backed Fruit Bat"
1020,Pseudomys chapmani,"Western Pebble Mouse, Pilbara Pebble Mouse, Western Pebble-mound Mouse"
1021,Handleyomys chapmani,Chapman's Rice Rat
1022,Felis chaus,"Jungle Cat, Reed Cat, Swamp Cat"
1023,Gerbillus cheesmani,Cheesman's Gerbil
1024,Meriones chengi,"Cheng's Jird, Cheng's Gerbil"
1025,Heterogeomys cherriei,Cherrie's Pocket Gopher
1026,Apodemus chevrieri,Chevrier's Field Mouse
1027,Myotis chiloensis,Chilean Myotis
1028,Habromys chinanteco,Chinanteco Deer Mouse
1029,Chinchilla chinchilla,Short-tailed Chinchilla
1030,Euneomys chinchilloides,Patagonian Chincilla Mouse
1031,Sousa chinensis,"Indo-Pacific Humpback Dolphin , Chinese White Dolphin"
1032,Myotis chinensis,Large Myotis
1033,Eothenomys chinensis,"Sichuan Red-backed Vole, Pratt's Oriental Vole, Pratt's Vole, Sichuan Chinese Vole"
1034,Conepatus chinga,Molina's Hog-nosed Skunk
1035,Eptesicus chiriquinus,Chiriquinan Serotine
1036,Chiropotes chiropotes,"Bearded Saki, Brown-backed Bearded Saki, Red-backed Bearded Saki"
1037,Chiromyscus chiropus,"Indochinese Chiromyscus, Fea's Tree Rat"
1038,Lonchophylla chocoana,NA
1039,Platyrrhinus chocoensis,Choco Broad-nosed Bat
1040,Plecotus christii,NA
1041,Graphiurus christyi,Christy's Dormouse
1042,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole"
1043,Proechimys chrysaeolus,Boyaca Spiny Rat
1044,Pithecia chrysocephala,Golden-faced Saki
1045,Bunomys chrysocomus,"Common Bunomys, Yellow-haired Hill Rat"
1046,Moschus chrysogaster,"Alpine Musk Deer, Himalayan Musk Deer"
1047,Cercocebus chrysogaster,Golden-bellied Mangabey
1048,Hydromys chrysogaster,Common Water Rat
1049,Tupaia chrysogaster,"Golden-bellied Treeshrew, Golden-bellied Tree Shrew, Mentawai Treeshrew"
1050,Mico chrysoleucos,Golden-white Tassel-ear Marmoset
1051,Presbytis chrysomelas,Bornean Banded Langur
1052,Leontopithecus chrysomelas,Golden-headed Lion Tamarin
1053,Neotoma chrysomelas,Nicaraguan Woodrat
1054,Aethomys chrysophilus,"Red Rock Rat, Red Veld Aethomys"
1055,Pteropus chrysoproctus,"Moluccan Flying Fox, Ambon Flying-fox"
1056,Reithrodontomys chrysopsis,Volcano Harvest Mouse
1057,Lophuromys chrysopus,Ethiopian Forest Brush-furred Rat
1058,Rhynchocyon chrysopygus,"Golden-rumped Sengi, Golden-rumped Elephant-shrew"
1059,Leontopithecus chrysopygus,"Black Lion Tamarin, Golden-rumped Lion Tamarin"
1060,Echimys chrysurus,White-faced Tree Rat
1061,Mazama chunyi,"Peruvian Dwarf Brocket, Chunyi, Dwarf Brocket"
1062,Leopoldamys ciliatus,Sundaic Mountain Leopoldamys
1063,Acomys cilicicus,"Asia Minor Spiny Mouse, Turkish Spiny Mouse"
1064,Myotis ciliolabrum,Western Small-footed Myotis
1065,Crocidura cinderella,Cinderella Shrew
1066,Thylamys cinderella,Cinderella Fat-tailed Mouse Opossum
1067,Hipposideros cineraceus,"Least Leaf-nosed Bat, Ashy Roundleaf Bat"
1068,Acomys cineraceus,"Gray Spiny Mouse, Grey Spiny Mouse"
1069,Callicebus cinerascens,"Ashy Black Titi Monkey, Ashy Black Titi, Ashy-grey Titi, Ashy Titi, Titi Monkey"
1070,Neophoca cinerea,"Australian Sea Lion, Australian Sealion"
1071,Neotoma cinerea,"Bushy-tailed Woodrat, Bushy-talied Woodrat, Packrat, Woodrat"
1072,Pygathrix cinerea,"Grey-shanked Douc Langur, Gray-shanked Douc Monkey"
1073,Dermanura cinerea,Gervais's Fruit-eating Bat
1074,Abrocoma cinerea,Ashy Chinchilla Rat
1075,Eulemur cinereiceps,"White-collared Lemur, Grey-headed Lemur , White-collared Brown Lemur"
1076,Neotamias cinereicollis,Gray-collared Chipmunk
1077,Thomasomys cinereiventer,Ashy-bellied Oldfield Mouse
1078,Urocyon cinereoargenteus,"Grey Fox, Gray Fox, Tree Fox"
1079,Phascolarctos cinereus,Koala
1080,Aonyx cinereus,"Asian Small-clawed Otter, Oriental Small-clawed Otter, Small-clawed Otter"
1081,Pseudochirulus cinereus,"Daintree River Ringtail Possum, Daintree Ringtail Possum"
1082,Eupetaurus cinereus,Woolly Flying Squirrel
1083,Lophuromys cinereus,Gray Brush-furred Rat
1084,Typhlomys cinereus,"Sort-furred Tree Mouse, Chapa Pygmy Dormouse, Chinese Pygmy Dormouse"
1085,Thomasomys cinereus,Ash-colored Oldfield Mouse
1086,Sorex cinereus,"Cinereus Shrew, Masked Shrew"
1087,Lasiurus cinereus,"Hoary Bat, Hawaiian Hoary Bat"
1088,Thomasomys cinnameus,NA
1089,Arielulus circumdatus,"Bronze Sprite, Black-gilded Pipistrelle, Black Gilded Pipistrelle"
1090,Rhynchocyon cirnei,"Chequered Sengi, Chequered Elephant-shrew"
1091,Trachops cirrhosus,Fringe-lipped Bat
1092,Spermophilus citellus,"European Ground Squirrel, European Souslik, European Squirrel"
1093,Thylamys citellus,NA
1094,Civettictis civetta,African Civet
1095,Viverra civettina,"Malabar Civet, Malabar Large-spotted Civet"
1096,Echymipera clara,"Clara's Echymipera, Clara Bandicoot, White-lipped Bandicoot"
1097,Ammodorcas clarkei,"Dibatag, Clarke's Gazelle"
1098,Microtus clarkei,Clarke's Vole
1099,Oecomys cleberi,"Cleber's Arboreal Rice Rat, Cleber's Oecomys"
1100,Avahi cleesei,"Bemaraha Woolly Lemur, John Cleese's Avahi"
1101,Rhinolophus clivosus,"Geoffroy's Horseshoe Bat, Arabian Horseshoe Bat, Cretzschmar's Horseshoe Bat"
1102,Thomomys clusius,Wyoming Pocket Gopher
1103,Stenella clymene,"Clymene Dolphin, Atlantic Spinner Dolphin, Helmet Dolphin"
1104,Myotis cobanensis,Guatemalan Myotis
1105,Mormopterus cobourgianus,"Northern Coastal Free-tailed Bat, Mormopterus species 5 populations U,V (Adams et al. 1988), Western Little Free-tailed Bat"
1106,Notiosorex cockrumi,Cockrum's Grey Shrew
1107,Galagoides cocos,Kenya Coast Galago
1108,Bunomys coelestis,"Lompobatang Bunomys, Heavenly Hill Rat"
1109,Rhinolophus coelophyllus,Croslet Horseshoe Bat
1110,Petrogale coenensis,Cape York Rock Wallaby
1111,Stenella coeruleoalba,"Striped Dolphin, Euphrosyne Dolphin"
1112,Pteropus cognatus,Makira Flying Fox
1113,Rhinolophus cognatus,Andaman Horseshoe Bat
1114,Sylvilagus cognatus,Manzano Mountain Cottontail
1115,Rhinolophus cohenae,Cohen's Horseshoe Bat
1116,Dasyprocta coibae,Coiban Agouti
1117,Molossus coibensis,Coiban Mastiff Bat
1118,Callicebus coimbrai,"Coimbra-Filho's Titi Monkey, Coimbra Filho's Titi Monkey, Coimbra's titi"
1119,Ctenomys colburni,Colburn's Tuco-tuco
1120,Arctonyx collaris,"Greater Hog Badger, Hog Badger"
1121,Ochotona collaris,Collared Pika
1122,Eulemur collaris,"Collared Brown Lemur, Red-collared Lemur"
1123,Hemiechinus collaris,"Collared Hedgehog, Indian Long-eared Hedgehog"
1124,Rattus colletti,Dusky Rat
1125,Sciurus colliaei,Collie's Squirrel
1126,Delomys collinus,Montane Delomys
1127,Pipistrellus collinus,"Mountain Pipistrelle, Greater Papuan Pipistrelle"
1128,Scotophilus collinus,Sody's Yellow House Bat
1129,Petromyscus collinus,Pygmy Rock Mouse
1130,Leopardus colocolo,"Pampas Cat, Chilean Pampa Cat"
1131,Cryptotis colombiana,Colombian Small-eared Shrew
1132,Ctenomys coludo,NA
1133,Urocitellus columbianus,Columbian Ground Squirrel
1134,Geocapromys columbianus,Cuban Coney
1135,Presbytis comata,"Javan Surili, Grizzled Leaf Monkey, Java Leaf Monkey, Javan Grizzled Langur"
1136,Galea comes,Southern Highland Yellow-toothed Cavy
1137,Grammomys cometes,Mozambique Thicket Rat
1138,Hipposideros commersoni,"Commerson's Leaf-nosed Bat, Commerson's Roundleaf Bat"
1139,Cephalorhynchus commersonii,Commerson's Dolphin
1140,Glossophaga commissarisi,Commissaris's Long-tongued Bat
1141,Dipodomys compactus,Gulf Coast Kangaroo Rat
1142,Lepus comus,Yunnan Hare
1143,Lonchophylla concava,NA
1144,Petrogale concinna,Nabarlek
1145,Cercartetus concinnus,"Western Pygmy Possum, Mundarda, Southwestern Pygmy Possum, Western Pygmy-possum"
1146,Exilisciurus concinnus,Philippine Pygmy Squirrel
1147,Nomascus concolor,"Black Crested Gibbon, Black Gibbon, Concolor Gibbon, Indochinese Gibbon"
1148,Puma concolor,"Puma, Cougar, Deer Tiger, Mountain Lion, Red Tiger"
1149,Salanoia concolor,"Brown-tailed Vontsira, Brown-tailed Mongoose, Malagasy Brown-tailed Mongoose"
1150,Simias concolor,"Pig-tailed Langur, Pig-tailed Snub-nosed Monkey"
1151,Erinaceus concolor,"Southern White-breasted Hedgehog, Eastern European Hedgehog"
1152,Sicista concolor,Chinese Birch Mouse
1153,Oecomys concolor,Natterer's Oecomys
1154,Artibeus concolor,Brown Fruit-eating Bat
1155,Leporillus conditor,"Greater Stick-nest Rat, House-building Rat"
1156,Caenolestes condorensis,"Andean Caenolestid, Andean Shrew Opossum, Condor Shrew Opossum"
1157,Mops condylurus,"Angolan Mops Bat, Angolan Free-tailed Bat, Knob-tailed Mops Bat, Knob-tailed Nyctinome"
1158,Niviventer confucianus,"Confucian Niviventer, Chinese White-bellied Rat"
1159,Aonyx congicus,"Congo Clawless Otter, Cameroon Clawless Otter, Small-clawed Otter, Small-toothed Clawless Otter, Zaire Clawless Otter"
1160,Mops congicus,"Medje Mops Bat, Medje Free-tailed Bat, Medje Greater Freetailed Bat"
1161,Funisciurus congicus,Congo Rope Squirrel
1162,Taterillus congicus,"Congo Gerbil, Congo Tateril"
1163,Crocidura congobelgica,"Congo Shrew, Congo White-toothed Shrew"
1164,Niviventer coninga,"Spiny Taiwan Niviventer, Coxing's White-bellied Rat"
1165,Ctenomys conoveri,Conover's Tuco-tuco
1166,Lagorchestes conspicillatus,"Spectacled Hare-wallaby, Spectacled Hare Wallaby"
1167,Pteropus conspicillatus,"Spectacled Flying Fox, Spectacled Flying-fox"
1168,Marmosa constantiae,"White-bellied Wooly Mouse Opossum, Bay-colored Mouse Opossum, Pale-bellied Woolly Mouse Opossum"
1169,Thomasomys contradictus,NA
1170,Caenolestes convelatus,"Blackish Shrew Opossum, Northern Caenolestid, Northern Shrew Opossum"
1171,Rhinolophus convexus,Convex Horseshoe Bat
1172,Mus cookii,"Cook's Mouse, Ryley's Spiny Mouse"
1173,Melomys cooperae,Yamdena Island Melomys
1174,Synaptomys cooperi,"Kansas Bog Lemming, Southern Bog Lemming"
1175,Paraxerus cooperi,"Cooper's Mountain Squirrel, Cusorial Akodont"
1176,Mirza coquereli,"Coquerel's Giant Mouse Lemur, Coquerel's Dwarf Lemur, Coquerel's Mouse-lemur"
1177,Propithecus coquereli,"Coquerel's Sifaka, Crowned Sifaka"
1178,Cardioderma cor,"Heart-nosed Bat, African False Vampire Bat"
1179,Sylvisorex corbeti,"Corbet's Forest Shrew, Corbet's Pygmy Shrew"
1180,Ochotona coreana,"Korean Pika, Korean Piping Hare"
1181,Lepus coreanus,Korean Hare
1182,Pseudochirops corinnae,"Plush-coated Ringtail, Goldon Ringtail Possum"
1183,Pipistrellus coromandra,"Coromandel Pipistrelle, Indian Pipistrelle, Little Indian Bat"
1184,Eulemur coronatus,Crowned Lemur
1185,Propithecus coronatus,Crowned Sifaka
1186,Sorex coronatus,"Crowned Shrew, Millet's Shrew"
1187,Hipposideros coronatus,"Large Mindanao Leaf-nosed Bat, Large Mindanao Roundleaf Bat"
1188,Pseudochirops coronatus,Reclusive Ringtail
1189,Amblysomus corriae,Fynbos Golden Mole
1190,Vulpes corsac,Corsac Fox
1191,Lepus corsicanus,"Corsican Hare, Apennine Hare, APPENINE HARE, CORSICAN HARE, Italian Hare"
1192,Hipposideros corynophyllus,"Telefomin Leaf-nosed Bat, Telefomin Roundleaf Bat"
1193,Gerbillus cosensis,Cosens's Gerbil
1194,Nycticebus coucang,"Greater Slow Loris, Slow Loris, Sunda Slow Loris"
1195,Mastomys coucha,"Southern African Mastomys, Southern Multimammate Mouse"
1196,Oryzomys couesi,Coues's Rice Rat
1197,Rhipidomys couesi,Coues's Climbing Mouse
1198,Microgale cowani,Cowan's Shrew Tenrec
1199,Hipposideros coxi,"Cox's Leaf-nosed Bat, Cox's Roundleaf Bat"
1200,Ctenomys coyhaiquensis,NA
1201,Myocastor coypus,"Coypu, Nutria"
1202,Mimon cozumelae,Cozumelan Golden Bat
1203,Marmosops cracens,Slim-faced Slender Mouse Opossum
1204,Crocidura cranbrooki,NA
1205,Bdeogale crassicauda,Bushy-tailed Mongoose
1206,Salpingotus crassicauda,Thick-tailed Pygmy Jerboa
1207,Manis crassicaudata,"Indian Pangolin, Thick-tailed Pangolin"
1208,Sminthopsis crassicaudata,Fat-tailed Dunnart
1209,Lutreolina crassicaudata,"Little Water Opossum, Lutrine Opossum, Thick-tailed Opossum"
1210,Pronolagus crassicaudatus,"Natal Red Rock Hare, Greater Red Rockhare, Natal Red Rockhare"
1211,Graphiurus crassicaudatus,Jentink's Dormouse
1212,Otolemur crassicaudatus,"Thick-tailed Greater Galago, Garnett's Greater Galago, Greater Bushbaby, Greater Galago, Large-eared Greater Galago, Thick-tailed Bushbaby"
1213,Pseudorca crassidens,False Killer Whale
1214,Hystrix crassispinis,Thick-spined Porcupine
1215,Pipistrellus crassulus,Broad-headed Pipistrelle
1216,Lagostomus crassus,NA
1217,Meriones crassus,Sundevall's Jird
1218,Notiosorex crawfordi,Desert Shrew
1219,Rhinolophus creaghi,Creagh's Horseshoe Bat
1220,Marmosops creightoni,Creighton's Slender Opossum
1221,Niviventer cremoriventer,"Sundaic Arboreal Niviventer, Dark-tailed Tree Rat"
1222,Crocidura crenata,Long-footed Shrew
1223,Dobsonia crenulata,Halmahera Naked-backed Fruit Bat
1224,Mimon crenulatum,Striped Hairy-nosed Bat
1225,Reithrodontomys creper,Chiriqui Harvest Mouse
1226,Cricetus cricetus,"Common Hamster, Black-bellied Hamster"
1227,Muntiacus crinifrons,"Black Muntjac, Hairy-fronted Muntjac"
1228,Petinomys crinitus,"Mindanao Flying Squirrel, Basilan Flying Squirrel"
1229,Peromyscus crinitus,Canyon Mouse
1230,Capricornis crispus,Japanese Serow
1231,Cystophora cristata,Hooded Seal
1232,Hystrix cristata,"Crested Porcupine, North African Crested Porcupine"
1233,Condylura cristata,Star-nosed Mole
1234,Proteles cristata,Aardwolf
1235,Genetta cristata,"Crested Genet, Crested Servaline Genet"
1236,Trachypithecus cristatus,"Silvery Lutung, Silvered Langur, Silvered Leaf Monkey, Silvered Monkey"
1237,Dasycercus cristicauda,Crest-tailed Mulgara
1238,Mus crociduroides,Sumatran Shrewlike Mouse
1239,Dasyprocta croconota,Orange Agouti
1240,Crocuta crocuta,Spotted Hyaena
1241,Crocidura crossei,Crosse's Shrew
1242,Cheirogaleus crossleyi,"Furry-eared Dwarf Lemur, Crossley's Dwarf Lemur"
1243,Lagenorhynchus cruciger,Hourglass Dolphin
1244,Hipposideros crumeniferus,"Timor Leaf-nosed Bat, Timor Roundleaf Bat"
1245,Diomys crumpi,Crump's Mouse
1246,Megadontomys cryophilus,"Oaxaca Giant Deer Mouse, Oaxacan Giant Deer Mouse"
1247,Epomophorus crypturus,"Peters's Epauletted Fruit Bat, Smaller Epauletted Fruit Bat"
1248,Myotis csorbai,"Csorba's Mouse-eared Myotis, Csorba's Mouse-eared Bat"
1249,Paradipus ctenodactylus,Comb-toed Jerboa
1250,Otomys cuanzensis,Cuanza Vlei Rat
1251,Atopogale cubana,Cuban Solenodon
1252,Nycticeius cubanus,Cuban Evening Bat
1253,Melogale cucphuongensis,NA
1254,Galictis cuja,Lesser Grison
1255,Manis culionensis,Philippine Pangolin
1256,Lycalopex culpaeus,"Culpeo, Andean Fox"
1257,Anoura cultrata,Handley's Tailless Bat
1258,Niviventer culturatus,"Soft-furred Taiwan Niviventer, Oldfield White-bellied Rat"
1259,Phloeomys cumingi,"Southern Luzon Phloeomys, Southern Giant Slender-tailed Cloud Rat, Southern Luzon Giant Cloud Rat"
1260,Sylvilagus cunicularius,Mexican Cottontail
1261,Oryctolagus cuniculus,European Rabbit
1262,Orthogeomys cuniculus,Oaxacan Pocket Gopher
1263,Trichosurus cunninghami,Mountain Brushtail Possum
1264,Steatomys cuppedius,Dainty Fat Mouse
1265,Moschus cupreus,"Kashmir Muskdeer, Kashmir Musk-deer"
1266,Callicebus cupreus,"Coppery Titi Monkey, Coppery Titi, Red Titi Monkey"
1267,Pseudochirops cupreus,"Coppery Ringtail, Coppery Ringtail Possum"
1268,Kerivoula cuprosa,Copper Woolly Bat
1269,Arielulus cuprosus,"Coppery Sprite, Coppery Pipistrelle"
1270,Leptonycteris curasoae,"Curaaoan Long-nosed Bat, Southern Long-nosed Bat"
1271,Megaoryzomys curioi,Galapgos Giant Rat
1272,Molossus currentium,"Bonda Mastiff Bat, Thomas's Mastiff Bat"
1273,Glauconycteris curryae,Curry's Bat
1274,Akodon cursor,"Cursor Grass Mouse, Cusorial Akodont"
1275,Lemmiscus curtatus,Sagebrush Vole
1276,Allocricetulus curtatus,Mongolian Hamster
1277,Hipposideros curtus,Short-tailed Roundleaf Bat
1278,Ochotona curzoniae,"Plateau Pika, Black-lipped Pika"
1279,Cebus cuscinus,Shock-headed Capuchin
1280,Eothenomys custos,"Southwest China Red-backed Vole, Southwest China Vole"
1281,Cremnomys cutchicus,"Cutch Rock-rat, Cutch Rat"
1282,Gazella cuvieri,"Cuvier's Gazelle, Edmi"
1283,Proechimys cuvieri,Cuvier's Spiny Rat
1284,Crocidura cyanea,Reddish-gray Musk Shrew
1285,Spalacopus cyanus,Coruro
1286,Macaca cyclopis,"Formosan Rock Macaque, Taiwanese Macaque, Taiwan Macaque"
1287,Hipposideros cyclops,Cyclops Roundleaf Bat
1288,Murina cyclotis,Round-eared Tube-nosed Bat
1289,Nyctimene cyclotis,"Round-eared Tube-nosed Bat, Round-eared Tube-nosed Fruit Bat"
1290,Sorex cylindricauda,"Stripe-backed Shrew, Greater Stripe-backed Shrew"
1291,Capra cylindricornis,"Eastern Tur, East Caucasian Tur"
1292,Papio cynocephalus,Yellow Baboon
1293,Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger, Tasmanian Wolf"
1294,Chlorocebus cynosuros,"Malbrouck Monkey, Malbrouck"
1295,Mus cypriacus,NA
1296,Rhinopoma cystops,Egyptian Mouse-tailed Bat
1297,Eumops dabbenei,"Big Bonneted Bat, Dabbene's Mastiff Bat"
1298,Dactylomys dactylinus,Amazon Bamboo Rat
1299,Microtus daghestanicus,"Daghestan Pine Vole, Caucasus Pine Vole"
1300,Meriones dahli,Dahl's Jird
1301,Petropseudes dahli,"Rock Ringtail Possum, Rock Possum"
1302,Phocoenoides dalli,Dall's Porpoise
1303,Ovis dalli,"Thinhorn Sheep, Dall's Sheep"
1304,Praomys daltoni,"Dalton's Mouse, Dalton's Praomys"
1305,Dama dama,"Persian Fallow Deer, Fallow Deer, Mesopotamian Fallow Deer"
1306,Nanger dama,"Dama Gazelle, Addra Gazelle, Mhorr Gazelle"
1307,Fukomys damarensis,Damara Mole Rat
1308,Rhinolophus damarensis,NA
1309,Oryx dammah,Scimitar-horned Oryx
1310,Hyomys dammermani,Western White-eared Giant Rat
1311,Microcebus danfossi,Danfoss' Mouse Lemur
1312,Eliurus danieli,Daniel's Tuft-tailed Rat
1313,Tonkinomys daovantieni,Daovantien's Limestone Rat
1314,Sorex daphaenodon,Large-toothed Siberian Shrew
1315,Thomasomys daphne,Daphne's Oldfield Mouse
1316,Reithrodontomys darienensis,Darien Harvest Mouse
1317,Heterogeomys dariensis,Darien Pocket Gopher
1318,Rhinolophus darlingi,Darling's Horseshoe Bat
1319,Fukomys darlingi,Mashona Mole-rat
1320,Vespadelus darlingtoni,Large Forest Bat
1321,Phyllotis darwini,Darwin's Leaf-eared Mouse
1322,Nesoryzomys darwini,Darwin's Galapagos Mouse
1323,Myotis dasycneme,"Pond Bat, Pond Myotis"
1324,Pteropus dasymallus,"Ryukyu Flying Fox, Ryukyu Flying-fox"
1325,Phyllomys dasythrix,Drab Atlantic Tree Rat
1326,Oxymycterus dasytrichus,NA
1327,Gerbillus dasyurus,Wagner's Gerbil
1328,Apomys datae,"Northern Luzon Apomys, Luzon Montane Forest Mouse"
1329,Myotis daubentonii,"Daubenton's Myotis, Daubenton's Bat"
1330,Myopterus daubentonii,Daubenton's Free-tailed Bat
1331,Spermophilus dauricus,Daurian Ground Squirrel
1332,Ochotona dauurica,Daurian Pika
1333,Mesechinus dauuricus,Daurian Hedgehog
1334,Sundasciurus davensis,Davao Squirrel
1335,Echymipera davidi,David's Echymipera
1336,Talpa davidiana,"Pre David's Mole, Persian Mole"
1337,Elaphurus davidianus,"Pre David's Deer, Pere David's Deer"
1338,Sciurotamias davidianus,Pre David's Rock Squirrel
1339,Myotis davidii,David's Myotis
1340,Glyphonycteris daviesi,"Davies's Big-eared Bat, Graybeard Bat"
1341,Promops davisoni,NA
1342,Pteronotus davyi,Davy's Naked-backed Bat
1343,Suncus dayi,Day's Shrew
1344,Akodon dayi,"Day's Grass Mouse, Dusky Akodont"
1345,Mungotictis decemlineata,"Bokiboky, Malagasy Narrow-striped Mongoose, Narrow-striped Mongoose"
1346,Rhinolophus deckenii,Decken's Horseshoe Bat
1347,Propithecus deckenii,"Van der Decken's Sifaka, Decken's Sifaka"
1348,Proechimys decumanus,Pacific Spiny Rat
1349,Phyllotis definitus,Definitive Leaf-eared Mouse
1350,Dephomys defua,Defua Rat
1351,Lasiurus degelidus,Jamaican Red Bat
1352,Praomys degraaffi,De Graaff's Praomys
1353,Octodon degus,Degu
