,binomial,common_name
4966,Lepus starcki,Ethiopian Highland Hare
4967,Proechimys steerei,Steere's Spiny Rat
4968,Sundasciurus steerii,Southern Palawan Tree Squirrel
4969,Ctenomys steinbachi,Steinbach's Tuco-tuco
4970,Paramelomys steini,Stein's Paramelomys
4971,Rattus steini,"Small Spiny Rat, Stein's Rat"
4972,Mesoplodon stejnegeri,"Stejneger's Beaked Whale, Bering Sea Beaked Whale, Saber-toothed Whale"
4973,Hylomyscus stella,NA
4974,Dendrolagus stellarum,Seri's Tree Kangaroo
4975,Crocidura stenocephala,"Kahuzi Swamp Shrew, Narrow-headed Shrew"
4976,Phylloderma stenops,Pale-faced Bat
4977,Pipistrellus stenopterus,Narrow-winged Pipistrelle
4978,Hipposideros stenotis,"Northern Leaf-nosed Bat, Narrow-eared Roundleaf Bat"
4979,Peromyscus stephani,"San Esteban Deermouse, San Esteban Island Mouse"
4980,Callicebus stephennashi,"Stephen Nash's Titi Monkey, Stephen Nash's Titi"
4981,Dipodomys stephensi,Stephens' Kangaroo Rat
4982,Neotoma stephensi,Stephen's Woodrat
4983,Rhinolophus stheno,Lesser Brown Horseshoe Bat
4984,Thylogale stigmatica,Red-legged Pademelon
4985,Gerbillus stigmonyx,Khartoum Gerbil
4986,Mesomys stimulax,"Para Spiny Tree Rat, Surinam Spiny Tree Rat"
4987,Peromyscus stirtoni,Stirton's Deer Mouse
4988,Sorex stizodon,San Cristobal Shrew
4989,Rattus stoicus,Andaman Rat
4990,Suncus stoliczkanus,Anderson's Shrew
4991,Alticola stoliczkanus,Stoliczka's Mountain Vole
4992,Aselliscus stoliczkanus,"Stoliczka's Asian Trident Bat, Stoliczka's Trident Bat"
4993,Ichthyomys stolzmanni,Stolzmann's Crab-eating Rat
4994,Natalus stramineus,Mexican Funnel-eared Bat
4995,Oligoryzomys stramineus,NA
4996,Sciurus stramineus,Guayaquil Squirrel
4997,Sicista strandi,Strand's Birch Mouse
4998,Alticola strelzowi,"Flat-headed Vole, Strelzow's Mountain Vole"
4999,Tragelaphus strepsiceros,Greater Kudu
5000,Ictonyx striatus,"Zorilla, Striped Polecat, Striped Weasel"
5001,Tamias striatus,Eastern Chipmunk
5002,Lemniscomys striatus,"Typical Lemniscomys, Typical Striped Grass Mouse"
5003,Mustela strigidorsa,"Stripe-backed Weasel, Back-striped Weasel"
5004,Rhinopithecus strykeri,"Myanmar Snub-nosed Monkey, Burmese Snub-nosed Monkey"
5005,Antechinus stuartii,"Brown Antechinus, Brown Marsupial Mouse, Stuart's Marsupial-mouse"
5006,Chrysochloris stuhlmanni,Stuhlmann's Golden Mole
5007,Pipistrellus sturdeei,"Bonin Pipistrelle, Sturdee's Pipistrelle"
5008,Chimarrogale styani,"Chinese Water Shrew, Styan's Water Shrew"
5009,Crocidura suaveolens,"Lesser Shrew, Lesser White-toothed Shrew"
5010,Euroscaptor subanura,NA
5011,Rhinolophus subbadius,Little Nepalese Horseshoe Bat
5012,Pipistrellus subflavus,Eastern Pipistrelle
5013,Cerradomys subflavus,"Terraced Rice Rat, Flavescent Rice Rat, Terraced Oryzomys"
5014,Akodon subfuscus,"Puno Grass Mouse, Puno Akodont"
