"binomial","range_km_2"
"Microgale thomasi",10020.2182090816
"Microhydromys richardsoni",112101.1912141
"Micromys minutus",10109304.2115967
"Micronycteris brosseti",325343.959976118
"Micronycteris hirsuta",3510520.82318793
"Micronycteris megalotis",5734539.5678755
"Micronycteris microtis",2631872.93897909
"Micronycteris minuta",6320252.63537822
"Micronycteris sanborni",125096.161704003
"Micronycteris schmidtorum",3363975.13188011
"Microperoryctes aplini",76.0193089970703
"Microperoryctes longicauda",202596.286914869
"Microperoryctes murina",469.6977285507
"Microperoryctes papuensis",17065.6841373421
"Micropotamogale lamottei",1095.9613666183
"Micropotamogale ruwenzorii",23015.1886989843
"Micropteropus intermedius",203848.814191004
"Micropteropus pusillus",306242.919015056
"Microryzomys altissimus",67010.2092732332
"Microryzomys minutus",420692.59887191
"Microsciurus alfari",71550.6206492233
"Microsciurus flaviventer",1937659.69618115
"Microsciurus mimulus",113823.416218786
"Microsciurus santanderensis",6732.3341092267
"Microtus abbreviatus",156.5659095169
"Microtus agrestis",5705418.30870535
"Microtus anatolicus",19414.1727800956
"Microtus arvalis",5235720.58015465
"Microtus bavaricus",156.5659095169
"Microtus brachycercus",50727.3546834756
"Microtus breweri",1.10928727734375
"Microtus cabrerae",23484.886427535
"Microtus californicus",3444.4500093718
"Microtus canicaudus",5636.3727426084
"Microtus chrotorrhinus",754960.815690492
"Microtus clarkei",38515.2137411574
"Microtus daghestanicus",192576.068705787
"Microtus dogramacii",14090.931856521
"Microtus duodecimcostatus",357439.971427083
"Microtus evoronensis",156.5659095169
"Microtus felteni",20353.568237197
"Microtus fortis",1968503.18035598
"Microtus gerbei",148581.048131538
"Microtus gregalis",1970851.66899874
"Microtus guatemalensis",12055.5750328013
"Microtus guentheri",151399.234502842
"Microtus hyperboreus",2132427.68762018
"Microtus ilaeus",50570.7887739587
"Microtus irani",626.2636380676
"Microtus kikuchii",2505.0545522704
"Microtus levis",2451039.31348707
"Microtus liechtensteini",79848.613853619
"Microtus limnophilus",240485.237017958
"Microtus longicaudus",1498335.75407673
"Microtus lusitanicus",200874.061910183
"Microtus majori",84075.8934105753
"Microtus maximowiczii",647869.733580932
"Microtus mexicanus",142005.279931828
"Microtus middendorffii",1692634.04778721
"Microtus miurus",490207.862697414
"Microtus mongolicus",255672.130241098
"Microtus montanus",323778.300880949
"Microtus montebelli",203692.248281487
"Microtus mujanensis",4070.7136474394
"Microtus multiplex",78282.95475845
"Microtus nasarovi",17848.5136849266
"Microtus oaxacensis",469.6977285507
"Microtus ochrogaster",1855306.02777526
"Microtus oeconomus",5021381.85002602
"Microtus oregoni",157192.173154968
"Microtus paradoxus",782.8295475845
"Microtus pennsylvanicus",5015432.34546437
"Microtus pinetorum",2313104.74720268
"Microtus qazvinensis",29747.522808211
"Microtus quasiater",7358.5977472943
"Microtus richardsoni",57929.386521253
"Microtus sachalinensis",5636.3727426084
"Microtus savii",209641.752843129
"Microtus schelkovnikovi",21919.227332366
"Microtus schidlovskii",2505.0545522704
"Microtus socialis",158914.398159653
"Microtus subterraneus",1107234.11210352
"Microtus tatricus",12838.4045803858
"Microtus thomasi",31626.3137224138
"Microtus townsendii",14090.931856521
"Microtus transcaspicus",11429.3113947337
"Microtus umbrosus",782.8295475845
"Microtus xanthognathus",12055.5750328013
"Millardia gleadowi",95192.0729862752
"Millardia kathleenae",30686.9182653124
"Millardia kondana",12.0032271728516
"Millardia meltada",1826341.33451464
"Mimetillus moloneyi",2734893.30744121
"Mimon bennettii",3774647.51254294
"Mimon cozumelae",238136.748375205
"Mindomys hammondi",10333.3500281154
"Miniopterus australis",1505068.08818596
"Miniopterus fraterculus",917789.361588068
"Miniopterus fuscus",313.1318190338
"Miniopterus gleni",51353.6183215432
"Miniopterus griveaudi",939.3954571014
"Miniopterus inflatus",933759.084358791
"Miniopterus macrocneme",375601.616931043
"Miniopterus magnater",1164380.66907718
"Miniopterus majori",35540.4614603363
"Miniopterus manavi",84389.0252296091
"Miniopterus medius",737895.13155315
"Miniopterus minor",139030.527651007
"Miniopterus natalensis",1846851.46866135
"Miniopterus newtoni",939.3954571014
"Miniopterus paululus",58555.6501593206
"Miniopterus petersoni",1878.7909142028
"Miniopterus pusillus",424293.614790799
"Miniopterus schreibersii",994036.959522798
"Miniopterus shortridgei",185530.602777526
"Miniopterus sororculus",8924.2568424633
"Miniopterus tristis",472515.914922004
"Miopithecus ogouensis",185217.470958493
"Miopithecus talapoin",6575.7681997098
"Mirimiri acrodonta",156.5659095169
"Mirza coquereli",6419.2022901929
"Mirza zaza",2974.7522808211
"Mogera etigo",939.3954571014
"Mogera imaizumii",84702.1570486429
"Mogera insularis",253636.773417378
"Mogera robusta",361667.250984039
"Mogera tokudae",313.1318190338
"Mogera uchidai",4.45962841796875
"Mogera wogura",24267.7159751195
"Molossops aequatorianus",626.2636380676
"Molossops mattogrossensis",3343934.69546195
"Molossops neglectus",3880329.50146685
"Molossops temminckii",3454157.09576185
"Molossus aztecus",9550.5204805309
"Molossus coibensis",4062102.52241597
"Molossus currentium",313758.082671868
"Molossus molossus",4544951.78736609
"Molossus pretiosus",667283.906361028
"Molossus rufus",6851011.06864051
"Molossus sinaloae",763258.808894887
"Monodelphis adusta",689203.133693394
"Monodelphis americana",200717.496000666
"Monodelphis brevicaudata",1111774.52347951
"Monodelphis dimidiata",495374.537711471
"Monodelphis domestica",1228416.1260696
"Monodelphis emiliae",880996.372851596
"Monodelphis glirina",945031.829844008
"Monodelphis handleyi",81.7669795712891
"Monodelphis iheringi",158288.134521586
"Monodelphis kunsi",143257.807207963
"Monodelphis osgoodi",56989.9910641516
"Monodelphis palliolata",35383.8955508194
"Monodelphis reigi",107.295914288818
"Monodelphis ronaldi",469.6977285507
"Monodelphis scalops",129166.875351442
"Monophyllus plethodon",5636.3727426084
"Monophyllus redmani",201187.193729216
"Monticolomys koopmani",5949.5045616422
"Mormoops blainvillei",199621.534634047
"Mormoops megalophylla",1233426.23517414
"Mormopterus acetabulosus",626.2636380676
"Mormopterus beccarii",51666.750140577
"Mormopterus doriae",1409.0931856521
"Mormopterus jugularis",111944.625304583
"Mormopterus kalinowskii",16126.2886802407
"Mormopterus minutus",13777.8000374872
"Mormopterus phrudus",469.6977285507
"Moschiola indica",365737.964631478
"Moschiola kathygre",9080.8227519802
"Moschiola meminna",26772.7705273899
"Moschus anhuiensis",6419.2022901929
"Moschus berezovskii",377480.407845246
"Moschus chrysogaster",937046.968458646
"Moschus cupreus",5636.3727426084
"Moschus fuscus",106464.818471492
"Moschus leucogaster",95505.204805309
"Moschus moschiferus",2396867.50879422
"Mosia nigrescens",305303.523557955
"Mungos gambianus",803026.54991218
"Mungos mungo",7538022.27960067
"Mungotictis decemlineata",5166.6750140577
"Muntiacus atherodes",591819.137973882
"Muntiacus crinifrons",32252.5773604814
"Muntiacus feae",71394.0547397064
"Muntiacus gongshanensis",38671.7796506743
"Muntiacus montanus",18474.7773229942
"Muntiacus muntjak",1249082.82612583
"Muntiacus puhoatensis",626.2636380676
"Muntiacus putaoensis",66227.3797256487
"Muntiacus reevesi",617339.381225137
"Muntiacus rooseveltorum",35697.0273698532
"Muntiacus truongsonensis",7202.0318377774
"Muntiacus vaginalis",5560907.97422125
"Muntiacus vuquangensis",63565.7592638614
"Murexia habbema",126505.254889655
"Murexia longicaudata",369652.112369401
"Murexia melanurus",270076.193916652
"Murexia naso",141379.016293761
"Murexia rothschildi",14247.4977660379
"Muriculus imberbis",782.8295475845
"Murina aenea",49944.5251358911
"Murina aurata",23954.5841560857
"Murina cyclotis",681531.404127066
"Murina florium",118676.95941381
"Murina fusca",74.904696484375
"Murina harrisoni",2035.3568237197
"Murina hilgendorfi",2002947.6804497
"Murina huttoni",199308.402815014
"Murina puta",19883.8705086463
"Murina rozendaali",218096.311957042
"Murina ryukyuana",1252.5272761352
"Murina suilla",718794.090592088
"Murina tubinaris",56833.4251546347
"Murina ussuriensis",471419.953555386
"Mus baoulei",58868.7819783544
"Mus booduga",2813802.52583773
"Mus bufo",13308.1023089365
"Mus callewaerti",3601.0159188887
"Mus caroli",637692.949462334
"Mus cervicolor",155000.250421731
"Mus cookii",734450.681543778
"Mus crociduroides",4540.4113759901
"Mus cypriacus",2035.3568237197
"Mus famulus",313.1318190338
"Mus fernandoni",3757.5818284056
"Mus fragilicauda",4540.4113759901
"Mus goundae",313.1318190338
"Mus haussa",1366194.12644447
"Mus indutus",879587.279665944
"Mus macedonicus",599021.169811659
"Mus mahomet",56676.8592451178
"Mus mattheyi",34757.6319127518
"Mus mayori",626.2636380676
"Mus minutoides",3818799.09902671
"Mus musculoides",2391231.13605161
"Mus musculus",38149788.9083449
"Mus neavei",2348.4886427535
"Mus oubanguii",19727.3045991294
"Mus pahari",244242.818846364
"Mus phillipsi",42272.795569563
"Mus platythrix",395485.487439689
"Mus saxicola",822910.420420826
"Mus setulosus",267884.271183416
"Mus setzeri",124626.463975452
"Mus shortridgei",269136.798459551
"Mus sorella",27399.0341654575
"Mus spicilegus",598238.340264075
"Mus spretus",700319.313269094
"Mus tenellus",252227.680231726
"Mus terricolor",77656.6911203824
"Mus triton",322212.64178578
"Mus vulcani",156.5659095169
"Muscardinus avellanarius",955834.877600674
"Musonycteris harrisoni",26616.204617873
"Mustela africana",3399515.59334045
"Mustela altaica",988557.152689706
"Mustela erminea",18641050.3189011
"Mustela eversmanii",4249042.21837915
"Mustela felipei",34601.0660032349
"Mustela frenata",1053375.4392297
"Mustela itatsi",325657.091795152
"Mustela kathiah",1011885.47320772
"Mustela lutreola",3287.8840998549
"Mustela lutreolina",59338.4797069051
"Mustela nivalis",18352655.913571
"Mustela nudipes",1125395.75760748
"Mustela putorius",4084491.44747689
"Mustela sibirica",3743177.76473004
"Mustela strigidorsa",1002804.65045574
"Mustela subpalmata",3131.318190338
"Mydaus javanensis",95974.9025338597
"Mydaus marchei",10020.2182090816
"Mylomys dybowskii",188818.486877381
"Mylomys rex",156.5659095169
"Myocastor coypus",3905536.61289907
"Myodes andersoni",2505.0545522704
"Myodes californicus",134020.418546466
"Myodes centralis",182712.416406222
"Myodes gapperi",2384655.3678519
"Myodes glareolus",2304493.62217925
"Myodes regulus",70924.3570111557
"Myodes rex",31469.7478128969
"Myodes rufocanus",3680707.9668328
"Myodes rutilus",6703056.28414704
"Myodes shanseius",40863.7023839109
"Myodes smithii",112570.888942651
"Myoictis leucura",313.1318190338
"Myoictis melas",288081.273511096
"Myoictis wallacei",30217.2205367617
"Myoictis wavicus",156.5659095169
"Myomimus personatus",97853.6934480625
"Myomimus roachi",1878.7909142028
"Myomimus setzeri",2348.4886427535
"Myomyscus angolensis",93000.1502530386
"Myomyscus brockmani",862521.595528602
"Myomyscus verreauxii",1095.9613666183
"Myomyscus yemeni",20979.8318752646
"Myonycteris brachycephala",469.6977285507
"Myonycteris relicta",29434.3909891772
"Myonycteris torquata",962723.777619418
"Myoprocta acouchy",729910.270167788
"Myoprocta pratti",1612785.43393359
"Myopterus daubentonii",1211350.44193226
"Myopterus whitleyi",868157.96827121
"Myopus schisticolor",107091.08210956
"Myosciurus pumilio",87050.6456913964
"Myosorex babaulti",7202.0318377774
"Myosorex blarina",1095.9613666183
"Myosorex cafer",8924.2568424633
"Myosorex eisentrauti",49.4068533269959
"Myosorex geata",313.1318190338
"Myosorex kihaulei",626.2636380676
"Myosorex longicaudatus",8141.4272948788
"Myosorex okuensis",1252.5272761352
"Myosorex rumpii",313.1318190338
"Myosorex schalleri",98.9021987751465
"Myosorex sclateri",2818.1863713042
"Myosorex tenuis",2035.3568237197
"Myosorex varius",47126.3387645869
"Myosorex zinki",939.3954571014
"Myospalax aspalax",62469.7978972431
"Myospalax myospalax",80631.4434012035
"Myospalax psilurus",1661790.56361238
"Myotis adversus",38358.6478316405
"Myotis albescens",5452407.79892604
"Myotis alcathoe",141535.582203278
"Myotis altarium",1645351.1431131
"Myotis anjouanensis",313.1318190338
"Myotis annamiticus",156.5659095169
"Myotis annectans",119459.788961395
"Myotis atacamensis",166742.693635498
"Myotis ater",26303.0727988392
"Myotis aurascens",386404.664687709
"Myotis auriculus",52762.7115071953
"Myotis austroriparius",8611.1250234295
"Myotis bechsteinii",1251587.8806781
"Myotis blythii",3764783.86024338
"Myotis bocagii",1143557.40311144
"Myotis bombinus",1050557.2528584
"Myotis brandtii",1960048.62124207
"Myotis californicus",1091107.82342328
"Myotis capaccinii",61373.8365306248
"Myotis chiloensis",150303.273136224
"Myotis chinensis",791910.37033648
"Myotis ciliolabrum",167212.391364049
"Myotis cobanensis",313.1318190338
"Myotis csorbai",1722.2250046859
"Myotis dasycneme",1455123.56305007
"Myotis daubentonii",2093912.47387902
"Myotis davidii",333641.953180514
"Myotis dieteri",313.1318190338
"Myotis dinellii",246121.609760567
"Myotis dominicensis",2348.4886427535
"Myotis elegans",153904.289055113
"Myotis emarginatus",672137.449556052
"Myotis evotis",960375.288976664
"Myotis fimbriatus",1863760.58688918
"Myotis formosus",220444.800599795
"Myotis fortidens",135116.379913085
"Myotis frater",515258.408220118
"Myotis gomantongensis",732728.456539092
"Myotis goudoti",62626.36380676
"Myotis grisescens",467818.937636497
"Myotis hajastanicus",939.3954571014
"Myotis hasseltii",60277.8751640065
"Myotis hermani",156.5659095169
"Myotis horsfieldii",1908381.87110149
"Myotis ikonnikovi",2291342.08577983
"Myotis keaysi",648652.563128517
"Myotis keenii",77343.5593013486
"Myotis laniger",421318.862509978
"Myotis leibii",902289.336545895
"Myotis levis",228742.793804191
"Myotis longipes",10176.7841185985
"Myotis lucifugus",3200833.4541635
"Myotis macrodactylus",372626.864650222
"Myotis macropus",2035.3568237197
"Myotis macrotarsus",66227.3797256487
"Myotis martiniquensis",4227.2795569563
"Myotis melanorhinus",458894.680794034
"Myotis moluccarum",225611.475613853
"Myotis montivagus",49474.8274073404
"Myotis morrisi",156.5659095169
"Myotis muricola",2312791.61538365
"Myotis myotis",1086410.84613777
"Myotis mystacinus",1351790.06276891
"Myotis nattereri",3696834.25551304
"Myotis nesopolus",7515.1636568112
"Myotis nigricans",7806689.38033167
"Myotis nipalensis",3300722.50443528
"Myotis occultus",102237.538914536
"Myotis oreias",469.6977285507
"Myotis oxyotus",607632.294835089
"Myotis peninsularis",2191.9227332366
"Myotis pequinius",67323.341092267
"Myotis pilosus",287924.707601579
"Myotis planiceps",12212.1409423182
"Myotis pruinosus",36792.9887364715
"Myotis punicus",328944.975895007
"Myotis ridleyi",247687.268855736
"Myotis riparius",6330429.41949682
"Myotis rosseti",63252.6274448276
"Myotis ruber",305303.523557955
"Myotis rufopictus",3444.4500093718
"Myotis schaubi",1722.2250046859
"Myotis scotti",21606.0955133322
"Myotis septentrionalis",2017821.44185381
"Myotis sicarius",1095.9613666183
"Myotis siligorensis",541718.046928474
"Myotis simus",1327209.21497476
"Myotis sodalis",1565189.39744045
"Myotis stalkeri",1409.0931856521
"Myotis thysanodes",674799.070017839
"Myotis tricolor",1689189.59777783
"Myotis velifer",156565.9095169
"Myotis vivesi",6888.9000187436
"Myotis volans",1236870.68518351
"Myotis welwitschii",2886292.54194405
"Myotis yanbarensis",31.5676198125
"Myotis yumanensis",774844.686199138
"Myrmecobius fasciatus",2661.6204617873
"Myrmecophaga tridactyla",9789596.6243632
"Mysateles melanurus",1878.7909142028
"Mysateles prehensilis",3757.5818284056
"Mystacina tuberculata",8297.9932043957
"Mystromys albicaudatus",160636.623164339
"Myzopoda aurita",27242.4682559406
"Myzopoda schliemanni",8141.4272948788
"Naemorhedus baileyi",65444.5501780642
"Naemorhedus caudatus",139656.791289075
"Naemorhedus goral",188661.920967864
"Nandinia binotata",4700891.43324492
"Nanger dama",185060.905048976
"Nanger granti",591819.137973882
"Nanger soemmerringii",136682.039008254
"Nannosciurus melanotis",257081.22342675
"Nanonycteris veldkampii",876769.09329464
"Napaeozapus insignis",1281178.83757679
"Nasalis larvatus",264752.952993078
"Nasua narica",590879.742516781
"Nasua nasua",5678488.97226845
"Nasuella olivacea",152651.761778977
"Natalus espiritosantensis",2483605.02266658
"Natalus jamaicensis",10803.0477566661
"Natalus major",5166.6750140577
"Natalus mexicanus",471263.387645869
"Natalus primus",626.2636380676
"Natalus stramineus",782.8295475845
"Natalus tumidirostris",541718.046928474
"Neacomys dubosti",162985.111807093
"Neacomys guianae",184904.339139459
"Neacomys minutus",183808.377772841
"Neacomys musseri",116015.338952023
"Neacomys paracou",669162.69727523
"Neacomys pictus",156.5659095169
"Neacomys spinosus",1325173.85815104
"Neacomys tenuipes",103959.763919222
"Neamblysomus gunningi",3757.5818284056
"Neamblysomus julianae",6262.636380676
"Necromys amoenus",98010.2593575794
"Necromys benefactus",42272.795569563
"Necromys lactens",23328.3205180181
"Necromys lasiurus",2848247.02593144
"Necromys lenguarum",174884.120930377
"Necromys obscurus",8297.9932043957
"Necromys punctulatus",159697.227707238
"Necromys temchuki",5323.2409235746
"Necromys urichi",243616.555208296
"Nectogale elegans",154060.85496463
"Nectomys apicalis",948789.411672414
"Nectomys palmipes",53545.5410547798
"Nectomys rattus",4730325.8242341
"Nectomys squamipes",2346296.72002026
"Nelsonia goldmani",1878.7909142028
"Nelsonia neotomodon",22232.3591513998
"Neodon forresti",313.1318190338
"Neodon irene",83606.1956820246
"Neodon juldaschi",21762.6614228491
"Neodon sikimensis",44934.4160313503
"Neofelis diardi",462652.262622439
"Neofelis nebulosa",942370.209382221
"Neofiber alleni",24737.4137036702
"Neohylomys hainanensis",4383.8454664732
"Neomys anomalus",4383.8454664732
"Neomys fodiens",4119718.77711819
"Neomys teres",50101.091045408
"Neonycteris pusilla",7515.1636568112
"Neophascogale lorentzii",93782.9798006231
"Neopteryx frosti",313.1318190338
"Neotetracus sinensis",120242.618508979
"Neotoma albigula",77186.9933918317
"Neotoma angustapalata",469.6977285507
"Neotoma bryanti",17691.9477754097
"Neotoma chrysomelas",30217.2205367617
"Neotoma cinerea",1245794.94202597
"Neotoma devia",1565.659095169
"Neotoma floridana",1022688.52096439
"Neotoma fuscipes",95505.204805309
"Neotoma goldmani",170969.973192455
"Neotoma lepida",72803.1479253585
"Neotoma leucodon",22075.7932418829
"Neotoma macrotis",52762.7115071953
"Neotoma magister",240641.802927475
"Neotoma mexicana",357126.839608049
"Neotoma micropus",38984.9114697081
"Neotoma nelsoni",45.827812140625
"Neotoma palatina",782.8295475845
"Neotoma phenax",13308.1023089365
"Neotoma stephensi",48378.8660407221
"Neotomodon alstoni",9863.6522995647
"Neotomys ebriosus",312192.423576699
"Neotragus batesi",303737.864462786
"Neotragus pygmaeus",193202.332343855
"Neovison vison",4089188.42476239
"Nephelomys albigularis",209641.752843129
"Nephelomys auriventer",13308.1023089365
"Nephelomys caracolus",313.1318190338
"Nephelomys devius",6732.3341092267
"Nephelomys keaysi",37106.1205555053
"Nephelomys levipes",64818.2865399966
"Nephelomys meridensis",6888.9000187436
"Nesokia bunnii",41803.0978410123
"Nesokia indica",1034587.53008767
"Nesolagus netscheri",11429.3113947337
"Nesolagus timminsi",10176.7841185985
"Nesomys audeberti",37732.3841935729
"Nesomys lambertoni",939.3954571014
"Nesomys rufus",48378.8660407221
"Nesoromys ceramicus",313.1318190338
"Nesoryzomys fernandinae",626.2636380676
"Nesoryzomys narboroughi",626.2636380676
"Nesoryzomys swarthi",156.5659095169
"Nesotragus moschatus",327066.184980804
"Neurotrichus gibbsii",167368.957273566
"Neusticomys ferreirai",109126.438933279
"Neusticomys monticolus",32878.840998549
"Neusticomys mussoi",19101.0409610618
"Neusticomys oyapocki",346636.923670417
"Neusticomys peruviensis",13308.1023089365
"Neusticomys venezuelae",172379.066378107
"Nilgiritragus hylocrius",1722.2250046859
"Ningaui ridei",2208205.58782636
"Ningaui timealeyi",154687.118602697
"Ningaui yvonneae",237980.182465688
"Niviventer andersoni",58555.6501593206
"Niviventer brahma",12212.1409423182
"Niviventer cameroni",9707.0863900478
"Niviventer confucianus",2483918.15448562
"Niviventer coninga",27868.7318940082
"Niviventer cremoriventer",611389.876663494
"Niviventer culturatus",4227.2795569563
"Niviventer eha",44934.4160313503
"Niviventer excelsior",18631.3432325111
"Niviventer fraternus",85171.8547771936
"Niviventer fulvescens",1662886.52497899
"Niviventer hinpoon",3287.8840998549
"Niviventer langbianis",290429.762153849
"Niviventer lepturus",4853.5431950239
"Niviventer niviventer",155783.079969315
"Niviventer rapit",189444.750515449
"Niviventer tenaster",51666.750140577
"Noctilio albiventris",4254208.89339321
"Noctilio leporinus",10117915.3366201
"Nomascus concolor",7984.8613853619
"Nomascus gabriellae",8924.2568424633
"Nomascus hainanus",156.5659095169
"Nomascus leucogenys",16752.5523183083
"Nomascus nasutus",2818.1863713042
"Nomascus siki",23641.4523370519
"Notiomys edwardsii",38045.5160126067
"Notiosorex cockrumi",66227.3797256487
"Notiosorex crawfordi",481127.039945434
"Notiosorex evotis",939.3954571014
"Notiosorex villai",6262.636380676
"Notomys alexis",1192405.96688071
"Notomys aquilo",1722.2250046859
"Notomys cervinus",11429.3113947337
"Notomys fuscus",11429.3113947337
"Notomys mitchellii",231404.414265978
"Notopteris macdonaldi",13934.3659470041
"Notopteris neocaledonica",313.1318190338
"Notoryctes caurinus",360884.421436454
"Notoryctes typhlops",916536.834311932
"Nyctalus aviator",359945.025979353
"Nyctalus azoreum",469.6977285507
"Nyctalus furvus",6888.9000187436
"Nyctalus lasiopterus",644581.849481077
"Nyctalus leisleri",1650361.25221764
"Nyctalus montanus",29434.3909891772
"Nyctalus noctula",1683709.79094474
"Nyctalus plancyi",526844.285524368
"Nyctereutes procyonoides",7348734.09499473
"Nycteris arge",2355847.24050079
"Nycteris aurita",776723.477113341
"Nycteris gambiensis",1165006.93271525
"Nycteris grandis",2598837.53207102
"Nycteris hispida",8494170.28902037
"Nycteris intermedia",1538103.49509403
"Nycteris javanica",6888.9000187436
"Nycteris macrotis",8456907.60255535
"Nycteris madagascariensis",50883.9205929925
"Nycteris major",729440.572439237
"Nycteris nana",1875816.16192198
"Nycteris parisii",77030.4274823148
"Nycteris thebaica",10489915.9376323
"Nycteris tragata",446682.539851716
"Nycteris vinsoni",313.1318190338
"Nycteris woodi",261308.502983706
"Nycticebus bengalensis",811950.806754643
"Nycticebus coucang",250035.757498489
"Nycticebus javanicus",4.04285328027344
"Nycticebus menagensis",358222.800974667
"Nycticebus pygmaeus",233909.468818249
"Nycticeinops schlieffeni",3350040.76593311
"Nycticeius humeralis",1043511.78693014
"Nyctiellus lepidus",25207.1114322209
"Nyctimene aello",362136.94871259
"Nyctimene albiventer",539056.426466687
"Nyctimene cephalotes",136368.90718922
"Nyctimene certans",186156.866415594
"Nyctimene cyclotis",3757.5818284056
"Nyctimene draconilla",16752.5523183083
"Nyctimene keasti",2974.7522808211
"Nyctimene major",31000.0500843462
"Nyctimene malaitensis",1565.659095169
"Nyctimene masalai",7202.0318377774
"Nyctimene minutus",1722.2250046859
"Nyctimene rabori",3757.5818284056
"Nyctimene robinsoni",112570.888942651
"Nyctimene sanctacrucis",313.1318190338
"Nyctimene vizcaccia",57929.386521253
"Nyctinomops aurispinosus",1062299.69607217
"Nyctinomops femorosaccus",11742.4432137675
"Nyctinomops laticaudatus",5831297.29995694
"Nyctinomops macrotis",6379904.24690416
"Nyctomys sumichrasti",58399.0842498037
"Nyctophilus arnhemensis",681531.404127066
"Nyctophilus bifax",358066.23506515
"Nyctophilus geoffroyi",7077718.50562098
"Nyctophilus gouldi",376541.012388144
"Nyctophilus heran",939.3954571014
"Nyctophilus microdon",1878.7909142028
"Nyctophilus microtis",117737.563956709
"Nyctophilus nebulosus",0.2439983828125
"Nyctophilus sherrini",22232.3591513998
"Nyctophilus walkeri",386248.098778192
"Ochotona alpina",17378.8159563759
"Ochotona argentata",313.1318190338
"Ochotona cansus",59025.3478878713
"Ochotona collaris",15656.59095169
"Ochotona curzoniae",108500.175295212
"Ochotona dauurica",162202.282259508
"Ochotona erythrotis",189914.448244
"Ochotona forresti",16439.4204992745
"Ochotona gloveri",17222.250046859
"Ochotona hoffmanni",1252.5272761352
"Ochotona hyperborea",2277407.71983283
"Ochotona iliensis",2191.9227332366
"Ochotona koslowi",46030.3773979686
"Ochotona ladacensis",786117.431684355
"Ochotona macrotis",1286815.2103194
"Ochotona nubrica",9550.5204805309
"Ochotona princeps",52449.5796881615
"Ochotona pusilla",118990.091232844
"Ochotona roylei",201813.457367284
"Ochotona rufescens",230934.716537427
"Ochotona rutila",36636.4228269546
"Ochotona thibetana",192576.068705787
"Ochotona thomasi",170343.709554387
"Ochotona turuchanensis",1641436.99537518
"Ochrotomys nuttalli",1094395.70752313
"Octodon bridgesi",21292.9636942984
"Octodon degus",1252.5272761352
"Octodon lunatus",2191.9227332366
"Octodon pacificus",53.0405701230469
"Octodontomys gliroides",341626.814565876
"Octomys mimax",18787.909142028
"Odocoileus hemionus",5549478.66282652
"Odocoileus virginianus",13229662.7882685
"Oecomys auyantepui",833870.034087009
"Oecomys bicolor",4989755.5363036
"Oecomys catherinae",1835735.28908565
"Oecomys cleberi",939.3954571014
"Oecomys concolor",2489711.09313774
"Oecomys flavicans",17691.9477754097
"Oecomys mamorae",553617.056051758
"Oecomys paricola",1346936.51957389
"Oecomys phaeotis",100358.748000333
"Oecomys rex",381237.989673651
"Oecomys roberti",2244372.31292476
"Oecomys rutilus",921233.811597439
"Oecomys speciosus",108969.873023762
"Oecomys superans",1549376.24057924
"Oecomys trinitatis",1719876.51604315
"Oenomys hypoxanthus",1255815.16023505
"Oenomys ornatus",27868.7318940082
"Okapia johnstoni",225298.343794819
"Olallamys albicauda",2974.7522808211
"Olallamys edax",2661.6204617873
"Oligoryzomys andinus",10959.613666183
"Oligoryzomys arenalis",25989.9409798054
"Oligoryzomys brendae",12681.8386708689
"Oligoryzomys chacoensis",5323.2409235746
"Oligoryzomys delticola",13308.1023089365
"Oligoryzomys destructor",431808.77844761
"Oligoryzomys eliurus",201343.759638733
"Oligoryzomys flavescens",231404.414265978
"Oligoryzomys fornesi",995759.184527484
"Oligoryzomys fulvescens",1170956.43727689
"Oligoryzomys griseolus",30060.6546272448
"Oligoryzomys longicaudatus",179894.230034918
"Oligoryzomys magellanicus",782.8295475845
"Oligoryzomys microtis",1435552.82436046
"Oligoryzomys moojeni",125096.161704003
"Oligoryzomys nigripes",1204931.23964206
"Oligoryzomys rupestris",340061.155470707
"Oligoryzomys stramineus",420536.032962393
"Oligoryzomys vegetus",7828.295475845
"Ondatra zibethicus",1119915.95077439
"Onychogalea fraenata",3914.1477379225
"Onychogalea unguifera",927653.013887632
"Onychomys arenicola",7515.1636568112
"Onychomys leucogaster",1529962.06779915
"Onychomys torridus",36479.8569174377
"Oreamnos americanus",445116.880756547
"Oreoryzomys balneator",40707.136474394
"Oreotragus oreotragus",2564862.72970586
"Ornithorhynchus anatinus",904011.56155058
"Orthogeomys cavator",4070.7136474394
"Orthogeomys cuniculus",270.870400916016
"Orthogeomys grandis",48222.3001312052
"Orthogeomys heterodus",156.5659095169
"Orthogeomys hispidus",55111.2001499488
"Orthogeomys underwoodi",4070.7136474394
"Orycteropus afer",13687618.0736055
"Oryctolagus cuniculus",497096.762716157
"Oryx beisa",904794.391098165
"Oryx gazella",1478295.31765857
"Oryx leucoryx",20510.1341467139
"Oryzomys couesi",4696.977285507
"Oryzomys dimidiatus",626.2636380676
"Oryzomys gorgasi",782.8295475845
"Oryzomys palustris",329258.107714041
"Oryzorictes hova",51197.0524120263
"Oryzorictes tetradactylus",5166.6750140577
"Osgoodomys banderanus",64348.5888114459
"Otocolobus manul",2895843.06242458
"Otocyon megalotis",3558116.85968107
"Otolemur crassicaudatus",3181732.41320244
"Otolemur garnettii",119146.657142361
"Otomops formosus",20353.568237197
"Otomops johnstonei",156.5659095169
"Otomops madagascariensis",1409.0931856521
