"binomial","range_km_2"
"Apodemus uralensis",3901935.59698018
"Apodemus witherbyi",59808.1774354558
"Apomys abrae",9393.954571014
"Apomys camiguinensis",156.5659095169
"Apomys datae",10020.2182090816
"Apomys gracilirostris",469.6977285507
"Apomys hylocetes",3131.318190338
"Apomys insignis",40080.8728363264
"Apomys littoralis",469.6977285507
"Apomys microdon",38828.3455601912
"Apomys musculus",26303.0727988392
"Apomys sacobianus",1095.9613666183
"Aproteles bulmerae",48.1556768662109
"Arabitragus jayakari",24893.9796131871
"Arborimus albipes",54171.8046928474
"Arborimus longicaudus",37106.1205555053
"Arborimus pomo",18474.7773229942
"Archboldomys luzonensis",156.5659095169
"Arctictis binturong",1522133.7723233
"Arctocebus aureus",210894.280119264
"Arctocebus calabarensis",46656.6410360362
"Arctogalidia trivirgata",1320633.44677505
"Arctonyx collaris",908708.538836087
"Ardops nichollsi",1252.5272761352
"Arielulus circumdatus",42742.4932981137
"Arielulus cuprosus",313.1318190338
"Arielulus societatis",21292.9636942984
"Arielulus torquatus",11585.8773042506
"Ariteus flavescens",2974.7522808211
"Artibeus amplus",759970.924795032
"Artibeus concolor",3770263.66707647
"Artibeus fimbriatus",68419.3024588853
"Artibeus fraterculus",33191.9728175828
"Artibeus hirsutus",111944.625304583
"Artibeus inopinatus",18161.6455039604
"Artibeus jamaicensis",472202.78310297
"Artibeus lituratus",6465232.66759087
"Artibeus obscurus",6606298.55206559
"Artibeus planirostris",4274249.32981137
"Arvicanthis abyssinicus",184434.641410908
"Arvicanthis ansorgei",194767.991439024
"Arvicanthis blicki",469.6977285507
"Arvicanthis nairobae",83293.0638629908
"Arvicanthis neumanni",860486.238704882
"Arvicanthis niloticus",4908497.82926433
"Arvicanthis rufinus",172692.198197141
"Arvicola amphibius",3847294.09455878
"Arvicola sapidus",1095.9613666183
"Arvicola scherman",51823.3160500939
"Asellia patrizii",9237.3886614971
"Asellia tridens",14973024.1907392
"Aselliscus stoliczkanus",420849.164781427
"Aselliscus tricuspidatus",87676.909329464
"Atelerix albiventris",4098582.37933341
"Atelerix algirus",366833.925998097
"Atelerix frontalis",830582.149987154
"Atelerix sclateri",35697.0273698532
"Ateles belzebuth",758718.397518897
"Ateles chamek",1424436.64478476
"Ateles fusciceps",136055.775370186
"Ateles geoffroyi",420066.335233843
"Ateles hybridus",80631.4434012035
"Ateles marginatus",340061.155470707
"Ateles paniscus",841854.895472371
"Atelocynus microtis",2539968.75009267
"Atherurus africanus",1504441.82454789
"Atherurus macrourus",899001.45244604
"Atilax paludinosus",424137.048881282
"Atlantoxerus getulus",50414.2228644418
"Auliscomys boliviensis",152338.629959944
"Auliscomys pictus",269293.364369068
"Auliscomys sublimis",354465.219146262
"Avahi betsileo",156.5659095169
"Avahi cleesei",313.1318190338
"Avahi laniger",26929.3364369068
"Avahi meridionalis",1095.9613666183
"Avahi occidentalis",1565.659095169
"Avahi peyrierasi",3287.8840998549
"Avahi ramanantsoavanai",2818.1863713042
"Avahi unicolor",469.6977285507
"Axis axis",499445.251358911
"Axis calamianensis",156.5659095169
"Axis kuhlii",156.5659095169
"Axis porcinus",7202.0318377774
"Babyrousa babyrussa",8767.6909329464
"Babyrousa celebensis",87363.7775104302
"Babyrousa togeanensis",626.2636380676
"Baiomys musculus",320960.114509645
"Baiomys taylori",244869.082484432
"Baiyankamys habbema",626.2636380676
"Baiyankamys shawmayeri",52606.1455976784
"Balantiopteryx infusca",1095.9613666183
"Balantiopteryx io",39454.6091982588
"Balantiopteryx plicata",215747.823314288
"Balionycteris maculata",385308.703321091
"Bandicota bengalensis",3727677.73968787
"Bandicota indica",3341116.50909065
"Bandicota savilei",477056.326297994
"Barbastella barbastellus",1127587.68034071
"Barbastella leucomelas",1236870.68518351
"Bassaricyon alleni",3234025.42698109
"Bassaricyon gabbii",54015.2387833305
"Bassariscus astutus",1992457.76451207
"Bassariscus sumichrasti",328788.40998549
"Bathyergus janetta",3131.318190338
"Bathyergus suillus",16439.4204992745
"Batomys dentatus",156.5659095169
"Batomys granti",4227.2795569563
"Batomys russatus",782.8295475845
"Batomys salomonseni",7202.0318377774
"Bauerus dubiaquercus",64348.5888114459
"Bdeogale crassicauda",701258.708726195
"Bdeogale jacksoni",8767.6909329464
"Bdeogale nigripes",618591.908501272
"Bdeogale omnivora",28025.2978035251
"Beamys hindei",10959.613666183
"Beatragus hunteri",10333.3500281154
"Belomys pearsonii",240954.934746509
"Berylmys berdmorei",162985.111807093
"Berylmys bowersi",1668836.02954064
"Berylmys mackenziei",13464.6682184534
"Berylmys manipulus",156879.041335934
"Bettongia gaimardi",12212.1409423182
"Bettongia lesueur",782.8295475845
"Bettongia penicillata",1409.0931856521
"Bettongia tropica",156.5659095169
"Bibimys chacoensis",156.5659095169
"Bibimys labiosus",99106.2207241977
"Bibimys torresi",12525.272761352
"Bison bison",58555.6501593206
"Biswamoyopterus biswasi",3914.1477379225
"Blanfordimys afghanus",86737.5138723626
"Blanfordimys bucharensis",116328.470771057
"Blarina brevicauda",1862508.05961304
"Blarina carolinensis",375914.748750077
"Blarina hylophaga",378263.23739283
"Blarinella griselda",113979.982128303
"Blarinella quadraticauda",9707.0863900478
"Blarinella wardi",50883.9205929925
"Blarinomys breviceps",129949.704899027
"Blastocerus dichotomus",29277.8250796603
"Bos gaurus",1240471.7011024
"Bos javanicus",107404.213928593
"Bos mutus",13934.3659470041
"Boselaphus tragocamelus",1932649.58707661
"Brachiones przewalskii",7045.4659282605
"Brachylagus idahoensis",31782.8796319307
"Brachyphylla cavernarum",4070.7136474394
"Brachyphylla nana",194298.293710473
"Brachytarsomys albicauda",28338.4296225589
"Brachytarsomys villosa",4383.8454664732
"Brachyteles arachnoides",3131.318190338
"Brachyteles hypoxanthus",14247.4977660379
"Brachyuromys betsileoensis",27712.1659844913
"Brachyuromys ramirohitra",26459.6387083561
"Bradypus pygmaeus",3.41296742871094
"Bradypus torquatus",33505.1046366166
"Bradypus tridactylus",832774.072720391
"Bradypus variegatus",4533522.47597136
"Brucepattersonius griserufescens",13308.1023089365
"Brucepattersonius guarani",10803.0477566661
"Brucepattersonius igniventris",12838.4045803858
"Brucepattersonius iheringi",103959.763919222
"Brucepattersonius misionensis",11116.1795756999
"Brucepattersonius paradisus",12681.8386708689
"Brucepattersonius soricinus",52762.7115071953
"Bubalus arnee",9550.5204805309
"Bubalus depressicornis",82040.5365868556
"Bubalus mindorensis",71.8611621992188
"Bubalus quarlesi",58242.5183402868
"Budorcas taxicolor",269136.798459551
"Bullimus bagobus",54171.8046928474
"Bullimus gamay",156.5659095169
"Bullimus luzonicus",25363.6773417378
"Bunolagus monticularis",2191.9227332366
"Bunomys andrewsi",75934.4661156965
"Bunomys chrysocomus",108656.741204729
"Bunomys coelestis",156.5659095169
"Bunomys fratrorum",4070.7136474394
"Bunomys penitus",3444.4500093718
"Bunomys prolatus",626.2636380676
"Burramys parvus",1252.5272761352
"Cacajao calvus",204631.643738588
"Cacajao hosomi",69045.5660969529
"Caenolestes caniventer",6106.0704711591
"Caenolestes condorensis",78.6828858950195
"Caenolestes convelatus",16752.5523183083
"Caenolestes fuliginosus",82353.6684058894
"Calcochloris obtusirostris",113197.152580719
"Calcochloris tytonis",313.1318190338
"Callicebus barbarabrownae",103333.500281154
"Callicebus coimbrai",27085.9023464237
"Callicebus melanochir",21136.3977847815
"Callicebus nigrifrons",67949.6047303346
"Callicebus personatus",8611.1250234295
"Callimico goeldii",446369.408032682
"Callistomys pictus",12055.5750328013
"Callithrix aurita",48535.431950239
"Callithrix flaviceps",3444.4500093718
"Callithrix geoffroyi",77500.1252108655
"Callithrix jacchus",849370.059129182
"Callithrix kuhlii",18631.3432325111
"Callithrix penicillata",991688.470880044
"Callosciurus adamsi",27712.1659844913
"Callosciurus albescens",8297.9932043957
"Callosciurus baluensis",45090.9819408672
"Callosciurus caniceps",135586.077641635
"Callosciurus erythraeus",1549376.24057924
"Callosciurus finlaysonii",311096.46221008
"Callosciurus inornatus",208389.225566994
"Callosciurus melanogaster",4227.2795569563
"Callosciurus nigrovittatus",620470.699415475
"Callosciurus notatus",944405.566205941
"Callosciurus orestes",46186.9433074855
"Callosciurus phayrei",106777.950290526
"Callosciurus prevostii",682470.799584167
"Callosciurus pygerythrus",308591.40765781
"Callosciurus quinquestriatus",21606.0955133322
"Calomys boliviae",39924.3069268095
"Calomys callidus",156.5659095169
"Calomys callosus",410672.380662829
"Calomys expulsus",1162188.74634395
"Calomys fecundus",16752.5523183083
"Calomys hummelincki",210737.714209747
"Calomys laucha",700006.18145006
"Calomys lepidus",437288.585280702
"Calomys musculinus",987461.191323088
"Calomys sorellus",204318.511919554
"Calomys tener",403940.046553602
"Calomys tocantinsi",2191.9227332366
"Calomys venustus",313.1318190338
"Calomyscus bailwardi",42899.0592076306
"Calomyscus baluchi",209485.186933612
"Calomyscus elburzensis",76247.5979347303
"Calomyscus hotsoni",22702.0568799505
"Calomyscus mystax",5010.1091045408
"Calomyscus tsolovi",33.5373626542969
"Calomyscus urartensis",5166.6750140577
"Caluromys derbianus",313758.082671868
"Caluromys lanatus",3059924.13559829
"Caluromys philander",1293704.11033814
"Caluromysiops irrupta",93000.1502530386
"Camelus ferus",179424.532306367
"Canis adustus",9392858.60964738
"Canis aureus",6225843.39193953
"Canis latrans",10537042.2763969
"Canis lupus",24520256.7871703
"Canis mesomelas",5900029.73423486
"Canis simensis",3287.8840998549
"Cannomys badius",454510.835327561
"Cansumys canus",24737.4137036702
"Capra aegagrus",637536.383552817
"Capra caucasica",2035.3568237197
"Capra cylindricornis",15656.59095169
"Capra falconeri",5792.9386521253
"Capra ibex",15030.3273136224
"Capra nubiana",68575.8683684022
"Capra pyrenaica",16439.4204992745
"Capra sibirica",974309.654923668
"Capra walie",782.8295475845
"Capreolus capreolus",5467907.82396821
"Capreolus pygargus",4274249.32981137
"Capricornis crispus",150616.404955258
"Capricornis rubidus",10646.4818471492
"Capricornis sumatraensis",1993397.15996917
"Capricornis swinhoei",10176.7841185985
"Caprolagus hispidus",113197.152580719
"Capromys pilorides",35853.5932793701
"Caracal aurata",2648312.35947836
"Caracal caracal",12354302.7881595
"Cardiocranius paradoxus",65757.681997098
"Cardioderma cor",1424749.77660379
"Carollia castanea",1007971.3254698
"Carollia manu",12212.1409423182
"Carollia perspicillata",7190132.82865411
"Carollia subrufa",36949.5546459884
"Carpitalpa arendsi",3444.4500093718
"Carpomys melanurus",1409.0931856521
"Carpomys phaeurus",3444.4500093718
"Carterodon sulcidens",207606.396019409
"Caryomys eva",69671.8297350205
"Caryomys inez",145762.861760234
"Casinycteris argynnis",1006718.79819367
"Castor canadensis",3790304.10349463
"Castor fiber",1178001.90320516
"Catagonus wagneri",103176.934371637
"Cavia aperea",1867361.60280807
"Cavia fulgida",151086.102683808
"Cavia intermedia",0.293731834960937
"Cavia magna",29904.0887177279
"Cavia tschudii",419753.203414809
"Cebus kaapori",94878.9411672414
"Centronycteris centralis",950198.504858066
"Centronycteris maximiliani",2826954.06223715
"Centurio senex",638788.910828952
"Cephalophus adersi",782.8295475845
"Cephalophus callipygus",213086.202852501
"Cephalophus dorsalis",1109582.60074627
"Cephalophus harveyi",77500.1252108655
"Cephalophus jentinki",41959.6637505292
"Cephalophus leucogaster",497566.460444708
"Cephalophus natalensis",270389.325735686
"Cephalophus niger",221540.761966413
"Cephalophus nigrifrons",1372456.76282515
"Cephalophus ogilbyi",154530.55269318
"Cephalophus rufilatus",2206639.92873119
"Cephalophus silvicultor",3320762.94085345
"Cephalophus spadix",2974.7522808211
"Cephalophus weynsi",849996.32276725
"Cephalophus zebra",45404.113759901
"Ceratotherium simum",2396554.37697519
"Cercartetus caudatus",266162.04617873
"Cercartetus concinnus",96601.1661719273
"Cercartetus lepidus",36323.2910079208
"Cercartetus nanus",188661.920967864
"Cercocebus agilis",570056.476551033
"Cercocebus atys",159384.095888204
"Cercocebus chrysogaster",47439.4705836207
"Cercocebus galeritus",313.1318190338
"Cercocebus sanjei",313.1318190338
"Cercocebus torquatus",93626.4138911062
"Cercopithecus ascanius",859077.14551923
"Cercopithecus campbelli",182399.284587188
"Cercopithecus cephus",305929.787196023
"Cercopithecus diana",111788.059395067
"Cercopithecus dryas",3287.8840998549
"Cercopithecus erythrogaster",37106.1205555053
"Cercopithecus erythrotis",43368.7569361813
"Cercopithecus hamlyni",199934.666453081
"Cercopithecus mitis",1156865.50542037
"Cercopithecus mona",44308.1523932827
"Cercopithecus neglectus",1804265.54127276
"Cercopithecus nictitans",567864.553817796
"Cercopithecus petaurista",245495.346122499
"Cercopithecus sclateri",14404.0636755548
"Cerdocyon thous",7837845.99632553
"Cerradomys maracajuensis",15813.1568612069
"Cerradomys marinhus",21919.227332366
"Cerradomys scotti",1003274.34818429
"Cerradomys subflavus",255515.564331581
"Cervus albirostris",122434.541242216
"Cervus canadensis",2643771.94810237
"Cervus elaphus",1592275.29978687
"Cervus hanglu",46500.0751265193
"Cervus nippon",167682.0890926
"Chacodelphys formosa",3757.5818284056
"Chaetocauda sichuanensis",626.2636380676
"Chaetodipus arenarius",88616.3047865654
"Chaetodipus artus",88772.8706960823
"Chaetodipus baileyi",313.1318190338
"Chaetodipus californicus",2505.0545522704
"Chaetodipus eremicus",6575.7681997098
"Chaetodipus fallax",156.5659095169
"Chaetodipus formosus",58555.6501593206
"Chaetodipus goldmani",24580.8477941533
"Chaetodipus hispidus",353838.955508194
"Chaetodipus intermedius",19570.7386896125
"Chaetodipus lineatus",11429.3113947337
"Chaetodipus nelsoni",156.5659095169
"Chaetodipus penicillatus",5792.9386521253
"Chaetodipus pernix",6419.2022901929
"Chaetodipus rudinoris",939.3954571014
"Chaetodipus spinatus",1565.659095169
"Chaetomys subspinosus",35540.4614603363
"Chalinolobus dwyeri",202752.852824385
"Chalinolobus gouldii",3884869.91284284
"Chalinolobus morio",1527457.01324688
"Chalinolobus neocaledonicus",156.5659095169
"Chalinolobus nigrogriseus",1308577.87174225
"Chalinolobus picatus",687637.474598225
"Chalinolobus tuberculatus",129166.875351442
"Cheirogaleus crossleyi",9550.5204805309
"Cheirogaleus major",469.6977285507
