,binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop
360,Tapirus pinchaque,156923.4,EN,Herbivore,3750
361,Tarsius sangirensis,165,EN,Insectivore,8909
362,Tarsius tumpara,122.6825,CR,Carnivore,4115.126
363,Tetracerus quadricornis,19282.12,VU,Herbivore,12550
364,Theropithecus gelada,15964.11,LC,Herbivore,200000
365,Trachypithecus delacouri,9000,CR,Herbivore,224
366,Trachypithecus francoisi,8139.93,EN,Herbivore,2021
367,Trachypithecus geei,8356,EN,Herbivore,5500
368,Trachypithecus poliocephalus,9000,CR,Herbivore,1219
369,Tragelaphus angasii,87616.76,LC,Herbivore,36500
370,Tragelaphus buxtoni,215000.8,EN,Herbivore,4000
371,Tragelaphus derbianus,663012.125,VU,Herbivore,12961
372,Tragelaphus eurycerus,270998.4,NT,Herbivore,28000
373,Tragelaphus imberbis,94320.39,NT,Herbivore,118000
374,Tragelaphus oryx,492500,LC,Herbivore,136000
375,Tragelaphus scriptus,43250.39,LC,Herbivore,1340000
376,Tragelaphus spekii,75554.25,LC,Herbivore,155885
377,Tragelaphus strepsiceros,206056.4,LC,Herbivore,482000
378,Tremarctos ornatus,123177,VU,Herbivore,15297
379,Urocyon littoralis,1923,NT,Omnivore,5500
380,Uromys hadrourus,149.11,NT,Omnivore,30000
381,Ursus americanus,110500,LC,Omnivore,898610
382,Ursus arctos,196287.5,LC,Omnivore,220000
383,Ursus maritimus,371703.8,VU,Omnivore,26000
384,Vicugna vicugna,47499.61,LC,Herbivore,525000
385,Vulpes pallida,2800.01,LC,Omnivore,47434
386,Wyulda squamicaudata,1799.21,NT,Omnivore,10607
387,Xeromys myoides,45.2,VU,Omnivore,23717
388,Zyzomys maini,93.99,VU,Herbivore,30000
389,Zyzomys palatalis,123,CR,NotAssigned,1500
390,Zyzomys pedunculatus,100,CR,Herbivore,1200
391,Loxodonta cyclotis,3824540,CR,Herbivore,100000
