binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Anoura luismanueli,14.6025,LC,Omnivore,CHIROPTERA
Anourosorex assamensis,20,LC,Insectivore,EULIPOTYPHLA
Anourosorex schmidi,16.05244685,DD,Insectivore,EULIPOTYPHLA
Anourosorex squamipes,20,LC,Insectivore,EULIPOTYPHLA
Anourosorex yamashinai,8.157340556,LC,Insectivore,EULIPOTYPHLA
Antechinomys laniger,25.57,LC,Insectivore,DASYUROMORPHIA
Antechinus adustus,30.5,LC,Insectivore,DASYUROMORPHIA
Antechinus agilis,22.13,LC,Carnivore,DASYUROMORPHIA
Antechinus bellus,38.73,VU,Carnivore,DASYUROMORPHIA
Antechinus flavipes,44.33,LC,Carnivore,DASYUROMORPHIA
Antechinus godmani,75.74,NT,Carnivore,DASYUROMORPHIA
Antechinus leo,70.09,LC,Insectivore,DASYUROMORPHIA
Antechinus minimus,52.56,LC,Carnivore,DASYUROMORPHIA
Antechinus stuartii,29.01,LC,Carnivore,DASYUROMORPHIA
Antechinus subtropicus,46.86444444,LC,Insectivore,DASYUROMORPHIA
Antechinus swainsonii,58.69,LC,Carnivore,DASYUROMORPHIA
Anthops ornatus,19.66146341,DD,Insectivore,CHIROPTERA
Antidorcas marsupialis,33571.24,LC,Herbivore,CETARTIODACTYLA
Antilocapra americana,47450.01,LC,Herbivore,CETARTIODACTYLA
Antilope cervicapra,36301.1,LC,Herbivore,CETARTIODACTYLA
Antrozous pallidus,22.24,LC,Insectivore,CHIROPTERA
Aonyx capensis,19322.22,NT,Insectivore,CARNIVORA
Aonyx congicus,23800.2,NT,Insectivore,CARNIVORA
Aotus azarae,929.57,LC,Omnivore,PRIMATES
Aotus brumbacki,800,VU,Omnivore,PRIMATES
Aotus griseimembra,966,VU,Omnivore,PRIMATES
Aotus jorgehernandezi,889.745,DD,Omnivore,PRIMATES
Aotus lemurinus,865.96,VU,Omnivore,PRIMATES
Aotus miconax,800,VU,Omnivore,PRIMATES
Aotus nancymaae,791.03,VU,Omnivore,PRIMATES
Aotus nigriceps,1057,LC,Omnivore,PRIMATES
Aotus trivirgatus,912.4,LC,Omnivore,PRIMATES
Aotus vociferans,872.99,LC,Omnivore,PRIMATES
Aotus zonalis,902.5,DD,Omnivore,PRIMATES
Aplodontia rufa,806.21,LC,Herbivore,RODENTIA
Apodemus agrarius,21.11,LC,Omnivore,RODENTIA
Apodemus alpicola,28.055,LC,Omnivore,RODENTIA
Apodemus argenteus,15,LC,Omnivore,RODENTIA
Apodemus chevrieri,32.9,LC,Herbivore,RODENTIA
Apodemus draco,22.25,LC,Omnivore,RODENTIA
Apodemus epimelas,63.85388804,LC,Omnivore,RODENTIA
Apodemus flavicollis,31.6,LC,Herbivore,RODENTIA
Apodemus gurkha,39.9,LC,Omnivore,RODENTIA
Apodemus hyrcanicus,63.85388804,NT,Omnivore,RODENTIA
Apodemus latronum,35.2,LC,Omnivore,RODENTIA
Apodemus mystacinus,43.84,LC,Omnivore,RODENTIA
Apodemus pallipes,63.85388804,LC,Omnivore,RODENTIA
Apodemus peninsulae,32.9,LC,Omnivore,RODENTIA
Apodemus ponticus,26.7,LC,Omnivore,RODENTIA
Apodemus rusiges,21.5,LC,Omnivore,RODENTIA
Apodemus semotus,25.77,LC,Omnivore,RODENTIA
Apodemus speciosus,43.75,LC,Omnivore,RODENTIA
Apodemus sylvaticus,21.9,LC,Omnivore,RODENTIA
Apodemus uralensis,18.26,LC,Omnivore,RODENTIA
Apodemus witherbyi,20.66,LC,Omnivore,RODENTIA
Apomys abrae,34.88,LC,Omnivore,RODENTIA
Apomys camiguinensis,32.69125,VU,Omnivore,RODENTIA
Apomys datae,34.88,LC,Omnivore,RODENTIA
Apomys gracilirostris,32.69125,LC,Omnivore,RODENTIA
Apomys hylocetes,34.88,LC,Omnivore,RODENTIA
Apomys insignis,34.88,LC,Omnivore,RODENTIA
Apomys littoralis,30.95,DD,Omnivore,RODENTIA
Apomys microdon,34.98,LC,Omnivore,RODENTIA
Apomys musculus,21.2,LC,Omnivore,RODENTIA
Apomys sacobianus,34.88,LC,Omnivore,RODENTIA
Aproteles bulmerae,623.91,CR,Herbivore,CHIROPTERA
Arabitragus jayakari,23000,EN,Herbivore,CETARTIODACTYLA
Arborimus albipes,23,LC,Herbivore,RODENTIA
Arborimus longicaudus,22.39,NT,Herbivore,RODENTIA
Arborimus pomo,32.49,NT,Herbivore,RODENTIA
Archboldomys luzonensis,35.34,VU,Insectivore,RODENTIA
Arctictis binturong,12999.99,VU,Omnivore,CARNIVORA
Arctocebus aureus,234.16,LC,Omnivore,PRIMATES
Arctocebus calabarensis,258.01,LC,Omnivore,PRIMATES
Arctogalidia trivirgata,2323.79,LC,Omnivore,CARNIVORA
Arctonyx collaris,8166.52,VU,Omnivore,CARNIVORA
Ardops nichollsi,19.23,LC,Herbivore,CHIROPTERA
Arielulus aureocollaris,10.4,LC,Insectivore,CHIROPTERA
Arielulus circumdatus,10.4,LC,Insectivore,CHIROPTERA
Arielulus cuprosus,10.4,VU,Insectivore,CHIROPTERA
Arielulus societatis,10.4,VU,Insectivore,CHIROPTERA
Arielulus torquatus,10.4,LC,Insectivore,CHIROPTERA
Ariteus flavescens,22.96761263,LC,Omnivore,CHIROPTERA
