binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Monodelphis ronaldi,104.6212668,LC,Omnivore,DIDELPHIMORPHIA
Monodelphis scalops,763.19,LC,Omnivore,DIDELPHIMORPHIA
Monophyllus plethodon,15.33,LC,Omnivore,CHIROPTERA
Monophyllus redmani,8.79,LC,Omnivore,CHIROPTERA
Monticolomys koopmani,25,LC,Omnivore,RODENTIA
Mormoops blainvillei,8.69,LC,Insectivore,CHIROPTERA
Mormoops megalophylla,16.09,LC,Insectivore,CHIROPTERA
Mormopterus acetabulosus,10.02,EN,Insectivore,CHIROPTERA
Mormopterus beccarii,14.3,LC,Insectivore,CHIROPTERA
Mormopterus doriae,10.02,DD,Insectivore,CHIROPTERA
Mormopterus jugularis,11.56,LC,Insectivore,CHIROPTERA
Mormopterus kalinowskii,10.02,LC,Insectivore,CHIROPTERA
Mormopterus loriae,7,DD,Insectivore,CHIROPTERA
Mormopterus minutus,10.02,VU,Insectivore,CHIROPTERA
Mormopterus norfolkensis,8,VU,Insectivore,CHIROPTERA
Mormopterus phrudus,10.02,VU,Insectivore,CHIROPTERA
Mormopterus planiceps,9.24,LC,Insectivore,CHIROPTERA
Moschiola indica,3000,LC,Herbivore,CETARTIODACTYLA
Moschiola kathygre,3065.475,LC,Herbivore,CETARTIODACTYLA
Moschiola meminna,3130.95,LC,Herbivore,CETARTIODACTYLA
Moschus anhuiensis,7500,EN,Herbivore,CETARTIODACTYLA
Moschus berezovskii,12477.41,EN,Herbivore,CETARTIODACTYLA
Moschus chrysogaster,13697.9,EN,Herbivore,CETARTIODACTYLA
Moschus cupreus,14500,EN,Herbivore,CETARTIODACTYLA
Moschus fuscus,13697.9,EN,Herbivore,CETARTIODACTYLA
Moschus leucogaster,14500,EN,Herbivore,CETARTIODACTYLA
Moschus moschiferus,13315.57,VU,Herbivore,CETARTIODACTYLA
Mosia nigrescens,3.33,LC,Insectivore,CHIROPTERA
Mungos gambianus,1644.98,LC,Insectivore,CARNIVORA
Mungos mungo,1260,LC,Insectivore,CARNIVORA
Mungotictis decemlineata,657.03,EN,Insectivore,CARNIVORA
Muntiacus atherodes,18939.1,NT,Herbivore,CETARTIODACTYLA
Muntiacus crinifrons,18590.01,VU,Herbivore,CETARTIODACTYLA
Muntiacus feae,21999.99,DD,Herbivore,CETARTIODACTYLA
Muntiacus gongshanensis,18590.01,DD,Herbivore,CETARTIODACTYLA
Muntiacus montanus,18368.41,DD,Herbivore,CETARTIODACTYLA
Muntiacus muntjak,17611.59,LC,Herbivore,CETARTIODACTYLA
Muntiacus puhoatensis,18368.41,DD,Herbivore,CETARTIODACTYLA
Muntiacus putaoensis,12000,DD,Herbivore,CETARTIODACTYLA
Muntiacus reevesi,13499.94,LC,Herbivore,CETARTIODACTYLA
Muntiacus rooseveltorum,10762.64,DD,Herbivore,CETARTIODACTYLA
Muntiacus truongsonensis,15000,DD,Herbivore,CETARTIODACTYLA
Muntiacus vaginalis,18368.41,LC,Herbivore,CETARTIODACTYLA
Muntiacus vuquangensis,36690.82,CR,Herbivore,CETARTIODACTYLA
Murexia habbema,48,LC,Insectivore,DASYUROMORPHIA
Murexia longicaudata,126.79,LC,Insectivore,DASYUROMORPHIA
Murexia melanurus,48.5,LC,Insectivore,DASYUROMORPHIA
Murexia naso,43,LC,Insectivore,DASYUROMORPHIA
Murexia rothschildi,27,NT,Insectivore,DASYUROMORPHIA
Muriculus imberbis,18.5,LC,Herbivore,RODENTIA
Murina aenea,7.5,VU,Insectivore,CHIROPTERA
Murina aurata,6.544285714,LC,Insectivore,CHIROPTERA
Murina cyclotis,9.35,LC,Insectivore,CHIROPTERA
Murina florium,4.41,LC,Insectivore,CHIROPTERA
Murina fusca,6.544285714,DD,Insectivore,CHIROPTERA
Murina harrisoni,6.544285714,LC,Insectivore,CHIROPTERA
Murina hilgendorfi,6.544285714,LC,Insectivore,CHIROPTERA
Murina huttoni,7.56,LC,Insectivore,CHIROPTERA
Murina leucogaster,7.54,LC,Insectivore,CHIROPTERA
Murina puta,6.544285714,NT,Insectivore,CHIROPTERA
Murina rozendaali,6.544285714,VU,Insectivore,CHIROPTERA
Murina ryukyuana,6.544285714,EN,Insectivore,CHIROPTERA
Murina suilla,4,LC,Insectivore,CHIROPTERA
Murina tenebrosa,6.544285714,CR,Insectivore,CHIROPTERA
Murina tubinaris,5.45,LC,Insectivore,CHIROPTERA
Murina ussuriensis,6.544285714,LC,Insectivore,CHIROPTERA
Mus baoulei,6.42,LC,Omnivore,RODENTIA
Mus booduga,13.78,LC,Omnivore,RODENTIA
Mus bufo,8.88,LC,Herbivore,RODENTIA
Mus callewaerti,63.85388804,LC,Omnivore,RODENTIA
Mus caroli,14.26,LC,Omnivore,RODENTIA
Mus cervicolor,17.7,LC,Omnivore,RODENTIA
Mus cookii,20.467,LC,Omnivore,RODENTIA
Mus crociduroides,21.29531976,DD,Omnivore,RODENTIA
Mus cypriacus,21.29531976,LC,Omnivore,RODENTIA
Mus famulus,22.88,EN,Omnivore,RODENTIA
Mus fernandoni,63.85388804,EN,Omnivore,RODENTIA
Mus fragilicauda,21.29531976,LC,Omnivore,RODENTIA
Mus goundae,21.29531976,DD,Omnivore,RODENTIA
Mus haussa,8.45,LC,Omnivore,RODENTIA
Mus indutus,6.15,LC,Omnivore,RODENTIA
Mus macedonicus,15,LC,Omnivore,RODENTIA
Mus mahomet,10,LC,Omnivore,RODENTIA
Mus mattheyi,63.85388804,LC,Omnivore,RODENTIA
Mus mayori,39.75,VU,Omnivore,RODENTIA
Mus minutoides,6.43,LC,Omnivore,RODENTIA
Mus musculoides,8.23,LC,Omnivore,RODENTIA
Mus musculus,19.3,LC,Omnivore,RODENTIA
Mus neavei,21.29531976,DD,Omnivore,RODENTIA
Mus oubanguii,21.29531976,DD,Omnivore,RODENTIA
Mus pahari,25.733,LC,Omnivore,RODENTIA
Mus phillipsi,12.3,LC,Omnivore,RODENTIA
Mus platythrix,29.08,LC,Omnivore,RODENTIA
Mus saxicola,21.4,LC,Omnivore,RODENTIA
Mus setulosus,11.18,LC,Omnivore,RODENTIA
Mus setzeri,6.65,LC,Insectivore,RODENTIA
Mus shortridgei,34.6,LC,Omnivore,RODENTIA
Mus sorella,63.85388804,LC,Omnivore,RODENTIA
Mus spicilegus,14,LC,Herbivore,RODENTIA
Mus spretus,16.67,LC,Omnivore,RODENTIA
Mus tenellus,10.2,LC,Omnivore,RODENTIA
Mus terricolor,9,LC,Omnivore,RODENTIA
Mus triton,12.62,LC,Omnivore,RODENTIA
Mus vulcani,20.2,LC,Omnivore,RODENTIA
Muscardinus avellanarius,29.19,LC,Omnivore,RODENTIA
Musonycteris harrisoni,22.96761263,VU,Omnivore,CHIROPTERA
Mustela africana,536.98,LC,Carnivore,CARNIVORA
Mustela altaica,180.24,NT,Carnivore,CARNIVORA
Mustela erminea,284.5,LC,Carnivore,CARNIVORA
Mustela eversmanii,1684.21,LC,Carnivore,CARNIVORA
Mustela felipei,211.3,VU,Carnivore,CARNIVORA
Mustela frenata,190.03,LC,Carnivore,CARNIVORA
Mustela itatsi,300,NT,Carnivore,CARNIVORA
Mustela kathiah,263.74,LC,Carnivore,CARNIVORA
Mustela lutreola,566.44,CR,Carnivore,CARNIVORA
Mustela lutreolina,466.25,LC,Carnivore,CARNIVORA
Mustela nivalis,78.45,LC,Carnivore,CARNIVORA
Mustela nudipes,569.42,LC,Carnivore,CARNIVORA
Mustela putorius,975.55,LC,Carnivore,CARNIVORA
Mustela sibirica,530.85,LC,Carnivore,CARNIVORA
Mustela strigidorsa,1500,LC,Carnivore,CARNIVORA
Mustela subpalmata,77.25,LC,Carnivore,CARNIVORA
Mydaus javanensis,2500,LC,Insectivore,CARNIVORA
Mydaus marchei,2500,LC,Insectivore,CARNIVORA
Mylomys dybowskii,110.96,LC,Herbivore,RODENTIA
Mylomys rex,110.96,DD,Herbivore,RODENTIA
Myocastor coypus,6361.55,LC,Herbivore,RODENTIA
Myodes andersoni,46.25861204,LC,Omnivore,RODENTIA
Myodes californicus,18.3,LC,Omnivore,RODENTIA
Myodes centralis,31.80166851,LC,Herbivore,RODENTIA
Myodes gapperi,19.83,LC,Omnivore,RODENTIA
Myodes glareolus,20.73,LC,Omnivore,RODENTIA
Myodes regulus,46.25861204,LC,Omnivore,RODENTIA
Myodes rex,46.25861204,LC,Omnivore,RODENTIA
Myodes rufocanus,36.43,LC,Herbivore,RODENTIA
Myodes rutilus,19.94,LC,Herbivore,RODENTIA
Myodes shanseius,46.25861204,LC,Herbivore,RODENTIA
Myodes smithii,34.94,LC,Omnivore,RODENTIA
Myoictis leucura,210.885,DD,Carnivore,DASYUROMORPHIA
Myoictis melas,221.77,LC,Carnivore,DASYUROMORPHIA
Myoictis wallacei,200,LC,Carnivore,DASYUROMORPHIA
Myoictis wavicus,210.885,DD,Carnivore,DASYUROMORPHIA
Myomimus personatus,44,DD,Insectivore,RODENTIA
Myomimus roachi,44,VU,Herbivore,RODENTIA
Myomimus setzeri,44,DD,Omnivore,RODENTIA
Myomyscus angolensis,63.85388804,LC,Omnivore,RODENTIA
Myomyscus brockmani,28,LC,Omnivore,RODENTIA
Myomyscus verreauxii,41,LC,Insectivore,RODENTIA
Myomyscus yemeni,25,LC,Herbivore,RODENTIA
Myonycteris brachycephala,49.12,EN,Herbivore,CHIROPTERA
Myonycteris relicta,53.32,LC,Herbivore,CHIROPTERA
Myonycteris torquata,44.92,LC,Herbivore,CHIROPTERA
Myoprocta acouchy,954.87,LC,Herbivore,RODENTIA
Myoprocta pratti,966.73,LC,Herbivore,RODENTIA
Myopterus daubentonii,11.55,DD,Insectivore,CHIROPTERA
Myopterus whitleyi,11.55,LC,Insectivore,CHIROPTERA
Myopus schisticolor,29.99,LC,Herbivore,RODENTIA
Myosciurus pumilio,16.44,LC,Herbivore,RODENTIA
Myosorex babaulti,9.130309224,NT,Carnivore,EULIPOTYPHLA
Myosorex blarina,16,EN,Carnivore,EULIPOTYPHLA
Myosorex cafer,12.3,LC,Carnivore,EULIPOTYPHLA
Myosorex eisentrauti,8.157340556,CR,Carnivore,EULIPOTYPHLA
Myosorex geata,9.34,EN,Carnivore,EULIPOTYPHLA
Myosorex kihaulei,11.18979112,EN,Carnivore,EULIPOTYPHLA
Myosorex longicaudatus,12.98,VU,Carnivore,EULIPOTYPHLA
Myosorex okuensis,8.157340556,VU,Carnivore,EULIPOTYPHLA
Myosorex rumpii,15.99558029,EN,Carnivore,EULIPOTYPHLA
Myosorex schalleri,11.18979112,DD,Carnivore,EULIPOTYPHLA
Myosorex sclateri,8.157340556,NT,Carnivore,EULIPOTYPHLA
Myosorex tenuis,11.18979112,DD,Carnivore,EULIPOTYPHLA
Myosorex varius,11.68,LC,Carnivore,EULIPOTYPHLA
Myosorex zinki,11.18979112,LC,Carnivore,EULIPOTYPHLA
Myospalax aspalax,345.5,LC,Herbivore,RODENTIA
Myospalax myospalax,225,LC,Herbivore,RODENTIA
Myospalax psilurus,259.21,LC,Herbivore,RODENTIA
Myotis adversus,10.41,LC,Insectivore,CHIROPTERA
Myotis aelleni,9.597169811,DD,Insectivore,CHIROPTERA
Myotis albescens,5.69,LC,Insectivore,CHIROPTERA
Myotis alcathoe,9.597169811,DD,Insectivore,CHIROPTERA
Myotis altarium,11,LC,Insectivore,CHIROPTERA
Myotis anjouanensis,9.597169811,DD,Insectivore,CHIROPTERA
Myotis annamiticus,9.597169811,DD,Insectivore,CHIROPTERA
Myotis annectans,9.75,LC,Insectivore,CHIROPTERA
Myotis atacamensis,9.597169811,EN,Insectivore,CHIROPTERA
Myotis ater,9.597169811,LC,Insectivore,CHIROPTERA
Myotis aurascens,9.597169811,LC,Insectivore,CHIROPTERA
Myotis auriculus,38.04,LC,Insectivore,CHIROPTERA
Myotis austroriparius,7.35,LC,Insectivore,CHIROPTERA
Myotis bechsteinii,9.47,NT,Insectivore,CHIROPTERA
Myotis blythii,23.82,LC,Insectivore,CHIROPTERA
Myotis bocagii,7.93,LC,Insectivore,CHIROPTERA
Myotis bombinus,9.597169811,NT,Insectivore,CHIROPTERA
Myotis brandtii,5.3,LC,Insectivore,CHIROPTERA
Myotis bucharensis,9.597169811,DD,Insectivore,CHIROPTERA
Myotis californicus,4.39,LC,Insectivore,CHIROPTERA
Myotis capaccinii,8.15,VU,Insectivore,CHIROPTERA
Myotis chiloensis,9.597169811,LC,Insectivore,CHIROPTERA
Myotis chinensis,41.99,LC,Insectivore,CHIROPTERA
Myotis ciliolabrum,4.89,LC,Insectivore,CHIROPTERA
Myotis cobanensis,9.597169811,DD,Insectivore,CHIROPTERA
Myotis csorbai,9.597169811,DD,Insectivore,CHIROPTERA
Myotis dasycneme,15.16,NT,Insectivore,CHIROPTERA
Myotis daubentonii,7.63,LC,Insectivore,CHIROPTERA
Myotis davidii,9.597169811,LC,Insectivore,CHIROPTERA
Myotis dieteri,9.597169811,DD,Insectivore,CHIROPTERA
Myotis dinellii,9.597169811,LC,Insectivore,CHIROPTERA
Myotis dominicensis,9.597169811,VU,Insectivore,CHIROPTERA
Myotis elegans,4.21,LC,Insectivore,CHIROPTERA
Myotis emarginatus,7.56,LC,Insectivore,CHIROPTERA
Myotis evotis,6.91,LC,Insectivore,CHIROPTERA
Myotis fimbriatus,9.597169811,LC,Insectivore,CHIROPTERA
Myotis findleyi,9.597169811,EN,Insectivore,CHIROPTERA
Myotis formosus,7.07,LC,Insectivore,CHIROPTERA
Myotis fortidens,4.37,LC,Insectivore,CHIROPTERA
Myotis frater,7.54,DD,Insectivore,CHIROPTERA
Myotis gomantongensis,9.597169811,LC,Insectivore,CHIROPTERA
Myotis goudoti,5.56,LC,Insectivore,CHIROPTERA
Myotis grisescens,10.84,NT,Insectivore,CHIROPTERA
Myotis hajastanicus,9.597169811,CR,Insectivore,CHIROPTERA
Myotis hasseltii,8.7,LC,Insectivore,CHIROPTERA
Myotis hermani,9.597169811,DD,Insectivore,CHIROPTERA
Myotis horsfieldii,6.05,LC,Insectivore,CHIROPTERA
Myotis ikonnikovi,9.597169811,LC,Insectivore,CHIROPTERA
Myotis keaysi,5.45,LC,Insectivore,CHIROPTERA
Myotis keenii,6.51,LC,Insectivore,CHIROPTERA
Myotis laniger,9.597169811,LC,Insectivore,CHIROPTERA
Myotis leibii,5.22,LC,Insectivore,CHIROPTERA
Myotis levis,5.49,LC,Insectivore,CHIROPTERA
Myotis longipes,9.597169811,DD,Insectivore,CHIROPTERA
Myotis lucifugus,7.8,LC,Insectivore,CHIROPTERA
Myotis macrodactylus,7.48,LC,Insectivore,CHIROPTERA
Myotis macropus,9.597169811,LC,Insectivore,CHIROPTERA
Myotis macrotarsus,12.64,NT,Insectivore,CHIROPTERA
Myotis martiniquensis,9.597169811,NT,Insectivore,CHIROPTERA
Myotis melanorhinus,9.597169811,LC,Insectivore,CHIROPTERA
Myotis moluccarum,9.597169811,LC,Insectivore,CHIROPTERA
Myotis montivagus,8.3,LC,Insectivore,CHIROPTERA
Myotis morrisi,9.597169811,DD,Insectivore,CHIROPTERA
Myotis muricola,4.8,LC,Insectivore,CHIROPTERA
Myotis myotis,25.59,LC,Insectivore,CHIROPTERA
Myotis mystacinus,9.597169811,LC,Insectivore,CHIROPTERA
Myotis nattereri,7.25,LC,Insectivore,CHIROPTERA
Myotis nesopolus,3.56,LC,Insectivore,CHIROPTERA
Myotis nigricans,9.597169811,LC,Insectivore,CHIROPTERA
Myotis nipalensis,9.597169811,LC,Insectivore,CHIROPTERA
Myotis occultus,8.79,LC,Insectivore,CHIROPTERA
Myotis oreias,9.597169811,DD,Insectivore,CHIROPTERA
Myotis oxyotus,5.65,LC,Insectivore,CHIROPTERA
Myotis peninsularis,9.597169811,EN,Insectivore,CHIROPTERA
Myotis pequinius,9.597169811,LC,Insectivore,CHIROPTERA
Myotis pilosus,9.597169811,NT,Insectivore,CHIROPTERA
Myotis planiceps,9.597169811,EN,Insectivore,CHIROPTERA
Myotis pruinosus,9.597169811,EN,Insectivore,CHIROPTERA
Myotis punicus,9.597169811,DD,Insectivore,CHIROPTERA
Myotis ridleyi,4.06,NT,Insectivore,CHIROPTERA
Myotis riparius,4.57,LC,Insectivore,CHIROPTERA
Myotis rosseti,3.29,LC,Insectivore,CHIROPTERA
Myotis ruber,4.99,NT,Insectivore,CHIROPTERA
Myotis rufopictus,9.597169811,DD,Insectivore,CHIROPTERA
Myotis schaubi,9.597169811,DD,Insectivore,CHIROPTERA
Myotis scotti,9.597169811,VU,Insectivore,CHIROPTERA
Myotis septentrionalis,9.597169811,LC,Insectivore,CHIROPTERA
Myotis sicarius,9.597169811,VU,Insectivore,CHIROPTERA
Myotis siligorensis,2.93,LC,Insectivore,CHIROPTERA
Myotis simus,9.597169811,DD,Insectivore,CHIROPTERA
Myotis sodalis,7.15,NT,Insectivore,CHIROPTERA
Myotis stalkeri,9.597169811,DD,Insectivore,CHIROPTERA
Myotis thysanodes,8.49,LC,Insectivore,CHIROPTERA
Myotis tricolor,13.67,LC,Insectivore,CHIROPTERA
Myotis velifer,9.82,LC,Insectivore,CHIROPTERA
Myotis vivesi,25.63,VU,Insectivore,CHIROPTERA
Myotis volans,8.71,LC,Insectivore,CHIROPTERA
Myotis welwitschii,15.88,LC,Insectivore,CHIROPTERA
Myotis yanbarensis,9.597169811,CR,Insectivore,CHIROPTERA
Myotis yumanensis,5.15,LC,Insectivore,CHIROPTERA
Myrmecobius fasciatus,511.44,EN,Insectivore,DASYUROMORPHIA
Myrmecophaga tridactyla,29531.83,VU,Insectivore,PILOSA
Mysateles melanurus,1426.0712,VU,Omnivore,RODENTIA
Mysateles prehensilis,1650,NT,Herbivore,RODENTIA
Mystacina tuberculata,13.14,VU,Omnivore,CHIROPTERA
Mystromys albicaudatus,86.85,EN,Omnivore,RODENTIA
Myzopoda aurita,9.1,LC,Insectivore,CHIROPTERA
Myzopoda schliemanni,9.1,LC,Insectivore,CHIROPTERA
Naemorhedus baileyi,28863.45,VU,Herbivore,CETARTIODACTYLA
Naemorhedus caudatus,26999.99,VU,Herbivore,CETARTIODACTYLA
Naemorhedus goral,28796.51,NT,Herbivore,CETARTIODACTYLA
Naemorhedus griseus,32000,VU,Herbivore,CETARTIODACTYLA
Nandinia binotata,2167.2,LC,Omnivore,CARNIVORA
Nanger dama,71424.81,CR,Herbivore,CETARTIODACTYLA
Nanger granti,55464.46,LC,Herbivore,CETARTIODACTYLA
Nanger soemmerringii,41582.93,VU,Herbivore,CETARTIODACTYLA
Nannosciurus melanotis,50,LC,Herbivore,RODENTIA
Nanonycteris veldkampii,21.89,LC,Herbivore,CHIROPTERA
Napaeozapus insignis,22.25,LC,Omnivore,RODENTIA
Nasalis larvatus,12265.65,EN,Herbivore,PRIMATES
Nasua narica,4578.43,LC,Omnivore,CARNIVORA
Nasua nasua,3775.5,LC,Omnivore,CARNIVORA
Nasuella olivacea,1339.99,NT,Omnivore,CARNIVORA
Natalus espiritosantensis,5.99,NT,Insectivore,CHIROPTERA
Natalus jamaicensis,5.99,CR,Insectivore,CHIROPTERA
Natalus major,5.99,NT,Insectivore,CHIROPTERA
Natalus mexicanus,5.99,LC,Insectivore,CHIROPTERA
Natalus primus,5.99,VU,Insectivore,CHIROPTERA
Natalus stramineus,5.68,LC,Insectivore,CHIROPTERA
Natalus tumidirostris,6.3,LC,Insectivore,CHIROPTERA
Neacomys dubosti,17.95666667,LC,Omnivore,RODENTIA
Neacomys guianae,15.87,LC,Omnivore,RODENTIA
Neacomys minutus,17.95666667,LC,Omnivore,RODENTIA
Neacomys musseri,17.95666667,LC,Omnivore,RODENTIA
Neacomys paracou,17.95666667,LC,Omnivore,RODENTIA
Neacomys pictus,17.95666667,DD,Omnivore,RODENTIA
Neacomys spinosus,19,LC,Omnivore,RODENTIA
Neacomys tenuipes,19,LC,Omnivore,RODENTIA
Neamblysomus gunningi,61.185,EN,Insectivore,AFROSORICIDA
Neamblysomus julianae,21.99,EN,Insectivore,AFROSORICIDA
Necromys amoenus,27.09,LC,Omnivore,RODENTIA
Necromys benefactus,31,LC,Omnivore,RODENTIA
Necromys lactens,32.9,LC,Omnivore,RODENTIA
Necromys lasiurus,39.93,LC,Omnivore,RODENTIA
Necromys lenguarum,40.31,LC,Omnivore,RODENTIA
Necromys obscurus,40.69,NT,Omnivore,RODENTIA
Necromys punctulatus,37.3,DD,Omnivore,RODENTIA
Necromys temchuki,47.2,LC,Omnivore,RODENTIA
Necromys urichi,44.84,LC,Herbivore,RODENTIA
Nectogale elegans,38.82,LC,Insectivore,EULIPOTYPHLA
Nectomys apicalis,46.25861204,LC,Omnivore,RODENTIA
Nectomys palmipes,59.82092491,LC,Omnivore,RODENTIA
Nectomys rattus,248.8,LC,Herbivore,RODENTIA
Nectomys squamipes,184.98,LC,Insectivore,RODENTIA
Nelsonia goldmani,50,EN,Herbivore,RODENTIA
Nelsonia neotomodon,80,NT,Herbivore,RODENTIA
Neodon forresti,43.09423936,DD,Herbivore,RODENTIA
Neodon irene,46.25861204,LC,Herbivore,RODENTIA
Neodon juldaschi,37.76509979,LC,Herbivore,RODENTIA
Neodon sikimensis,45.25900624,LC,Herbivore,RODENTIA
Neofelis diardi,22500,VU,Carnivore,CARNIVORA
Neofelis nebulosa,14945.05,VU,Carnivore,CARNIVORA
Neofiber alleni,265.38,LC,Herbivore,RODENTIA
Neohylomys hainanensis,52.21,EN,Omnivore,EULIPOTYPHLA
Neomys anomalus,13.19,LC,Insectivore,EULIPOTYPHLA
Neomys fodiens,15.26,LC,Insectivore,EULIPOTYPHLA
Neomys teres,12.854,LC,Insectivore,EULIPOTYPHLA
Neonycteris pusilla,22.96761263,DD,Omnivore,CHIROPTERA
Neophascogale lorentzii,212,LC,Insectivore,DASYUROMORPHIA
Neopteryx frosti,239.6283091,EN,Herbivore,CHIROPTERA
Neotetracus sinensis,49.99,LC,Omnivore,EULIPOTYPHLA
Neotoma albigula,208.18,LC,Herbivore,RODENTIA
Neotoma angustapalata,198,EN,Herbivore,RODENTIA
Neotoma bryanti,182,LC,Herbivore,RODENTIA
Neotoma chrysomelas,68.73202892,LC,Herbivore,RODENTIA
Neotoma cinerea,285.89,LC,Herbivore,RODENTIA
Neotoma devia,200,LC,Herbivore,RODENTIA
Neotoma floridana,249.16,LC,Herbivore,RODENTIA
Neotoma fuscipes,213.26,LC,Herbivore,RODENTIA
Neotoma goldmani,198,LC,Herbivore,RODENTIA
Neotoma lepida,143.88,LC,Herbivore,RODENTIA
Neotoma leucodon,215,LC,Herbivore,RODENTIA
Neotoma macrotis,225.74,LC,Herbivore,RODENTIA
Neotoma magister,447,NT,Herbivore,RODENTIA
Neotoma mexicana,203,LC,Herbivore,RODENTIA
Neotoma micropus,255.14,LC,Herbivore,RODENTIA
Neotoma nelsoni,198,CR,Herbivore,RODENTIA
Neotoma palatina,198,VU,Herbivore,RODENTIA
Neotoma phenax,227.49,NT,Herbivore,RODENTIA
Neotoma stephensi,149.22,LC,Herbivore,RODENTIA
Neotomodon alstoni,44.64,LC,Omnivore,RODENTIA
Neotomys ebriosus,64.5,LC,Herbivore,RODENTIA
Neotragus batesi,2967.45,LC,Herbivore,CETARTIODACTYLA
Neotragus pygmaeus,3913.68,LC,Herbivore,CETARTIODACTYLA
Neovison vison,1100,LC,Carnivore,CARNIVORA
Nephelomys albigularis,61.9,LC,Omnivore,RODENTIA
Nephelomys auriventer,60.5005,LC,Omnivore,RODENTIA
Nephelomys caracolus,60.5,LC,Omnivore,RODENTIA
Nephelomys devius,46.25861204,LC,Herbivore,RODENTIA
Nephelomys keaysi,58.295,LC,Omnivore,RODENTIA
Nephelomys levipes,60.5005,LC,Omnivore,RODENTIA
Nephelomys meridensis,46.25861204,LC,Omnivore,RODENTIA
Nesokia bunnii,63.85388804,EN,Herbivore,RODENTIA
Nesokia indica,178.08,LC,Herbivore,RODENTIA
Nesolagus netscheri,1511.67,VU,Herbivore,LAGOMORPHA
Nesolagus timminsi,1511.67,DD,Herbivore,LAGOMORPHA
Nesomys audeberti,214.04,LC,Omnivore,RODENTIA
Nesomys lambertoni,155,EN,Omnivore,RODENTIA
Nesomys rufus,163.96,LC,Omnivore,RODENTIA
Nesoromys ceramicus,63.85388804,EN,Omnivore,RODENTIA
Nesoryzomys fernandinae,32.3,VU,Omnivore,RODENTIA
Nesoryzomys narboroughi,68.65,VU,Omnivore,RODENTIA
Nesoryzomys swarthi,105,VU,Omnivore,RODENTIA
Nesotragus moschatus,6499,LC,Herbivore,CETARTIODACTYLA
Neurotrichus gibbsii,9.56,LC,Omnivore,EULIPOTYPHLA
Neusticomys ferreirai,42.72,DD,Insectivore,RODENTIA
Neusticomys monticolus,39.5,LC,Insectivore,RODENTIA
Neusticomys mussoi,40,EN,Insectivore,RODENTIA
Neusticomys oyapocki,47,DD,Insectivore,RODENTIA
Neusticomys peruviensis,40,LC,Insectivore,RODENTIA
Neusticomys venezuelae,47.1,VU,Insectivore,RODENTIA
Nilgiritragus hylocrius,75000,EN,Herbivore,CETARTIODACTYLA
Ningaui ridei,9.42,LC,Omnivore,DASYUROMORPHIA
Ningaui timealeyi,6.37,LC,Omnivore,DASYUROMORPHIA
Ningaui yvonneae,11,LC,Insectivore,DASYUROMORPHIA
Niviventer andersoni,147,LC,Omnivore,RODENTIA
Niviventer brahma,97.3,LC,Omnivore,RODENTIA
Niviventer cameroni,89,VU,Omnivore,RODENTIA
Niviventer confucianus,65,LC,Omnivore,RODENTIA
Niviventer coninga,80.65,LC,Omnivore,RODENTIA
Niviventer cremoriventer,71.54,LC,Omnivore,RODENTIA
Niviventer culturatus,81.17,LC,Omnivore,RODENTIA
Niviventer eha,53.6,LC,Omnivore,RODENTIA
Niviventer excelsior,102,LC,Omnivore,RODENTIA
Niviventer fraternus,89,LC,Omnivore,RODENTIA
Niviventer fulvescens,81.79,LC,Omnivore,RODENTIA
Niviventer hinpoon,87.21125,EN,Omnivore,RODENTIA
Niviventer langbianis,69.8,LC,Omnivore,RODENTIA
Niviventer lepturus,84.8,LC,Omnivore,RODENTIA
Niviventer niviventer,100,LC,Omnivore,RODENTIA
Niviventer rapit,79.73,LC,Omnivore,RODENTIA
Niviventer tenaster,103,LC,Omnivore,RODENTIA
Noctilio albiventris,31.46,LC,Insectivore,CHIROPTERA
Noctilio leporinus,29.93,LC,Insectivore,CHIROPTERA
Nomascus concolor,6410.47,CR,Herbivore,PRIMATES
Nomascus gabriellae,8500,EN,Herbivore,PRIMATES
Nomascus hainanus,7790,CR,Herbivore,PRIMATES
Nomascus leucogenys,7320,CR,Herbivore,PRIMATES
Nomascus nasutus,7124.094,CR,Herbivore,PRIMATES
Nomascus siki,5600,EN,Herbivore,PRIMATES
Notiomys edwardsii,21.3,LC,Insectivore,RODENTIA
Notiosorex cockrumi,5.035,LC,Insectivore,EULIPOTYPHLA
Notiosorex crawfordi,4.79,LC,Insectivore,EULIPOTYPHLA
Notiosorex evotis,5.28,LC,Insectivore,EULIPOTYPHLA
Notiosorex villai,5.035,VU,Insectivore,EULIPOTYPHLA
Notomys alexis,32.34,LC,Herbivore,RODENTIA
Notomys aquilo,38.99,EN,Herbivore,RODENTIA
Notomys cervinus,34.79,NT,Herbivore,RODENTIA
Notomys fuscus,39.28,VU,Herbivore,RODENTIA
Notomys mitchellii,42.8,LC,Herbivore,RODENTIA
Notopteris macdonaldi,68.17,VU,Herbivore,CHIROPTERA
Notopteris neocaledonica,68.17,VU,Herbivore,CHIROPTERA
Notoryctes caurinus,40,LC,Omnivore,NOTORYCTEMORPHIA
Notoryctes typhlops,55,LC,Insectivore,NOTORYCTEMORPHIA
Nyctalus aviator,28.97666667,NT,Insectivore,CHIROPTERA
Nyctalus azoreum,28.97666667,VU,Insectivore,CHIROPTERA
